Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Albania,ALB,813.255695500012,572.781843950789,418.286629757142,412.378880465233,441.249295409311,417.034843013203,447.848870261137,384.594958328053,426.682819087559,576.183632282524,580.494764208924,597.265252650749,660.04798411018,648.168387059418,715.414483080102,719.584378082987,706.859407721917,679.861765101008,710.748498463347,732.316681804627,729.154372728518,764.968616564465,687.896259861998,801.329975005976,808.455839595944,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Algeria,DZA,861.260656134321,888.875682052303,888.73515307827,872.307617765935,823.576439269368,843.041996136838,802.099232174491,808.759276978971,824.533869885983,867.798408837998,869.609755585277,860.041423126449,908.297287311204,953.058221663239,952.268240026896,977.954202931427,1031.91902073562,1078.18350678737,1073.20575248274,1153.66403838672,1114.21715229353,1140.64290113225,1229.54703039402,1247.49495511749,1327.53550999587,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Angola,AGO,496.53653219405,491.802570695934,478.585781032871,479.820029668734,470.938412454671,455.666087375553,454.055081404946,449.254389515782,433.882522982369,441.163163171869,438.549912271537,442.978839594794,448.261694538026,467.644110907737,464.808020924038,433.572486091617,458.794073718958,471.69424492092,491.978571174406,515.217256607197,520.962336115045,521.780702920565,552.363765623802,533.760886563258,544.609443483916,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Antigua and Barbuda,ATG,1580.40573777046,..,..,..,..,..,..,..,..,..,..,..,..,..,1680.21208010256,1681.7657312612,1728.82790304056,1737.49538849683,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Argentina,ARG,1412.17995914484,1435.48457114879,1489.34786032046,1474.30689274036,1548.62339314429,1551.74521381659,1589.91755634679,1621.90909509539,1658.49577179954,1668.22514401839,1669.52633732128,1570.89750079167,1510.31344277254,1598.78962502126,1728.21409244578,1720.67402286339,1853.04176068156,1858.39184324341,1937.64151484529,1865.33735598138,1928.65235658729,1952.05105293095,1936.80353979442,1967.02167752077,2029.92282543737,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Armenia,ARM,2178.54797007714,2317.92006787535,1199.77140832225,651.936257827946,419.821881897783,511.172086087024,562.162329363588,594.251154055704,609.995332440567,593.541641038258,656.307652111987,657.47343384406,618.455122914618,656.480351816373,698.085289672628,842.699501083769,864.88494578476,972.799361661861,1033.17289255971,903.699810324733,863.027462418075,944.041027124291,1029.9399598993,1000.9552756374,1015.90988609749,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
