Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,MtCO2e,1823.96,1952.78,2068.77,2296.01,2418.26,2739.24,2721.13,2784.74,2886.91,2804.30,2997.17,3196.84,3477.81,4083.67,4792.58,5492.39,6105.23,6660.95,6867.38,7386.85,8142.70,8572.39,8831.70,9274.40,9296.50,9150.93,9224.56,9445.91,9852.83,10057.12
United States,MtCO2e,4425.93,4388.91,4461.04,4576.63,4648.09,4698.45,4854.84,5124.65,5171.90,5190.39,5357.27,5346.80,5191.55,5257.49,5336.72,5351.86,5251.38,5334.57,5156.54,4754.53,4990.20,4754.62,4537.01,4672.94,4687.99,4571.45,4662.71,4587.55,4743.58,4585.99
India,MtCO2e,342.41,386.06,405.13,430.19,464.74,516.73,552.95,598.17,615.17,680.23,716.76,958.52,990.43,1016.75,1090.64,1141.44,1220.18,1341.71,1429.35,1569.87,1664.96,1691.92,1844.61,1907.60,2082.27,2093.18,2160.98,2286.13,2417.66,2422.03
Indonesia,MtCO2e,832.93,846.80,855.90,869.48,883.55,910.04,774.63,1488.04,909.52,849.92,796.10,631.39,1000.98,760.45,1029.57,827.67,1153.20,738.55,730.71,1033.29,772.49,1280.55,1298.62,1243.89,1533.09,1572.47,1055.63,1065.51,1263.43,1475.21
Russia,MtCO2e,1789.00,1761.91,1656.36,1505.80,1310.59,1260.97,1226.63,1114.94,1113.41,1149.44,1189.64,798.49,796.66,841.25,832.22,843.17,885.96,889.17,886.15,777.55,848.79,1011.42,988.26,945.18,924.43,905.05,1012.49,1035.60,1102.50,1145.09
Japan,MtCO2e,1014.86,1028.31,1039.38,1031.93,1085.06,1095.32,1108.95,1096.89,1054.55,1089.57,1106.84,1072.92,1109.12,1117.46,1112.36,1115.25,1091.90,1127.28,1060.34,1002.97,1058.36,1164.02,1204.05,1213.14,1167.41,1129.69,1135.73,1123.17,1084.08,1049.50
Brazil,MtCO2e,1236.37,1243.94,1246.33,1253.73,1260.97,1279.76,1300.89,1319.81,1329.07,1339.45,1352.16,1420.42,1418.80,1411.85,1429.64,1432.81,1436.74,1453.67,1474.75,1451.12,1499.05,680.29,716.22,748.83,773.60,747.33,831.37,840.80,818.30,818.60
Iran,MtCO2e,178.05,198.68,213.23,216.31,246.28,251.10,259.39,271.98,270.58,302.94,320.04,309.80,325.60,345.50,373.39,406.52,439.91,469.87,478.78,498.02,496.90,552.05,559.12,583.70,605.35,599.18,607.27,626.48,637.48,630.07
Germany,MtCO2e,904.38,881.62,841.89,836.13,824.96,823.72,853.37,821.67,814.24,782.57,779.18,829.57,815.21,818.55,802.75,784.06,796.09,765.48,771.36,716.47,754.73,717.27,730.92,746.94,706.78,713.08,717.68,702.73,678.22,627.92
Canada,MtCO2e,484.37,478.18,491.24,486.92,501.64,513.17,526.86,542.01,550.13,559.77,579.87,808.01,825.78,845.97,837.88,850.43,841.87,872.91,851.72,822.56,838.26,684.44,681.38,690.84,696.86,693.89,591.93,603.22,615.36,615.48
