Variable:,tas
,Angola,Bengo,Benguela,Bie,Cabinda,"Cuando Cubango","Cuanza Sul",Cunene,Huambo,Huila,"Kuanza Norte",Luanda,"Lunda Norte","Lunda Sul",Malanje,Moxico,Namibe,Uige,Zaire
1901,21.32,23.69,20.53,19.47,24.58,21.37,20.25,21.41,18.60,20.07,21.94,24.64,22.43,21.80,21.56,21.48,19.77,22.25,23.64
1902,21.36,23.75,20.59,19.52,24.65,21.39,20.31,21.43,18.66,20.11,22.00,24.71,22.47,21.83,21.62,21.50,19.81,22.31,23.70
1903,21.37,23.76,20.59,19.52,24.77,21.40,20.32,21.43,18.66,20.11,22.01,24.72,22.48,21.83,21.62,21.50,19.81,22.33,23.76
1904,21.28,23.65,20.49,19.43,24.53,21.26,20.20,21.40,18.56,20.04,21.89,24.61,22.40,21.78,21.52,21.44,19.75,22.20,23.60
1905,21.32,23.69,20.52,19.46,24.78,21.37,20.24,21.41,18.60,20.06,21.93,24.64,22.43,21.80,21.55,21.48,19.77,22.28,23.75
1906,21.20,23.51,20.36,19.33,24.67,21.24,20.06,21.35,18.43,19.95,21.75,24.46,22.31,21.72,21.38,21.41,19.67,22.12,23.61
1907,21.22,23.55,20.39,19.36,24.72,21.19,20.10,21.37,18.47,19.97,21.78,24.50,22.34,21.74,21.42,21.41,19.70,22.16,23.65
1908,21.29,23.65,20.49,19.44,24.48,21.34,20.21,21.40,18.57,20.04,21.90,24.61,22.41,21.78,21.52,21.47,19.76,22.20,23.58
1909,21.31,23.69,20.52,19.46,24.86,21.27,20.24,21.41,18.60,20.06,21.93,24.64,22.43,21.80,21.55,21.45,19.77,22.29,23.78
1910,21.35,23.79,20.63,19.55,24.62,21.24,20.35,21.44,18.70,20.14,22.05,24.75,22.50,21.84,21.66,21.46,19.83,22.34,23.70
1911,21.41,23.91,20.73,19.63,24.87,21.26,20.47,21.47,18.79,20.21,22.16,24.87,22.56,21.89,21.76,21.49,19.89,22.46,23.89
1912,21.36,23.76,20.57,19.51,24.96,21.36,20.30,21.43,18.64,20.10,21.99,24.71,22.46,21.82,21.60,21.49,19.81,22.36,23.88
1913,21.37,23.77,20.60,19.53,24.59,21.40,20.33,21.43,18.67,20.12,22.02,24.73,22.48,21.83,21.63,21.50,19.82,22.31,23.69
1914,21.29,23.61,20.45,19.40,24.77,21.40,20.16,21.38,18.52,20.01,21.85,24.56,22.37,21.76,21.47,21.48,19.73,22.21,23.70
1915,21.30,23.67,20.52,19.46,24.59,21.31,20.23,21.40,18.59,20.06,21.93,24.63,22.43,21.80,21.55,21.47,19.77,22.23,23.62
1916,21.28,23.61,20.47,19.42,24.54,21.34,20.18,21.39,18.54,20.02,21.87,24.58,22.39,21.77,21.49,21.47,19.74,22.17,23.57
1917,21.33,23.71,20.55,19.49,24.63,21.35,20.27,21.41,18.62,20.08,21.96,24.67,22.44,21.81,21.58,21.48,19.79,22.26,23.66
1918,21.13,23.67,20.52,19.42,24.59,20.76,20.24,21.35,18.60,20.06,21.93,24.63,22.43,21.70,21.55,20.99,19.77,22.23,23.63
