Variable:,tas
,Djibouti,"Ali Sabieh",Dikhil,Djibouti,Obock,Tadjourah
1901,27.91,27.38,27.88,28.18,28.71,27.50
1902,28.04,27.52,28.02,28.31,28.83,27.63
1903,28.20,27.69,28.19,28.48,28.99,27.79
1904,27.94,27.41,27.91,28.21,28.74,27.53
1905,28.14,27.63,28.12,28.42,28.92,27.73
1906,28.09,27.57,28.07,28.36,28.88,27.69
1907,27.78,27.26,27.75,28.06,28.60,27.37
1908,28.15,27.63,28.13,28.42,28.93,27.74
1909,27.50,26.97,27.45,27.78,28.36,27.10
1910,28.42,27.91,28.41,28.69,29.18,28.00
1911,28.46,27.90,28.45,28.70,29.25,28.07
1912,27.88,27.30,27.84,28.13,28.70,27.49
1913,27.89,27.34,27.86,28.16,28.71,27.50
1914,27.91,27.38,27.88,28.18,28.71,27.50
1915,27.91,27.38,27.88,28.18,28.71,27.50
1916,27.89,27.36,27.86,28.16,28.70,27.49
1917,27.90,27.39,27.88,28.18,28.71,27.50
1918,27.91,27.39,27.88,28.18,28.71,27.50
1919,27.91,27.38,27.88,28.18,28.71,27.50
1920,27.89,27.37,27.86,28.17,28.70,27.49
1921,27.91,27.41,27.89,28.20,28.72,27.50
1922,27.92,27.46,27.90,28.22,28.72,27.50
1923,27.90,27.38,27.87,28.18,28.71,27.50
1924,27.93,27.47,27.92,28.23,28.71,27.49
1925,27.92,27.44,27.90,28.22,28.72,27.50
1926,27.92,27.41,27.89,28.20,28.71,27.50
1927,27.92,27.41,27.90,28.20,28.72,27.50
1928,27.92,27.44,27.91,28.21,28.71,27.49
1929,27.90,27.37,27.87,28.18,28.72,27.50
1930,27.89,27.33,27.86,28.16,28.71,27.50
1931,27.92,27.43,27.89,28.20,28.71,27.50
1932,27.90,27.38,27.87,28.18,28.70,27.49
1933,27.91,27.39,27.88,28.18,28.71,27.51
1934,27.91,27.38,27.88,28.18,28.71,27.50
1935,27.91,27.38,27.88,28.18,28.71,27.50
1936,27.90,27.39,27.88,28.18,28.70,27.49
1937,27.92,27.42,27.90,28.20,28.71,27.50
1938,27.91,27.38,27.88,28.18,28.71,27.50
1939,27.92,27.42,27.90,28.20,28.71,27.50
1940,27.92,27.45,27.90,28.20,28.70,27.50
1941,27.82,27.35,27.80,28.13,28.62,27.39
1942,27.67,27.24,27.65,28.01,28.48,27.22
1943,27.26,26.92,27.22,27.67,28.07,26.77
1944,27.60,27.18,27.57,27.95,28.41,27.15
1945,27.49,27.10,27.45,27.86,28.31,27.02
1946,27.85,27.42,27.80,28.20,28.68,27.41
1947,28.10,27.66,28.07,28.43,28.90,27.67
1948,27.51,27.06,27.45,27.84,28.35,27.07
1949,27.28,26.81,27.21,27.62,28.15,26.86
1950,27.40,26.86,27.32,27.68,28.27,27.00
1951,27.93,27.59,27.93,28.29,28.68,27.46
1952,27.95,27.53,27.94,28.27,28.69,27.51
1953,28.36,27.98,28.32,28.73,29.16,27.90
1954,28.36,27.95,28.33,28.72,29.17,27.91
1955,28.45,27.98,28.40,28.78,29.30,28.01
1956,27.63,27.15,27.59,27.94,28.45,27.20
1957,27.54,27.03,27.51,27.83,28.37,27.13
1958,27.98,27.47,27.95,28.26,28.78,27.56
1959,27.86,27.36,27.84,28.14,28.65,27.44
1960,27.72,27.19,27.69,27.99,28.52,27.31
1961,27.46,26.99,27.41,27.77,28.28,27.04
1962,27.46,26.97,27.41,27.76,28.29,27.05
1963,27.84,27.35,27.80,28.15,28.68,27.43
1964,27.33,26.86,27.31,27.63,28.13,26.90
1965,27.71,27.17,27.68,27.99,28.54,27.30
1966,27.83,27.32,27.80,28.12,28.65,27.41
1967,27.29,26.82,27.26,27.58,28.08,26.87
1968,27.37,26.88,27.35,27.66,28.16,26.95
1969,28.10,27.56,28.06,28.36,28.93,27.70
1970,27.98,27.47,27.95,28.26,28.78,27.57
1971,27.47,26.97,27.44,27.76,28.28,27.06
1972,27.91,27.42,27.88,28.20,28.72,27.50
1973,28.36,27.85,28.33,28.65,29.19,27.95
1974,27.63,27.11,27.60,27.90,28.44,27.23
1975,27.86,27.34,27.84,28.12,28.65,27.45
1976,28.11,27.58,28.06,28.38,28.94,27.70
1977,28.14,27.64,28.11,28.42,28.95,27.72
1978,28.12,27.59,28.09,28.38,28.93,27.72
1979,28.32,27.80,28.29,28.60,29.12,27.92
1980,28.66,28.15,28.63,28.94,29.47,28.25
1981,27.71,27.21,27.70,27.97,28.50,27.30
1982,27.95,27.44,27.92,28.23,28.75,27.54
1983,28.08,27.56,28.05,28.35,28.88,27.67
1984,27.80,27.19,27.76,28.03,28.64,27.42
1985,27.85,27.31,27.81,28.11,28.67,27.46
1986,27.89,27.34,27.86,28.14,28.71,27.49
1987,28.04,27.55,28.01,28.34,28.84,27.63
1988,27.96,27.50,27.94,28.25,28.74,27.54
1989,27.55,27.08,27.52,27.85,28.34,27.13
1990,28.11,27.59,28.09,28.38,28.91,27.71
1991,28.24,27.74,28.21,28.53,29.05,27.84
1992,27.87,27.38,27.85,28.16,28.67,27.44
1993,27.87,27.32,27.84,28.12,28.68,27.47
1994,28.05,27.52,28.03,28.32,28.85,27.64
1995,28.19,27.71,28.16,28.49,29.00,27.77
1996,28.26,27.74,28.23,28.53,29.06,27.85
1997,28.26,27.74,28.24,28.52,29.05,27.86
1998,28.62,28.09,28.59,28.88,29.42,28.22
1999,28.00,27.43,27.95,28.25,28.83,27.61
2000,28.28,27.74,28.26,28.54,29.07,27.87
2001,28.35,27.82,28.34,28.61,29.15,27.95
2002,28.89,28.36,28.88,29.15,29.67,28.48
2003,28.62,28.09,28.58,28.89,29.44,28.23
2004,28.51,27.98,28.50,28.76,29.30,28.10
2005,28.60,28.06,28.59,28.86,29.38,28.19
2006,28.52,28.01,28.52,28.79,29.30,28.10
2007,28.33,27.82,28.31,28.61,29.12,27.92
2008,28.31,27.77,28.29,28.57,29.11,27.91
2009,29.09,28.54,29.07,29.34,29.88,28.69
2010,28.69,28.10,28.68,28.90,29.48,28.32
2011,28.60,28.05,28.60,28.83,29.37,28.20
2012,28.58,28.01,28.57,28.81,29.37,28.19
2013,28.95,28.43,28.93,29.22,29.75,28.54
2014,28.66,28.16,28.64,28.95,29.45,28.25
2015,29.21,28.70,29.21,29.48,29.98,28.80
2016,29.08,28.55,29.06,29.34,29.86,28.68
2017,28.88,28.34,28.85,29.14,29.68,28.48
2018,28.46,27.90,28.44,28.68,29.27,28.07
2019,28.58,28.04,28.54,28.85,29.39,28.18
2020,28.43,27.92,28.41,28.70,29.23,28.02
2021,28.46,27.89,28.45,28.69,29.25,28.08
