Variable:,tas
1901,6.52
1902,6.22
1903,6.24
1904,6.40
1905,5.89
1906,5.83
1907,5.88
1908,5.88
1909,5.83
1910,6.19
1911,6.16
1912,6.30
1913,6.03
1914,5.94
1915,6.03
1916,6.35
1917,6.44
1918,6.18
1919,6.33
1920,6.37
1921,6.32
1922,6.46
1923,5.50
1924,6.29
1925,5.99
1926,6.10
1927,6.08
1928,6.07
1929,6.07
1930,6.00
1931,5.94
1932,5.72
1933,5.88
1934,5.95
1935,5.41
1936,5.95
1937,5.45
1938,5.59
1939,5.29
1940,6.08
1941,6.07
1942,6.29
1943,6.68
1944,6.14
1945,6.39
1946,5.76
1947,5.99
1948,5.55
1949,6.02
1950,5.64
1951,6.05
1952,6.42
1953,6.24
1954,5.84
1955,5.96
1956,6.38
1957,5.96
1958,5.86
1959,5.58
1960,6.26
1961,5.42
1962,6.39
1963,5.56
1964,5.70
1965,6.28
1966,5.72
1967,5.88
1968,6.34
1969,5.84
1970,6.15
1971,5.46
1972,5.66
1973,5.75
1974,6.28
1975,6.14
1976,5.45
1977,5.99
1978,6.34
1979,6.54
1980,5.90
1981,6.21
1982,6.19
1983,6.35
1984,5.74
1985,6.84
1986,6.01
1987,6.38
1988,6.21
1989,6.39
1990,6.23
1991,5.87
1992,5.89
1993,6.34
1994,5.87
1995,5.88
1996,6.41
1997,5.85
1998,6.75
1999,6.34
2000,5.80
2001,5.93
2002,5.62
2003,6.20
2004,6.71
2005,6.15
2006,6.30
2007,5.91
2008,6.39
2009,6.15
2010,6.20
2011,6.44
2012,6.23
2013,6.42
2014,6.15
2015,6.18
2016,6.51
2017,6.44
2018,6.40
2019,6.26
2020,6.52
2021,6.85
