Variable:,tas
,"Sri Lanka",Central,Eastern,"North Central","North Western",Northern,Sabaragamuwa,Southern,Uva,Western
1901,26.53,23.92,27.41,27.39,27.13,27.78,24.97,26.27,25.44,26.39
1902,26.44,23.83,27.31,27.30,27.04,27.71,24.88,26.19,25.35,26.30
1903,26.39,23.78,27.25,27.22,26.99,27.61,24.85,26.17,25.31,26.27
1904,26.04,23.44,26.92,26.89,26.62,27.29,24.49,25.81,24.96,25.91
1905,26.46,23.85,27.33,27.31,27.05,27.71,24.91,26.21,25.38,26.32
1906,26.52,23.90,27.39,27.37,27.12,27.79,24.98,26.27,25.43,26.39
1907,26.24,23.63,27.11,27.09,26.82,27.50,24.70,26.00,25.16,26.11
1908,26.19,23.58,27.06,27.05,26.78,27.45,24.63,25.92,25.10,26.05
1909,26.16,23.55,27.03,27.02,26.75,27.45,24.61,25.91,25.06,26.03
1910,26.20,23.59,27.07,27.06,26.81,27.46,24.64,25.94,25.10,26.06
1911,26.56,23.96,27.44,27.43,27.18,27.81,24.99,26.28,25.46,26.42
1912,26.58,23.96,27.44,27.42,27.17,27.83,25.03,26.33,25.49,26.45
1913,26.47,23.86,27.34,27.33,27.07,27.73,24.91,26.21,25.37,26.33
1914,26.54,23.94,27.41,27.40,27.16,27.78,24.99,26.29,25.45,26.42
1915,26.68,24.06,27.55,27.53,27.29,27.93,25.13,26.42,25.59,26.55
1916,26.31,23.70,27.18,27.15,26.90,27.54,24.78,26.09,25.23,26.19
1917,26.06,23.45,26.93,26.90,26.66,27.29,24.52,25.82,24.98,25.94
1918,26.19,23.57,27.06,27.05,26.79,27.46,24.62,25.90,25.09,26.04
1919,26.62,24.01,27.50,27.48,27.23,27.89,25.06,26.36,25.53,26.48
1920,26.70,24.08,27.57,27.55,27.28,27.98,25.14,26.42,25.60,26.54
1921,26.39,23.77,27.25,27.24,26.99,27.66,24.83,26.13,25.28,26.26
1922,26.23,23.61,27.11,27.08,26.83,27.52,24.67,25.98,25.14,26.09
1923,26.16,23.52,27.03,27.04,26.76,27.48,24.56,25.86,25.03,25.99
1924,26.35,23.73,27.23,27.22,26.95,27.64,24.78,26.07,25.24,26.21
1925,26.16,23.54,27.03,27.02,26.76,27.44,24.60,25.90,25.06,26.02
1926,26.53,23.91,27.40,27.40,27.14,27.85,24.96,26.24,25.41,26.39
1927,26.34,23.70,27.21,27.22,26.96,27.67,24.74,26.04,25.21,26.18
1928,26.54,23.92,27.40,27.40,27.14,27.84,24.98,26.27,25.43,26.40
1929,26.23,23.61,27.10,27.09,26.84,27.54,24.66,25.94,25.12,26.09
1930,26.28,23.66,27.14,27.14,26.90,27.57,24.72,26.02,25.17,26.16
1931,26.53,23.92,27.39,27.39,27.15,27.84,24.96,26.25,25.41,26.39
1932,26.13,23.52,27.00,26.99,26.73,27.40,24.57,25.86,25.03,25.98
1933,26.02,23.41,26.89,26.88,26.62,27.30,24.46,25.75,24.92,25.87
1934,26.18,23.55,27.04,27.04,26.78,27.48,24.60,25.90,25.06,26.03
1935,26.32,23.70,27.20,27.19,26.93,27.62,24.74,26.03,25.21,26.17
1936,26.45,23.83,27.33,27.31,27.05,27.75,24.88,26.17,25.35,26.30
1937,26.52,23.91,27.38,27.38,27.12,27.80,24.97,26.28,25.42,26.39
1938,26.49,23.86,27.36,27.34,27.09,27.76,24.92,26.22,25.39,26.34
1939,26.29,23.68,27.17,27.15,26.89,27.57,24.73,26.03,25.20,26.15
1940,26.56,23.94,27.44,27.40,27.14,27.79,25.01,26.32,25.48,26.42
1941,26.74,24.12,27.62,27.60,27.34,28.06,25.16,26.46,25.63,26.59
1942,26.59,23.97,27.48,27.45,27.17,27.90,25.02,26.32,25.49,26.42
1943,26.11,23.49,26.99,26.96,26.69,27.41,24.54,25.84,25.01,25.96
1944,26.32,23.70,27.19,27.17,26.92,27.62,24.75,26.04,25.21,26.18
1945,26.40,23.78,27.27,27.26,26.99,27.71,24.83,26.13,25.29,26.26
1946,26.43,23.81,27.31,27.28,27.01,27.73,24.87,26.17,25.33,26.28
1947,26.37,23.75,27.24,27.22,26.96,27.67,24.80,26.09,25.27,26.21
1948,26.57,23.93,27.45,27.43,27.16,27.89,24.99,26.28,25.45,26.41
1949,26.27,23.65,27.14,27.12,26.85,27.56,24.70,26.00,25.17,26.12
1950,26.33,23.72,27.22,27.18,26.92,27.61,24.77,26.08,25.25,26.18
1951,26.34,23.72,27.21,27.20,26.94,27.64,24.77,26.06,25.23,26.20
1952,26.58,23.95,27.45,27.43,27.17,27.87,25.00,26.30,25.48,26.42
1953,26.62,24.01,27.50,27.48,27.21,27.92,25.04,26.34,25.52,26.46
1954,26.24,23.61,27.12,27.11,26.84,27.54,24.66,25.95,25.12,26.08
1955,26.06,23.44,26.93,26.91,26.65,27.33,24.51,25.82,24.97,25.93
1956,26.09,23.48,26.96,26.95,26.68,27.37,24.53,25.83,25.00,25.94
1957,26.36,23.74,27.22,27.21,26.96,27.63,24.81,26.11,25.26,26.23
