Variable:,tas
,Mali,Bamako,Gao,Kayes,Kidal,Koulikoro,Mopti,Segou,Sikasso,Tombouctou
1901,28.11,27.74,28.78,28.28,28.00,27.83,28.17,27.84,27.08,28.09
1902,28.47,28.07,29.03,28.67,28.23,28.29,28.83,28.50,27.35,28.43
1903,28.66,27.85,29.52,28.45,28.69,28.05,28.89,28.28,27.17,28.73
1904,28.68,27.87,29.51,28.31,28.67,28.11,29.04,28.48,27.23,28.77
1905,28.32,27.73,29.01,28.34,28.24,27.92,28.54,28.10,27.07,28.33
1906,28.36,27.62,29.38,28.31,28.45,27.80,28.69,28.07,27.03,28.26
1907,28.14,27.43,29.09,27.85,28.22,27.60,28.46,27.92,26.90,28.10
1908,28.58,27.99,29.26,28.60,28.44,28.23,28.95,28.50,27.28,28.56
1909,28.62,27.98,29.21,28.43,28.49,28.21,28.93,28.48,27.26,28.73
1910,28.41,27.88,29.25,28.49,28.35,28.07,28.79,28.33,27.24,28.29
1911,27.95,27.47,28.66,28.16,27.85,27.65,28.22,27.84,26.89,27.85
1912,28.52,28.06,29.28,28.62,28.39,28.25,28.94,28.53,27.40,28.39
1913,28.45,27.74,29.40,28.41,28.49,27.93,28.75,28.16,27.10,28.38
1914,28.61,27.77,29.74,28.29,28.72,27.98,29.13,28.41,27.22,28.50
1915,27.89,27.65,28.52,28.40,27.75,27.74,27.86,27.60,26.92,27.79
1916,27.24,27.27,27.80,27.99,27.08,27.23,27.04,26.91,26.53,27.08
1917,27.50,27.38,28.12,27.99,27.38,27.37,27.40,27.18,26.65,27.40
1918,27.32,27.25,27.89,28.06,27.17,27.25,27.14,26.94,26.45,27.18
1919,28.71,27.87,29.52,28.59,28.69,28.13,29.03,28.43,27.15,28.77
1920,28.66,27.75,29.51,28.18,28.67,28.01,29.03,28.44,27.19,28.76
1921,28.67,27.73,29.52,28.20,28.69,28.02,29.02,28.43,27.16,28.77
1922,28.05,27.48,28.79,27.93,28.01,27.66,28.18,27.78,26.88,28.06
1923,28.02,27.50,28.93,28.23,28.01,27.69,28.20,27.82,26.88,27.86
