Variable:,tas
,Nigeria,Adamawa,"Akwa Ibom",Anambra,Benue,Borno,"Cross River",Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
1901,26.63,26.33,25.64,26.32,26.50,27.63,25.70,26.43,26.47,26.56,25.89,27.07,25.15,26.01,26.32,28.28,26.60,26.89,26.79,27.41,26.94,26.00,26.58,25.63,27.68,25.81,25.96,25.63,26.32,25.45,26.16,26.76,26.29,26.35,25.21,25.26,28.40,27.03
1902,26.83,26.58,25.91,26.60,26.80,27.72,25.98,26.71,26.75,26.85,26.18,27.17,25.38,26.15,26.39,28.34,26.89,27.05,26.98,27.58,27.12,26.23,26.75,25.93,27.77,26.09,26.17,25.91,26.62,25.71,26.46,26.99,26.60,26.61,25.50,25.54,28.43,27.10
1903,26.86,26.60,26.03,26.69,26.87,27.72,26.08,26.79,26.81,26.88,26.26,27.17,25.38,26.15,26.39,28.43,26.93,27.07,27.00,27.60,27.13,26.25,26.76,25.98,27.77,26.18,26.18,25.99,26.71,25.75,26.54,27.00,26.63,26.64,25.53,25.64,28.53,27.11
1904,26.81,26.55,25.78,26.51,26.72,27.71,25.86,26.62,26.69,26.82,26.05,27.16,25.37,26.15,26.39,28.43,26.84,27.07,26.95,27.59,27.10,26.21,26.75,25.86,27.76,25.96,26.17,25.79,26.51,25.68,26.37,26.98,26.55,26.56,25.47,25.41,28.52,27.11
1905,26.71,26.62,26.13,26.69,26.88,27.72,26.15,26.79,26.80,26.76,26.30,26.97,25.13,25.87,26.03,27.95,26.89,26.74,26.93,27.25,26.99,26.12,26.47,26.02,27.71,26.24,26.07,26.05,26.73,25.64,26.53,26.98,26.60,26.62,25.50,25.71,28.04,26.68
1906,27.08,26.61,26.09,26.81,26.97,27.72,26.16,26.92,26.98,27.16,26.37,27.42,25.73,26.50,26.84,28.80,27.15,27.50,27.25,28.04,27.44,26.58,27.18,26.02,27.84,26.28,26.33,26.09,26.81,26.03,26.65,27.05,26.80,26.87,25.65,25.73,28.89,27.61
1907,26.86,26.61,26.13,26.73,26.92,27.72,26.18,26.83,26.83,26.87,26.35,27.17,25.38,26.15,26.39,28.30,26.94,27.05,27.00,27.58,27.13,26.25,26.75,26.03,27.77,26.28,26.18,26.09,26.78,25.74,26.57,27.00,26.64,26.65,25.53,25.74,28.40,27.09
1908,26.81,26.55,25.78,26.56,26.75,27.71,25.87,26.67,26.74,26.84,26.09,27.18,25.38,26.16,26.41,28.37,26.88,27.07,26.97,27.60,27.12,26.23,26.76,25.86,27.77,25.99,26.17,25.81,26.54,25.70,26.40,26.99,26.58,26.60,25.49,25.42,28.46,27.12
1909,26.77,26.64,26.25,26.77,26.95,27.72,26.27,26.87,26.80,26.76,26.42,27.03,25.20,25.96,26.15,28.11,26.87,26.83,26.90,27.35,27.00,26.11,26.53,26.08,27.73,26.37,26.10,26.17,26.84,25.61,26.61,26.98,26.59,26.57,25.50,25.84,28.20,26.82
1910,26.87,26.49,25.69,26.50,26.68,27.69,25.79,26.61,26.70,26.86,26.02,27.30,25.51,26.33,26.65,28.59,26.87,27.25,27.01,27.79,27.20,26.28,26.93,25.78,27.79,25.91,26.20,25.73,26.47,25.74,26.34,26.95,26.55,26.59,25.45,25.34,28.70,27.38
1911,26.82,26.60,26.08,26.71,26.90,27.72,26.13,26.82,26.83,26.85,26.32,27.14,25.35,26.12,26.35,28.15,26.94,26.99,27.00,27.52,27.11,26.23,26.71,26.00,27.77,26.24,26.16,26.05,26.75,25.73,26.56,26.99,26.64,26.65,25.53,25.70,28.25,27.01
1912,26.92,26.52,26.12,26.76,26.91,27.67,26.16,26.87,26.88,26.94,26.35,27.24,25.46,26.24,26.57,28.58,27.00,27.22,27.09,27.74,27.24,26.35,26.90,25.97,27.76,26.28,26.17,26.10,26.78,25.84,26.60,26.93,26.67,26.73,25.52,25.74,28.70,27.34
1913,27.06,26.55,25.79,26.63,26.82,27.72,25.90,26.75,26.87,27.11,26.14,27.48,25.78,26.57,26.93,28.94,27.06,27.57,27.20,28.12,27.42,26.54,27.23,25.88,27.86,26.03,26.34,25.85,26.60,25.97,26.49,27.04,26.71,26.78,25.59,25.46,29.03,27.73
1914,27.27,26.62,26.18,26.93,27.06,27.72,26.24,27.03,27.11,27.37,26.48,27.63,26.01,26.78,27.19,29.23,27.31,27.87,27.43,28.41,27.66,26.81,27.51,26.07,27.91,26.38,26.46,26.19,26.91,26.25,26.77,27.08,26.93,27.02,25.74,25.82,29.33,28.02
1915,26.84,26.59,26.00,26.67,26.86,27.72,26.06,26.78,26.80,26.86,26.25,27.17,25.38,26.15,26.39,28.24,26.93,27.05,27.00,27.58,27.13,26.25,26.75,25.97,27.77,26.17,26.17,25.99,26.69,25.74,26.52,26.99,26.62,26.65,25.52,25.63,28.35,27.08
1916,26.82,26.59,26.01,26.68,26.86,27.71,26.07,26.78,26.81,26.87,26.26,27.16,25.38,26.15,26.39,28.10,26.93,27.04,27.01,27.56,27.14,26.26,26.76,25.97,27.76,26.18,26.17,25.99,26.70,25.74,26.52,26.99,26.63,26.65,25.52,25.63,28.21,27.06
1917,26.83,26.59,26.00,26.67,26.86,27.72,26.06,26.78,26.80,26.86,26.25,27.17,25.38,26.15,26.39,28.16,26.93,27.04,27.00,27.57,27.13,26.25,26.75,25.97,27.77,26.17,26.17,25.99,26.69,25.74,26.52,26.99,26.62,26.65,25.52,25.63,28.27,27.07
1918,26.82,26.59,26.00,26.67,26.86,27.72,26.06,26.78,26.80,26.86,26.25,27.17,25.38,26.15,26.39,28.11,26.93,27.03,27.00,27.56,27.13,26.25,26.75,25.97,27.77,26.17,26.17,25.99,26.69,25.74,26.52,26.99,26.62,26.65,25.52,25.63,28.23,27.06
