Variable:,tas
,"Virgin Islands","Saint Croix (County Equivalent)","Saint John (County Equivalent)","Saint Thomas (County Equivalent)"
1901,26.14,26.14,25.69,25.73
1902,25.71,25.71,25.28,25.32
1903,25.80,25.80,25.38,25.42
1904,25.29,25.29,24.85,24.89
1905,25.65,25.65,25.23,25.27
1906,25.46,25.46,25.03,25.07
1907,25.14,25.14,24.71,24.75
1908,25.34,25.34,24.90,24.94
1909,25.24,25.24,24.78,24.82
1910,25.23,25.23,24.79,24.83
1911,25.22,25.22,24.78,24.82
1912,25.56,25.56,25.15,25.19
1913,24.91,24.91,24.47,24.51
1914,25.30,25.30,24.87,24.91
1915,25.89,25.89,25.47,25.51
1916,25.40,25.40,24.96,25.00
1917,25.08,25.08,24.59,24.63
1918,25.18,25.18,24.72,24.76
1919,25.37,25.37,24.92,24.96
1920,25.17,25.17,24.77,24.81
1921,25.12,25.12,24.63,24.67
1922,25.01,25.01,24.53,24.57
1923,25.50,25.50,25.04,25.08
1924,25.87,25.87,25.45,25.49
1925,25.39,25.39,24.94,24.98
1926,25.96,25.96,25.52,25.56
1927,25.60,25.60,25.16,25.20
1928,25.61,25.61,25.19,25.23
1929,25.26,25.26,24.81,24.85
1930,25.53,25.53,25.09,25.13
1931,26.25,26.25,25.83,25.87
1932,26.26,26.26,25.80,25.84
1933,25.90,25.90,25.46,25.50
1934,25.77,25.77,25.28,25.32
1935,25.63,25.63,25.18,25.22
1936,25.89,25.89,25.46,25.50
1937,26.12,26.12,25.68,25.72
1938,25.68,25.68,25.20,25.24
1939,25.88,25.88,25.40,25.44
1940,26.49,26.49,26.02,26.06
1941,26.53,26.53,26.04,26.08
1942,26.61,26.61,26.14,26.18
1943,25.98,25.98,25.54,25.58
1944,26.16,26.16,25.70,25.74
1945,25.67,25.67,25.20,25.24
1946,25.84,25.84,25.39,25.43
1947,26.16,26.16,25.69,25.73
1948,26.17,26.17,25.74,25.78
1949,25.88,25.88,25.41,25.45
1950,25.62,25.62,25.18,25.22
1951,26.20,26.20,25.75,25.79
1952,26.21,26.21,25.77,25.80
1953,26.08,26.08,25.65,25.69
1954,25.91,25.91,25.47,25.51
1955,25.90,25.90,25.46,25.49
1956,25.75,25.75,25.31,25.35
1957,26.08,26.08,25.65,25.70
1958,26.59,26.59,26.14,26.18
1959,26.21,26.21,25.78,25.82
1960,26.44,26.44,26.01,26.05
1961,26.15,26.15,25.73,25.77
1962,26.25,26.25,25.79,25.83
1963,26.38,26.38,25.93,25.97
1964,26.25,26.25,25.79,25.83
1965,26.14,26.14,25.67,25.71
1966,26.40,26.40,25.99,26.03
1967,26.12,26.12,25.74,25.78
1968,26.18,26.18,25.78,25.82
1969,26.66,26.66,26.24,26.28
1970,26.45,26.45,26.02,26.06
1971,26.04,26.04,25.66,25.70
1972,26.30,26.30,25.95,25.99
1973,26.42,26.42,26.04,26.08
1974,26.02,26.02,25.67,25.71
1975,26.03,26.03,25.66,25.70
1976,25.88,25.88,25.53,25.57
1977,26.38,26.38,25.96,26.00
1978,26.46,26.46,26.03,26.07
1979,26.43,26.43,26.05,26.09
1980,27.05,27.05,26.67,26.71
1981,26.98,26.98,26.52,26.56
1982,26.64,26.64,26.09,26.13
1983,27.24,27.24,26.73,26.77
1984,26.65,26.65,26.14,26.18
1985,26.56,26.56,26.03,26.07
1986,26.74,26.74,26.21,26.25
1987,27.28,27.28,26.80,26.83
1988,26.91,26.91,26.41,26.45
1989,26.54,26.54,26.09,26.12
1990,26.84,26.84,26.35,26.39
1991,26.92,26.92,26.47,26.51
1992,26.97,26.97,26.52,26.56
1993,27.08,27.08,26.64,26.68
1994,26.92,26.92,26.49,26.53
1995,27.12,27.12,26.69,26.73
1996,26.99,26.99,26.55,26.59
1997,27.23,27.23,26.80,26.84
1998,27.52,27.52,27.09,27.13
1999,27.02,27.02,26.59,26.63
2000,26.90,26.90,26.47,26.51
2001,27.24,27.24,26.80,26.84
2002,27.36,27.36,26.91,26.95
2003,27.26,27.26,26.81,26.85
2004,26.85,26.85,26.42,26.46
2005,27.17,27.17,26.73,26.77
2006,27.02,27.02,26.55,26.60
2007,27.08,27.08,26.64,26.68
2008,26.71,26.71,26.25,26.29
2009,27.20,27.20,26.71,26.75
2010,27.35,27.35,26.89,26.93
2011,26.87,26.87,26.41,26.45
2012,27.12,27.12,26.68,26.72
2013,27.15,27.15,26.73,26.77
2014,27.20,27.20,26.75,26.79
2015,27.43,27.43,27.00,27.04
2016,27.43,27.43,26.99,27.03
2017,27.30,27.30,26.86,26.90
2018,26.97,26.97,26.53,26.57
2019,27.42,27.42,26.99,27.03
2020,27.38,27.38,26.97,27.01
2021,27.27,27.27,26.83,26.87
