Variable:,tas
,Zambia,Central,Copperbelt,Eastern,Luapula,Lusaka,North-Western,Northern,Southern,Western
1901,21.53,21.13,20.32,22.34,21.53,22.59,20.92,21.08,21.81,22.38
1902,21.77,21.46,20.60,22.70,21.75,22.95,21.06,21.35,22.12,22.54
1903,21.84,21.59,20.70,22.77,21.74,23.13,21.12,21.32,22.28,22.62
1904,21.25,20.70,19.98,22.06,21.43,22.06,20.72,21.02,21.30,22.05
1905,21.73,21.43,20.56,22.65,21.65,22.95,21.05,21.24,22.10,22.52
1906,21.29,20.84,20.10,22.16,21.37,22.24,20.78,20.89,21.43,22.10
1907,21.10,20.58,19.87,21.97,21.22,21.93,20.66,20.77,21.13,21.91
1908,21.62,21.29,20.45,22.52,21.60,22.75,20.98,21.16,21.92,22.41
1909,21.44,21.03,20.25,22.34,21.52,22.44,20.86,21.07,21.61,22.19
1910,21.18,20.67,19.95,22.03,21.34,22.01,20.70,20.90,21.21,21.96
1911,21.17,20.67,19.95,22.03,21.30,22.02,20.70,20.86,21.23,21.98
1912,21.68,21.39,20.54,22.61,21.65,22.86,21.02,21.18,22.02,22.46
1913,21.79,21.53,20.64,22.72,21.67,23.06,21.09,21.22,22.24,22.60
1914,22.08,21.92,20.99,23.21,21.96,23.46,21.25,21.54,22.55,22.76
1915,21.82,21.55,20.69,22.94,21.84,23.01,21.08,21.43,22.11,22.46
1916,21.84,21.58,20.71,22.90,21.80,23.07,21.10,21.38,22.18,22.53
1917,21.77,21.49,20.63,22.81,21.75,22.98,21.06,21.31,22.09,22.49
1918,20.96,20.50,19.75,21.99,21.27,21.90,20.24,20.90,21.02,21.51
1919,21.21,20.78,20.00,22.20,21.39,22.20,20.52,20.99,21.35,21.85
1920,21.76,21.45,20.59,22.85,21.73,22.91,21.07,21.35,22.03,22.45
1921,21.56,21.16,20.37,22.54,21.60,22.57,20.96,21.22,21.74,22.29
1922,22.22,21.98,21.06,23.21,21.93,23.49,21.60,21.53,22.66,23.12
1923,21.77,21.44,20.58,22.76,21.68,22.90,21.12,21.30,22.06,22.55
1924,21.56,21.19,20.37,22.54,21.58,22.63,20.90,21.20,21.78,22.28
1925,21.24,20.81,20.03,22.27,21.41,22.23,20.53,21.07,21.36,21.83
1926,21.53,21.17,20.34,22.58,21.58,22.62,20.82,21.23,21.74,22.18
1927,21.34,20.93,20.12,22.33,21.45,22.37,20.66,21.08,21.50,22.02
1928,21.90,21.58,20.73,22.78,21.74,23.05,21.31,21.31,22.26,22.79
1929,21.72,21.37,20.53,22.70,21.65,22.84,21.12,21.22,21.98,22.53
1930,21.37,20.96,20.19,22.31,21.48,22.38,20.74,21.07,21.54,22.07
1931,22.03,21.74,20.86,22.91,21.78,23.24,21.47,21.37,22.44,22.96
1932,21.52,21.12,20.32,22.41,21.52,22.57,20.91,21.09,21.79,22.31
1933,21.46,21.08,20.30,22.34,21.44,22.50,20.93,20.97,21.69,22.30
1934,21.68,21.35,20.51,22.49,21.45,22.82,21.17,20.96,22.08,22.70
1935,21.33,20.91,20.18,22.15,21.37,22.30,20.83,20.91,21.48,22.14
1936,21.28,20.90,20.12,22.27,21.35,22.31,20.69,20.94,21.44,21.96
1937,21.21,20.89,20.06,22.33,21.24,22.35,20.51,20.90,21.41,21.78
1938,21.65,21.30,20.49,22.59,21.62,22.76,21.05,21.18,21.92,22.46
1939,21.19,20.76,20.03,22.09,21.28,22.15,20.68,20.84,21.30,21.95
1940,21.73,21.31,20.52,22.51,21.68,22.75,21.22,21.18,22.03,22.69
1941,21.98,21.57,20.73,22.86,21.92,23.01,21.40,21.47,22.30,22.89
1942,22.09,21.69,20.87,22.77,21.91,23.13,21.63,21.34,22.48,23.23
1943,21.69,21.26,20.48,22.42,21.59,22.67,21.22,21.06,21.99,22.72
1944,21.78,21.39,20.59,22.62,21.71,22.82,21.23,21.24,22.09,22.70
1945,21.45,21.02,20.28,22.23,21.47,22.39,20.95,20.99,21.66,22.33
1946,21.62,21.24,20.43,22.43,21.57,22.67,21.06,21.10,21.94,22.52
1947,21.66,21.33,20.47,22.59,21.55,22.81,21.02,21.12,22.04,22.50
1948,21.52,21.16,20.32,22.59,21.56,22.62,20.81,21.23,21.74,22.17
1949,22.18,21.75,20.93,22.97,22.18,23.17,21.60,21.72,22.44,23.09
1950,21.52,21.13,20.32,22.24,21.34,22.57,21.01,20.84,21.94,22.59
1951,21.37,20.99,20.19,22.33,21.31,22.43,20.73,20.92,21.65,22.19
1952,21.69,21.27,20.50,22.53,21.62,22.68,21.13,21.20,22.02,22.60
1953,21.39,20.98,20.17,22.45,21.55,22.39,20.72,21.20,21.48,22.00
1954,21.47,21.12,20.28,22.48,21.46,22.60,20.75,21.12,21.74,22.17
1955,21.38,21.01,20.20,22.34,21.39,22.47,20.74,21.02,21.60,22.11
1956,21.09,20.72,19.88,21.99,20.98,22.23,20.45,20.62,21.45,21.90
1957,21.76,21.41,20.57,22.66,21.56,22.95,21.09,21.20,22.22,22.65
1958,21.59,21.21,20.38,22.62,21.62,22.67,20.92,21.29,21.80,22.28
1959,21.74,21.38,20.55,22.67,21.64,22.87,21.08,21.28,22.07,22.56
1960,21.58,21.22,20.39,22.47,21.47,22.71,20.97,21.08,21.88,22.44
1961,21.50,21.15,20.33,22.55,21.60,22.59,20.78,21.24,21.66,22.12
1962,21.20,20.82,19.98,22.16,21.19,22.31,20.55,20.81,21.49,21.96
1963,20.92,20.51,19.71,21.91,21.04,21.90,20.31,20.65,21.05,21.59
1964,21.20,20.82,20.01,22.12,21.21,22.30,20.59,20.79,21.45,21.96
1965,21.03,20.60,19.81,21.84,21.00,22.06,20.49,20.59,21.32,21.88
1966,21.62,21.25,20.44,22.59,21.70,22.68,20.95,21.31,21.80,22.31
1967,21.34,20.98,20.17,22.36,21.40,22.44,20.66,21.03,21.52,22.02
1968,21.42,21.09,20.24,22.32,21.34,22.59,20.80,20.92,21.77,22.26
1969,21.66,21.30,20.49,22.69,21.79,22.73,20.98,21.41,21.80,22.29
1970,21.81,21.47,20.63,22.68,21.72,22.99,21.17,21.30,22.19,22.66
1971,21.34,20.97,20.16,22.22,21.26,22.46,20.75,20.85,21.67,22.19
1972,21.47,21.09,20.30,22.47,21.56,22.51,20.86,21.16,21.59,22.15
1973,21.67,21.26,20.47,22.54,21.62,22.73,21.08,21.22,21.94,22.50
1974,20.99,20.55,19.78,21.94,21.11,21.94,20.40,20.74,21.10,21.67
1975,21.29,20.90,20.11,22.26,21.34,22.31,20.68,20.95,21.43,22.00
1976,21.12,20.74,19.93,22.21,21.28,22.15,20.43,20.92,21.20,21.68
1977,21.80,21.43,20.66,22.78,21.86,22.85,21.19,21.46,21.96,22.51
1978,21.33,20.92,20.16,22.37,21.47,22.30,20.72,21.09,21.37,21.97
1979,21.51,21.13,20.34,22.48,21.56,22.57,20.89,21.16,21.69,22.22
1980,21.45,21.04,20.25,22.39,21.55,22.47,20.90,21.13,21.56,22.14
1981,21.33,20.90,20.15,22.32,21.51,22.23,20.74,21.12,21.35,21.97
1982,21.68,21.28,20.48,22.49,21.63,22.71,21.11,21.20,21.98,22.55
1983,22.44,22.07,21.22,23.47,22.51,23.54,21.70,22.15,22.65,23.11
1984,21.86,21.48,20.67,22.72,21.80,22.94,21.26,21.38,22.18,22.72
1985,21.65,21.20,20.43,22.39,21.58,22.62,21.16,21.10,21.97,22.63
1986,21.44,21.03,20.18,22.36,21.46,22.46,20.83,21.07,21.70,22.23
1987,22.43,22.04,21.25,23.21,22.32,23.51,21.87,21.88,22.77,23.37
1988,21.90,21.48,20.71,22.79,21.96,22.86,21.35,21.55,22.03,22.69
1989,21.62,21.18,20.40,22.39,21.59,22.61,21.09,21.13,21.91,22.53
1990,22.14,21.76,20.95,22.99,22.12,23.19,21.52,21.71,22.43,22.98
1991,21.81,21.42,20.59,22.70,21.79,22.91,21.14,21.40,22.13,22.59
1992,22.45,22.09,21.23,23.29,22.33,23.60,21.85,21.88,22.89,23.36
1993,21.83,21.42,20.61,22.77,21.82,22.89,21.17,21.43,22.16,22.63
1994,22.15,21.74,20.95,23.03,22.18,23.14,21.58,21.75,22.32,22.95
1995,22.67,22.31,21.51,23.48,22.60,23.74,22.10,22.12,23.02,23.58
1996,22.25,21.87,21.11,23.02,22.17,23.26,21.81,21.66,22.51,23.20
1997,22.34,21.94,21.23,23.09,22.29,23.28,21.90,21.79,22.55,23.26
1998,22.60,22.26,21.49,23.38,22.44,23.65,22.06,21.99,22.95,23.58
1999,21.87,21.50,20.73,22.67,21.77,22.91,21.31,21.37,22.15,22.79
2000,21.96,21.53,20.76,22.76,21.95,22.92,21.44,21.51,22.15,22.85
2001,22.17,21.78,20.99,22.99,22.14,23.20,21.62,21.68,22.44,23.07
2002,22.40,22.00,21.20,23.19,22.34,23.42,21.85,21.87,22.68,23.34
2003,22.49,22.06,21.30,23.25,22.47,23.46,21.98,22.02,22.74,23.40
2004,22.27,21.94,21.09,23.14,22.19,23.42,21.61,21.74,22.69,23.13
2005,23.19,22.81,21.96,23.96,23.09,24.29,22.61,22.58,23.58,24.20
2006,22.07,21.89,20.94,23.22,21.99,23.42,21.24,21.64,22.47,22.66
2007,22.16,21.99,21.05,23.25,22.07,23.51,21.34,21.73,22.62,22.76
2008,21.97,21.74,20.83,23.00,21.84,23.29,21.19,21.47,22.47,22.64
2009,22.23,21.93,21.03,23.07,22.02,23.42,21.59,21.62,22.70,23.15
2010,22.62,22.37,21.54,23.60,22.58,23.82,21.99,22.11,22.96,23.33
2011,21.95,21.65,20.83,22.92,21.91,23.12,21.31,21.50,22.28,22.65
2012,22.06,21.78,20.89,22.96,21.95,23.28,21.31,21.58,22.54,22.85
2013,21.90,21.58,20.72,22.96,21.92,23.03,21.12,21.62,22.17,22.55
2014,21.95,21.65,20.78,23.02,21.93,23.13,21.15,21.64,22.26,22.58
2015,22.36,22.16,21.20,23.38,22.13,23.73,21.55,21.82,22.91,23.14
2016,22.52,22.22,21.32,23.38,22.28,23.71,21.89,21.93,22.96,23.43
2017,22.17,21.74,20.91,23.09,22.09,23.18,21.59,21.82,22.40,22.98
2018,21.94,21.71,20.78,23.06,21.88,23.30,21.10,21.60,22.39,22.49
2019,22.40,22.10,21.15,23.36,22.09,23.63,21.71,21.84,22.91,23.29
2020,22.03,21.85,20.94,23.23,22.00,23.39,21.17,21.75,22.35,22.48
2021,22.12,21.95,21.07,23.26,22.07,23.44,21.31,21.78,22.42,22.62
