Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1901,15.20,15.25,16.82,12.16,22.54,10.60,17.97,20.65,18.16,23.77,11.22,15.91,16.67,12.95,20.09,10.85,12.63,17.56,11.47,17.30,8.58,19.29,21.56,6.17,18.11
1902,14.84,15.06,16.70,11.72,22.44,9.89,17.65,20.72,18.01,23.78,10.97,15.56,16.23,12.54,20.56,10.33,12.12,17.29,11.04,16.94,7.80,19.09,21.28,5.40,17.72
1903,14.49,14.82,16.38,11.10,21.67,10.02,17.19,20.12,17.53,22.94,10.26,15.34,15.67,12.19,19.96,10.25,12.10,16.55,10.52,16.56,7.91,18.55,20.60,5.43,17.01
1904,14.72,14.80,16.22,11.38,21.83,10.56,17.30,20.20,17.63,22.99,10.30,15.55,15.90,12.43,19.90,10.65,12.49,16.69,10.80,16.70,8.39,18.69,20.85,5.69,17.37
1905,14.34,14.51,16.00,11.06,21.58,10.03,16.95,19.98,17.32,22.80,10.08,15.21,15.55,12.11,19.75,10.28,12.08,16.43,10.45,16.37,7.58,18.38,20.55,4.42,17.07
1906,14.90,15.17,16.83,11.74,22.50,10.38,17.61,20.84,18.21,23.69,10.78,15.68,16.00,12.54,20.41,10.49,12.45,17.22,10.87,16.91,7.68,19.22,21.43,4.18,17.85
1907,14.19,14.45,15.99,10.88,21.64,9.71,16.81,20.15,17.32,22.92,9.95,15.05,15.20,11.83,19.83,9.92,11.80,16.35,10.10,16.19,7.38,18.34,20.52,4.42,16.96
1908,14.60,14.99,16.57,11.22,21.95,10.16,17.27,20.42,17.80,23.16,10.26,15.57,15.62,12.32,19.84,10.39,12.34,16.68,10.55,16.69,7.56,18.77,20.86,4.37,17.29
1909,14.47,14.79,16.35,11.13,21.83,10.14,17.09,20.15,17.61,23.04,10.23,15.40,15.49,12.09,19.73,10.26,12.28,16.61,10.39,16.45,7.50,18.59,20.77,4.23,17.19
1910,14.51,14.86,16.40,11.04,21.78,10.12,17.14,20.24,17.63,22.99,9.99,15.46,15.44,12.17,19.86,10.29,12.19,16.45,10.32,16.56,7.94,18.60,20.71,5.32,17.11
1911,14.20,14.24,15.78,10.82,21.60,9.90,16.79,20.07,17.21,22.78,9.80,14.95,15.28,11.83,19.45,10.05,11.82,16.15,10.16,16.17,7.89,18.27,20.50,5.28,16.86
1912,14.93,15.03,16.49,11.67,22.31,10.56,17.62,20.56,17.94,23.38,10.62,15.80,16.21,12.72,19.94,10.76,12.58,16.97,11.04,16.95,8.20,19.02,21.34,5.46,17.73
1913,15.40,15.97,17.59,12.22,22.36,10.78,18.50,20.77,18.75,23.26,10.77,16.58,16.89,13.43,19.94,11.23,13.05,17.12,11.71,17.76,8.02,19.73,21.74,4.83,18.19
1914,14.66,15.01,16.63,11.58,21.97,9.92,17.55,20.43,18.03,23.05,10.55,15.48,15.93,12.34,20.24,10.22,12.09,16.81,10.81,16.76,7.62,19.04,21.13,4.66,17.60
1915,14.69,14.97,16.53,11.67,21.84,9.98,17.57,20.10,17.80,22.99,10.65,15.61,16.03,12.59,19.84,10.38,12.14,16.87,10.95,16.98,7.74,18.81,21.06,4.89,17.65
1916,14.76,15.12,16.73,11.47,21.70,10.32,17.67,20.21,17.97,22.71,10.26,15.70,15.99,12.50,19.54,10.46,12.41,16.56,10.80,16.92,8.21,18.94,20.95,5.74,17.45
1917,14.77,15.15,16.59,11.08,21.40,10.97,17.45,20.04,17.75,22.38,9.62,15.91,15.81,12.61,19.05,11.00,12.97,16.00,10.66,16.84,8.61,18.71,20.58,5.84,16.89
1918,14.49,14.94,16.44,11.03,21.37,10.22,17.22,19.96,17.59,22.44,9.85,15.61,15.60,12.37,19.50,10.46,12.36,16.10,10.45,16.64,7.90,18.54,20.51,5.24,16.92
1919,14.96,15.14,16.71,11.71,22.26,10.44,17.68,20.71,18.10,23.41,10.74,15.80,16.15,12.71,20.43,10.71,12.54,17.01,10.97,17.00,8.23,19.13,21.27,5.65,17.70
1920,14.93,15.26,16.76,11.69,22.01,10.42,17.78,20.43,18.04,23.09,10.54,15.86,16.22,12.76,19.97,10.64,12.54,16.82,11.05,17.11,8.21,19.06,21.15,5.67,17.62
1921,14.32,14.68,16.14,10.74,21.44,10.03,16.87,19.95,17.35,22.65,9.87,15.28,15.24,12.01,19.78,10.16,12.07,16.12,10.11,16.35,8.03,18.30,20.34,5.61,16.74
1922,14.39,14.81,16.25,10.73,21.34,10.37,16.86,19.89,17.36,22.54,9.86,15.42,15.17,12.02,19.85,10.39,12.38,16.09,10.01,16.30,8.21,18.29,20.29,5.59,16.71
1923,14.28,14.44,16.00,11.03,21.68,9.73,16.97,20.16,17.48,22.86,10.15,15.10,15.46,11.99,19.95,10.01,11.83,16.39,10.26,16.29,7.47,18.50,20.62,4.53,17.04
1924,14.32,14.29,15.75,10.94,21.45,10.19,16.85,19.71,17.17,22.59,10.11,15.08,15.43,12.08,19.22,10.30,12.05,16.31,10.31,16.32,8.23,18.21,20.48,5.53,16.99
1925,14.69,15.00,16.54,11.64,22.02,9.78,17.65,20.45,17.92,23.14,10.46,15.57,16.22,12.61,19.88,10.26,11.97,16.73,11.04,17.09,7.70,18.95,21.10,4.95,17.50
