Variable:,tas
,Bangladesh,Barisal,Chittagong,Dhaka,Khulna,Sylhet,Rajshahi,Rangpur
1901,25.24,25.50,25.33,25.36,25.91,23.98,25.61,24.60
1902,25.09,25.34,25.15,25.21,25.79,23.80,25.48,24.47
1903,25.23,25.48,25.32,25.35,25.88,23.97,25.59,24.57
1904,24.99,25.23,25.08,25.11,25.64,23.74,25.34,24.33
1905,24.62,24.90,24.74,24.72,25.30,23.34,24.98,23.93
1906,25.17,25.45,25.29,25.27,25.83,23.90,25.51,24.48
1907,25.03,25.29,25.14,25.15,25.69,23.76,25.40,24.36
1908,25.31,25.53,25.38,25.43,25.94,24.05,25.68,24.69
1909,25.36,25.60,25.49,25.48,25.97,24.16,25.68,24.69
1910,24.94,25.19,25.04,25.05,25.59,23.71,25.30,24.28
1911,24.91,25.15,25.00,25.03,25.58,23.65,25.29,24.26
1912,25.06,25.33,25.17,25.17,25.73,23.79,25.42,24.37
1913,24.85,25.13,24.98,24.96,25.52,23.59,25.19,24.14
1914,24.95,25.19,25.04,25.07,25.61,23.68,25.33,24.29
1915,25.55,25.80,25.65,25.67,26.20,24.32,25.91,24.88
1916,25.29,25.52,25.42,25.42,25.87,24.11,25.61,24.58
1917,24.90,25.17,25.08,25.02,25.48,23.74,25.19,24.17
1918,24.94,25.18,25.07,25.05,25.55,23.73,25.30,24.27
1919,25.39,25.64,25.55,25.50,25.99,24.22,25.70,24.66
1920,25.39,25.66,25.49,25.50,26.04,24.15,25.74,24.72
1921,25.39,25.61,25.47,25.51,26.02,24.13,25.77,24.75
1922,25.50,25.74,25.62,25.62,26.12,24.31,25.84,24.82
1923,25.45,25.67,25.51,25.57,26.10,24.20,25.84,24.83
1924,25.65,25.87,25.72,25.77,26.30,24.40,26.03,24.99
1925,24.81,25.08,24.96,24.93,25.44,23.60,25.13,24.09
1926,25.25,25.52,25.41,25.35,25.86,24.05,25.57,24.53
1927,25.14,25.38,25.25,25.26,25.80,23.91,25.50,24.45
1928,25.48,25.69,25.59,25.60,26.08,24.25,25.83,24.81
1929,25.24,25.48,25.38,25.36,25.83,24.03,25.57,24.56
1930,25.17,25.41,25.32,25.29,25.76,23.96,25.51,24.49
1931,25.58,25.80,25.72,25.71,26.17,24.38,25.92,24.90
1932,25.53,25.76,25.65,25.67,26.11,24.32,25.88,24.86
1933,25.21,25.45,25.37,25.33,25.76,24.05,25.51,24.48
1934,25.34,25.57,25.47,25.47,25.91,24.15,25.67,24.64
1935,25.59,25.81,25.69,25.72,26.18,24.39,25.95,24.94
1936,25.39,25.60,25.48,25.52,26.00,24.19,25.77,24.74
1937,25.41,25.60,25.53,25.54,25.93,24.27,25.74,24.77
1938,25.52,25.71,25.59,25.66,26.10,24.33,25.89,24.89
1939,25.56,25.80,25.64,25.70,26.18,24.35,25.93,24.90
1940,25.39,25.63,25.44,25.54,26.02,24.16,25.77,24.75
1941,25.70,25.91,25.78,25.82,26.35,24.46,26.09,25.07
1942,25.76,25.95,25.83,25.89,26.37,24.54,26.13,25.14
1943,25.45,25.62,25.50,25.58,26.06,24.22,25.86,24.86
1944,25.64,25.83,25.72,25.77,26.23,24.43,26.01,25.02
1945,25.43,25.63,25.52,25.55,26.03,24.23,25.78,24.78
1946,25.63,25.80,25.71,25.75,26.21,24.44,25.99,25.01
1947,25.75,25.91,25.80,25.87,26.34,24.52,26.15,25.15
1948,25.28,25.46,25.31,25.39,25.92,24.01,25.69,24.71
1949,24.92,25.14,24.99,25.03,25.56,23.72,25.29,24.28
1950,25.27,25.51,25.34,25.39,25.92,24.03,25.65,24.63
1951,25.52,25.79,25.58,25.62,26.20,24.22,25.91,24.91
1952,25.39,25.66,25.48,25.51,26.03,24.16,25.74,24.74
1953,25.57,25.88,25.63,25.67,26.30,24.26,25.94,24.88
1954,25.40,25.72,25.51,25.51,26.10,24.15,25.73,24.66
1955,25.31,25.55,25.36,25.42,26.00,24.04,25.70,24.68
1956,25.28,25.49,25.35,25.41,25.86,24.13,25.58,24.71
1957,25.52,25.80,25.57,25.64,26.24,24.23,25.90,24.87
1958,26.10,26.33,26.08,26.21,26.84,24.80,26.53,25.50
1959,25.28,25.50,25.31,25.37,25.93,24.05,25.65,24.76
1960,25.69,25.85,25.73,25.86,26.26,24.57,26.01,25.08
1961,25.35,25.55,25.44,25.50,25.93,24.21,25.67,24.75
1962,25.34,25.52,25.40,25.49,25.96,24.21,25.70,24.67
1963,25.43,25.66,25.49,25.60,26.10,24.21,25.82,24.66
1964,25.59,25.93,25.67,25.71,26.34,24.27,25.97,24.84
1965,25.31,25.57,25.39,25.44,26.03,24.02,25.72,24.50
1966,25.65,25.86,25.72,25.76,26.34,24.41,26.05,24.94
1967,25.15,25.44,25.28,25.25,25.87,23.90,25.52,24.40
1968,25.21,25.47,25.29,25.34,25.92,23.94,25.62,24.41
1969,25.54,25.79,25.59,25.69,26.19,24.29,25.91,24.85
1970,25.43,25.69,25.48,25.59,26.13,24.19,25.79,24.73
1971,24.84,25.08,24.99,24.95,25.38,23.70,25.12,24.18
1972,25.36,25.68,25.44,25.48,26.04,24.08,25.70,24.68
1973,25.42,25.72,25.59,25.52,26.06,24.26,25.68,24.72
1974,25.14,25.42,25.26,25.24,25.75,23.92,25.44,24.60
1975,25.32,25.54,25.37,25.44,25.98,24.08,25.68,24.73
1976,25.42,25.68,25.45,25.52,26.14,24.12,25.82,24.83
1977,25.16,25.45,25.22,25.26,25.85,23.85,25.52,24.57
1978,25.24,25.52,25.39,25.35,25.88,24.01,25.54,24.52
1979,25.98,26.22,26.01,26.11,26.71,24.67,26.40,25.27
1980,25.58,25.83,25.64,25.70,26.28,24.30,25.97,24.94
1981,25.21,25.42,25.34,25.33,25.79,24.04,25.51,24.62
1982,25.37,25.60,25.43,25.46,26.07,24.07,25.79,24.77
1983,25.38,25.70,25.50,25.47,26.10,24.03,25.77,24.61
1984,25.41,25.65,25.53,25.48,26.04,24.12,25.75,24.85
1985,25.69,26.00,25.78,25.79,26.43,24.37,26.05,25.03
1986,25.57,25.99,25.74,25.65,26.32,24.27,25.88,24.76
1987,25.90,26.25,26.04,26.02,26.64,24.62,26.25,25.06
1988,25.95,26.26,26.09,26.01,26.66,24.65,26.29,25.28
1989,25.60,25.91,25.67,25.72,26.38,24.26,25.97,24.89
1990,25.58,25.84,25.74,25.66,26.27,24.36,25.90,24.87
1991,25.25,25.57,25.30,25.33,26.06,23.84,25.64,24.64
1992,25.09,25.44,25.19,25.19,25.82,23.76,25.42,24.42
1993,25.08,25.32,25.15,25.16,25.71,23.77,25.48,24.63
1994,25.48,25.74,25.57,25.59,26.15,24.20,25.82,24.84
1995,25.75,26.00,25.86,25.86,26.42,24.49,26.09,25.11
1996,25.65,25.91,25.75,25.76,26.33,24.40,25.99,24.98
1997,25.22,25.53,25.36,25.34,25.93,23.92,25.54,24.44
1998,25.92,26.17,26.00,26.00,26.56,24.66,26.28,25.37
1999,26.10,26.28,26.14,26.22,26.71,24.82,26.51,25.54
2000,25.28,25.51,25.34,25.38,25.93,23.96,25.69,24.76
2001,26.01,26.27,26.08,26.12,26.68,24.76,26.37,25.35
2002,25.77,26.03,25.85,25.87,26.48,24.48,26.17,25.13
2003,25.74,26.00,25.74,25.85,26.47,24.45,26.17,25.13
2004,25.81,26.06,25.78,25.93,26.55,24.48,26.25,25.21
2005,26.00,26.25,26.06,26.10,26.72,24.73,26.39,25.38
