Variable:,tas
,Bahrain,"Central Region","Hamad Town","Hawar Island",Hidd,"Isa Town",Jidhafs,Manama,Muharraq,"Northern Region",Riffa,Sitra,"Western Region"
1901,27.14,27.08,27.09,27.32,27.32,27.09,27.09,27.09,27.09,27.02,27.19,27.09,27.18
1902,26.47,26.41,26.42,26.66,26.66,26.42,26.42,26.42,26.42,26.34,26.52,26.42,26.51
1903,25.52,25.47,25.48,25.70,25.70,25.48,25.47,25.48,25.48,25.38,25.58,25.48,25.55
1904,25.88,25.83,25.84,26.06,26.06,25.84,25.84,25.84,25.84,25.75,25.94,25.84,25.92
1905,25.79,25.73,25.74,25.98,25.98,25.74,25.74,25.74,25.74,25.67,25.84,25.74,25.83
1906,25.74,25.69,25.70,25.92,25.92,25.70,25.70,25.70,25.70,25.62,25.80,25.70,25.78
1907,25.65,25.60,25.61,25.83,25.83,25.61,25.61,25.61,25.61,25.52,25.71,25.61,25.69
1908,26.24,26.18,26.19,26.44,26.44,26.19,26.19,26.19,26.19,26.10,26.30,26.19,26.28
1909,26.49,26.44,26.45,26.66,26.66,26.45,26.45,26.45,26.45,26.36,26.54,26.45,26.52
1910,25.36,25.30,25.31,25.55,25.55,25.31,25.31,25.31,25.31,25.23,25.41,25.31,25.40
1911,24.77,24.72,24.73,24.93,24.93,24.73,24.73,24.73,24.73,24.66,24.82,24.73,24.80
1912,25.67,25.63,25.64,25.84,25.84,25.64,25.63,25.64,25.64,25.54,25.73,25.64,25.70
1913,25.52,25.47,25.48,25.68,25.68,25.48,25.48,25.48,25.48,25.40,25.57,25.48,25.55
1914,26.12,26.07,26.08,26.30,26.30,26.08,26.08,26.08,26.08,26.01,26.18,26.08,26.16
1915,26.41,26.35,26.36,26.62,26.62,26.36,26.36,26.36,26.36,26.29,26.47,26.36,26.46
1916,26.07,26.01,26.02,26.27,26.27,26.02,26.02,26.02,26.02,25.94,26.13,26.02,26.12
1917,26.21,26.15,26.16,26.42,26.42,26.16,26.16,26.16,26.16,26.08,26.27,26.16,26.26
1918,25.92,25.86,25.87,26.13,26.13,25.87,25.87,25.87,25.87,25.79,25.98,25.87,25.97
1919,26.57,26.51,26.52,26.77,26.77,26.52,26.52,26.52,26.52,26.45,26.63,26.52,26.62
1920,26.26,26.20,26.21,26.45,26.45,26.21,26.21,26.21,26.21,26.13,26.31,26.21,26.30
1921,26.53,26.48,26.49,26.72,26.72,26.49,26.49,26.49,26.49,26.41,26.59,26.49,26.58
1922,26.63,26.58,26.59,26.82,26.82,26.59,26.59,26.59,26.59,26.51,26.69,26.59,26.68
1923,26.12,26.06,26.07,26.33,26.33,26.07,26.07,26.07,26.07,25.99,26.18,26.07,26.17
1924,26.96,26.91,26.92,27.14,27.14,26.92,26.92,26.92,26.92,26.83,27.02,26.92,27.00
1925,26.04,25.98,25.99,26.23,26.23,25.99,25.99,25.99,25.99,25.91,26.09,25.99,26.08
1926,26.33,26.27,26.28,26.54,26.54,26.28,26.28,26.28,26.28,26.20,26.39,26.28,26.38
1927,26.50,26.44,26.45,26.71,26.71,26.45,26.45,26.45,26.45,26.38,26.56,26.45,26.55
1928,26.38,26.33,26.34,26.55,26.55,26.34,26.34,26.34,26.34,26.26,26.43,26.34,26.42
1929,26.32,26.27,26.28,26.49,26.49,26.28,26.28,26.28,26.28,26.20,26.37,26.28,26.36
1930,26.26,26.21,26.22,26.43,26.43,26.22,26.22,26.22,26.22,26.14,26.31,26.22,26.30
1931,26.25,26.20,26.21,26.44,26.44,26.21,26.21,26.21,26.21,26.13,26.31,26.21,26.30
1932,25.79,25.74,25.75,25.97,25.97,25.75,25.75,25.75,25.75,25.66,25.85,25.75,25.83
1933,25.58,25.53,25.54,25.76,25.76,25.54,25.54,25.54,25.54,25.46,25.64,25.54,25.62
1934,25.89,25.84,25.85,26.07,26.07,25.85,25.85,25.85,25.85,25.77,25.95,25.85,25.93
1935,26.65,26.60,26.61,26.84,26.84,26.61,26.61,26.61,26.61,26.53,26.71,26.61,26.70
1936,25.95,25.89,25.90,26.14,26.14,25.90,25.90,25.90,25.90,25.83,26.00,25.90,25.99
1937,26.16,26.10,26.11,26.34,26.34,26.11,26.11,26.11,26.11,26.04,26.21,26.11,26.20
1938,26.30,26.25,26.26,26.46,26.46,26.26,26.26,26.26,26.26,26.19,26.35,26.26,26.34
1939,26.13,26.08,26.09,26.31,26.31,26.09,26.09,26.09,26.09,26.01,26.19,26.09,26.17
1940,26.60,26.54,26.55,26.78,26.78,26.55,26.55,26.55,26.55,26.48,26.65,26.55,26.64
1941,26.35,26.30,26.31,26.55,26.55,26.31,26.31,26.31,26.31,26.22,26.41,26.31,26.39
1942,26.56,26.50,26.51,26.74,26.74,26.51,26.51,26.51,26.51,26.44,26.61,26.51,26.60
1943,25.94,25.89,25.90,26.15,26.15,25.90,25.89,25.90,25.90,25.80,26.01,25.90,25.99
1944,26.28,26.22,26.23,26.48,26.48,26.23,26.23,26.23,26.23,26.14,26.34,26.23,26.32
1945,26.06,26.00,26.01,26.25,26.25,26.01,26.01,26.01,26.01,25.93,26.11,26.01,26.10
1946,26.67,26.62,26.63,26.85,26.85,26.63,26.63,26.63,26.63,26.54,26.73,26.63,26.71
1947,27.17,27.13,27.14,27.32,27.32,27.14,27.14,27.14,27.14,27.07,27.22,27.14,27.21
1948,26.22,26.17,26.18,26.41,26.41,26.18,26.18,26.18,26.18,26.10,26.28,26.18,26.27
1949,25.72,25.65,25.66,25.93,25.93,25.66,25.66,25.66,25.66,25.59,25.78,25.66,25.77
1950,25.91,25.86,25.87,26.08,26.08,25.87,25.87,25.87,25.87,25.79,25.96,25.87,25.95
1951,27.19,27.14,27.15,27.40,27.40,27.15,27.15,27.15,27.15,27.06,27.26,27.15,27.24
1952,27.02,26.97,26.98,27.19,27.19,26.98,26.98,26.98,26.98,26.91,27.07,26.98,27.06
1953,27.02,26.99,27.00,27.20,27.20,27.00,26.99,27.00,27.00,26.84,27.09,27.00,27.04
1954,27.29,27.24,27.25,27.49,27.49,27.25,27.25,27.25,27.25,27.16,27.35,27.25,27.33
1955,27.05,27.01,27.02,27.22,27.22,27.02,27.02,27.02,27.02,26.94,27.11,27.02,27.09
1956,26.47,26.42,26.43,26.67,26.67,26.43,26.42,26.43,26.43,26.33,26.53,26.43,26.51
1957,26.27,26.21,26.21,26.45,26.45,26.21,26.21,26.21,26.21,26.21,26.31,26.21,26.33
1958,27.03,26.98,26.99,27.21,27.21,26.99,26.99,26.99,26.99,26.90,27.09,26.99,27.06
1959,26.29,26.25,26.26,26.46,26.46,26.26,26.25,26.26,26.26,26.15,26.35,26.26,26.31
1960,27.10,27.05,27.05,27.27,27.27,27.05,27.05,27.05,27.05,26.99,27.15,27.05,27.14
1961,26.34,26.29,26.30,26.54,26.54,26.30,26.29,26.30,26.30,26.18,26.40,26.30,26.38
1962,27.18,27.13,27.13,27.38,27.38,27.13,27.13,27.13,27.13,27.06,27.24,27.13,27.23
1963,26.83,26.78,26.79,27.02,27.02,26.79,26.79,26.79,26.79,26.70,26.89,26.79,26.87
1964,25.82,25.76,25.77,26.02,26.02,25.77,25.77,25.77,25.77,25.70,25.88,25.77,25.87
1965,26.82,26.76,26.77,27.00,27.00,26.77,26.77,26.77,26.77,26.70,26.87,26.77,26.86
1966,26.99,26.94,26.94,27.16,27.16,26.94,26.94,26.94,26.94,26.88,27.04,26.94,27.03
1967,25.94,25.88,25.89,26.13,26.13,25.89,25.89,25.89,25.89,25.80,25.99,25.89,25.98
1968,26.19,26.13,26.13,26.37,26.37,26.13,26.13,26.13,26.13,26.10,26.23,26.13,26.25
1969,26.91,26.85,26.85,27.11,27.11,26.85,26.85,26.85,26.85,26.80,26.96,26.85,26.97
1970,26.80,26.74,26.75,26.98,26.98,26.75,26.75,26.75,26.75,26.68,26.85,26.75,26.84
1971,26.24,26.21,26.22,26.39,26.39,26.22,26.21,26.22,26.22,26.08,26.29,26.22,26.26
1972,25.66,25.61,25.62,25.86,25.86,25.62,25.61,25.62,25.62,25.52,25.72,25.62,25.71
1973,26.53,26.47,26.48,26.73,26.73,26.48,26.47,26.48,26.48,26.38,26.59,26.48,26.57
1974,26.29,26.23,26.24,26.50,26.50,26.24,26.23,26.24,26.24,26.13,26.35,26.24,26.33
1975,26.29,26.25,26.26,26.48,26.48,26.26,26.25,26.26,26.26,26.13,26.36,26.26,26.32
1976,26.15,26.11,26.12,26.33,26.33,26.12,26.11,26.12,26.12,25.99,26.21,26.12,26.18
1977,27.07,27.02,27.03,27.25,27.25,27.03,27.02,27.03,27.03,26.93,27.13,27.03,27.10
1978,26.84,26.79,26.80,27.03,27.03,26.80,26.80,26.80,26.80,26.71,26.90,26.80,26.88
1979,27.30,27.24,27.25,27.48,27.48,27.25,27.25,27.25,27.25,27.18,27.35,27.25,27.34
1980,27.09,27.04,27.05,27.29,27.29,27.05,27.04,27.05,27.05,26.93,27.15,27.05,27.13
1981,27.15,27.10,27.10,27.34,27.34,27.10,27.10,27.10,27.10,27.03,27.20,27.10,27.20
1982,26.24,26.19,26.20,26.42,26.42,26.20,26.20,26.20,26.20,26.11,26.30,26.20,26.27
1983,26.29,26.24,26.25,26.48,26.48,26.25,26.25,26.25,26.25,26.16,26.35,26.25,26.33
1984,26.70,26.65,26.66,26.89,26.89,26.66,26.65,26.66,26.66,26.56,26.76,26.66,26.74
1985,26.84,26.78,26.78,27.04,27.04,26.78,26.78,26.78,26.78,26.71,26.89,26.78,26.89
1986,26.73,26.67,26.68,26.92,26.92,26.68,26.68,26.68,26.68,26.61,26.78,26.68,26.78
1987,27.18,27.12,27.12,27.38,27.38,27.12,27.12,27.12,27.12,27.08,27.23,27.12,27.24
1988,27.11,27.05,27.06,27.31,27.31,27.06,27.06,27.06,27.06,26.99,27.17,27.06,27.16
1989,26.43,26.38,26.38,26.62,26.62,26.38,26.38,26.38,26.38,26.31,26.48,26.38,26.48
1990,27.09,27.00,27.00,27.34,27.34,27.00,27.00,27.00,27.00,26.99,27.15,27.00,27.17
1991,26.65,26.59,26.60,26.83,26.83,26.60,26.60,26.60,26.60,26.53,26.70,26.60,26.69
1992,25.86,25.81,25.81,26.06,26.06,25.81,25.81,25.81,25.81,25.74,25.92,25.81,25.92
1993,26.78,26.72,26.73,26.98,26.98,26.73,26.73,26.73,26.73,26.64,26.84,26.73,26.82
1994,27.28,27.23,27.24,27.45,27.45,27.24,27.23,27.24,27.24,27.14,27.33,27.24,27.31
