Variable:,tas
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
1901,21.23,26.21,26.20,18.93,18.72,17.02,7.70,8.71,25.81,20.84
1902,21.12,26.20,26.16,18.81,18.62,16.98,7.57,8.54,25.65,20.72
1903,20.72,25.96,25.89,18.26,18.27,16.55,7.12,8.02,25.24,20.01
1904,20.59,25.84,25.74,18.27,18.25,16.41,7.16,7.98,25.03,19.97
1905,20.92,26.13,26.08,18.35,18.56,16.87,7.45,8.05,25.46,19.88
1906,20.92,26.00,25.95,18.65,18.48,16.68,7.43,8.29,25.48,20.48
1907,20.69,25.97,25.87,18.21,18.28,16.57,7.13,7.82,25.23,19.81
1908,20.74,25.95,25.87,18.32,18.29,16.55,7.13,7.93,25.32,20.04
1909,20.59,25.81,25.75,18.17,18.13,16.31,6.92,7.79,25.20,19.93
1910,20.70,25.87,25.84,18.17,18.22,16.40,6.99,7.72,25.44,19.79
1911,20.49,26.15,25.93,17.81,18.07,16.71,6.88,7.56,24.79,19.48
1912,20.66,26.28,25.93,18.18,18.34,17.08,7.35,8.14,24.70,20.05
1913,20.43,26.11,25.68,17.96,18.09,16.85,7.18,8.08,24.42,19.92
1914,20.51,26.28,25.83,17.94,18.21,17.10,7.31,8.06,24.44,19.82
1915,20.83,26.46,26.10,18.23,18.56,17.47,7.68,8.33,24.80,19.99
1916,20.32,25.77,25.67,17.69,17.93,16.45,6.78,7.64,24.60,19.55
1917,19.93,25.74,25.43,17.21,17.47,16.04,6.23,7.07,24.17,19.04
1918,20.56,26.48,26.07,17.81,18.13,17.05,7.05,7.73,24.66,19.43
1919,21.25,26.85,26.66,18.63,18.87,17.67,7.78,8.49,25.41,20.33
1920,20.81,26.56,26.24,18.24,18.53,17.32,7.50,8.20,24.79,19.99
1921,20.68,26.50,26.19,18.03,18.38,17.21,7.32,7.89,24.69,19.62
1922,20.62,26.55,26.11,18.00,18.32,17.26,7.29,7.88,24.56,19.59
1923,20.66,26.65,26.16,18.03,18.37,17.36,7.36,7.98,24.52,19.73
1924,20.74,26.63,26.23,18.14,18.48,17.38,7.43,8.06,24.65,19.75
1925,20.82,26.73,26.28,18.28,18.55,17.46,7.53,8.23,24.67,20.00
1926,21.36,27.29,26.83,18.80,19.05,18.15,8.10,8.70,25.19,20.54
1927,20.92,27.22,26.55,18.21,18.57,17.81,7.60,8.15,24.65,19.83
1928,21.06,27.23,26.66,18.32,18.80,17.99,7.84,8.25,24.83,19.81
1929,20.91,27.11,26.48,18.22,18.57,17.73,7.59,8.22,24.68,19.85
1930,21.00,26.74,26.44,18.36,18.67,17.59,7.63,8.28,25.01,20.09
1931,20.87,26.97,26.52,18.05,18.63,17.68,7.42,7.88,24.79,19.41
1932,21.04,26.76,26.46,18.49,18.76,17.64,7.63,8.26,25.05,20.12
1933,20.79,26.67,26.27,18.19,18.51,17.40,7.35,7.95,24.79,19.77
1934,20.81,26.63,26.26,18.18,18.54,17.46,7.39,7.98,24.81,19.78
1935,21.06,26.77,26.43,18.60,18.76,17.57,7.59,8.27,25.12,20.26
1936,21.23,26.91,26.66,18.62,18.87,17.73,7.67,8.32,25.39,20.28
1937,21.12,26.99,26.60,18.50,18.74,17.71,7.52,8.12,25.21,20.19
1938,20.90,26.79,26.39,18.31,18.60,17.49,7.36,7.91,24.98,19.90
1939,21.11,27.03,26.66,18.37,18.85,17.83,7.69,8.24,25.07,19.96
1940,21.36,27.22,26.87,18.58,19.09,18.09,7.90,8.41,25.39,20.14
1941,21.23,27.27,26.88,18.10,19.08,18.16,7.92,8.27,25.12,19.71
1942,20.83,27.12,26.59,17.73,18.55,17.72,7.30,7.62,24.78,19.28
1943,20.88,27.21,26.59,17.73,18.69,17.89,7.59,7.79,24.71,19.40
1944,21.09,27.07,26.65,18.13,18.78,17.76,7.56,7.97,25.19,19.84
1945,21.03,27.04,26.57,18.14,18.70,17.83,7.63,8.17,24.95,20.01
1946,20.80,26.61,26.22,18.02,18.41,17.32,7.38,7.99,24.88,19.93
1947,20.46,26.46,25.98,17.57,18.14,17.08,7.06,7.57,24.48,19.48
1948,20.69,26.34,26.02,18.06,18.25,16.99,7.15,7.85,24.93,20.14
1949,20.46,26.34,25.95,17.65,18.19,16.92,7.03,7.50,24.59,19.54
1950,20.45,26.28,25.92,17.70,18.10,16.86,6.88,7.53,24.60,19.61
1951,20.47,26.07,25.76,17.96,17.91,16.85,6.87,7.67,24.70,19.90
1952,20.47,25.93,25.81,17.85,18.18,16.97,7.11,7.70,24.62,19.55
1953,20.95,26.26,26.17,18.52,18.65,17.23,7.45,8.26,25.22,20.28
1954,20.62,26.10,25.93,18.06,18.32,16.95,7.15,7.83,24.88,19.63
1955,20.54,26.11,25.87,17.96,18.09,16.81,6.90,7.57,24.88,19.58
1956,20.05,25.81,25.55,17.29,17.80,16.59,6.66,7.11,24.17,18.70
1957,20.58,25.91,25.74,18.07,18.33,17.11,7.53,8.05,24.72,19.53
1958,20.87,26.50,26.27,18.20,18.60,17.54,7.69,8.14,24.87,19.76
1959,20.77,26.26,26.13,18.10,18.42,17.25,7.36,7.91,25.00,19.52
