Variable:,tas
,Botswana,Central,Chobe,Ghanzi,Kgalagadi,Kgatleng,Kweneng,Ngamiland,"North East",South-East,Southern
1901,21.09,21.08,22.53,21.17,19.88,20.58,20.32,22.64,20.16,19.60,19.55
1902,21.11,21.23,22.80,21.13,19.71,20.60,20.28,22.74,20.40,19.57,19.47
1903,21.25,21.42,22.95,21.26,19.79,20.75,20.44,22.85,20.59,19.72,19.61
1904,20.72,20.65,22.00,20.85,19.59,20.29,20.00,22.20,19.74,19.32,19.24
1905,21.25,21.35,22.78,21.28,19.96,20.74,20.47,22.75,20.51,19.72,19.66
1906,20.70,20.68,22.09,20.81,19.50,20.24,19.94,22.21,19.81,19.21,19.13
1907,20.46,20.40,21.77,20.60,19.33,20.00,19.70,21.95,19.51,18.98,18.89
1908,21.09,21.16,22.59,21.15,19.81,20.59,20.31,22.61,20.30,19.56,19.48
1909,20.86,20.88,22.25,20.93,19.73,20.38,20.10,22.31,20.01,19.37,19.29
1910,20.59,20.46,21.87,20.76,19.58,20.05,19.83,22.07,19.52,19.05,19.02
1911,20.71,20.59,21.89,20.86,19.74,20.22,19.98,22.11,19.64,19.23,19.21
1912,21.25,21.30,22.69,21.30,20.10,20.77,20.51,22.70,20.38,19.79,19.73
1913,21.37,21.47,22.91,21.38,20.13,20.91,20.61,22.85,20.58,19.92,19.85
1914,21.54,21.71,23.18,21.50,20.26,21.06,20.76,23.00,20.84,20.05,19.98
1915,21.15,21.25,22.69,21.16,19.97,20.68,20.37,22.58,20.38,19.66,19.58
1916,21.24,21.34,22.80,21.25,20.01,20.73,20.45,22.71,20.48,19.72,19.64
1917,20.94,21.02,22.72,20.97,19.58,20.34,20.06,22.60,20.17,19.29,19.19
1918,20.57,20.53,21.65,20.68,19.68,20.23,19.95,21.75,19.63,19.27,19.20
1919,20.97,20.91,22.02,21.08,20.13,20.62,20.36,22.14,19.96,19.68,19.65
1920,21.21,21.29,22.61,21.22,20.09,20.77,20.46,22.59,20.44,19.76,19.69
1921,20.84,20.90,22.33,20.90,19.60,20.34,20.05,22.36,20.06,19.32,19.22
1922,21.74,21.85,23.30,21.72,20.48,21.19,20.94,23.27,20.98,20.20,20.16
1923,21.40,21.45,22.71,21.42,20.32,20.99,20.70,22.75,20.56,20.02,19.97
1924,20.95,20.98,22.42,21.02,19.78,20.42,20.16,22.44,20.09,19.41,19.34
1925,20.78,20.81,21.97,20.84,19.79,20.45,20.13,22.04,19.92,19.48,19.38
1926,21.10,21.14,22.35,21.15,20.07,20.73,20.44,22.38,20.25,19.77,19.69
1927,21.18,21.12,22.18,21.25,20.41,20.84,20.58,22.32,20.18,19.93,19.92
1928,21.56,21.57,22.95,21.63,20.43,20.99,20.77,23.03,20.64,20.01,20.01
1929,21.36,21.34,22.65,21.43,20.35,20.85,20.63,22.75,20.41,19.90,19.89
1930,21.00,20.95,22.18,21.10,20.08,20.54,20.31,22.29,20.01,19.59,19.56
1931,21.69,21.74,23.10,21.71,20.61,21.18,20.93,23.10,20.85,20.23,20.20
1932,21.50,21.47,22.54,21.55,20.67,21.16,20.89,22.67,20.51,20.26,20.24
1933,21.49,21.36,22.39,21.61,20.77,21.10,20.90,22.67,20.34,20.25,20.26
1934,21.55,21.64,22.83,21.54,20.47,21.20,20.88,22.86,20.75,20.24,20.17
1935,20.93,20.92,22.15,21.03,19.89,20.43,20.25,22.28,19.99,19.49,19.51
1936,21.05,21.00,22.10,21.15,20.18,20.59,20.42,22.26,20.09,19.70,19.74
1937,21.06,21.04,22.02,21.14,20.29,20.77,20.51,22.13,20.11,19.90,19.87
1938,21.37,21.46,22.58,21.38,20.33,21.07,20.74,22.62,20.54,20.12,20.04
1939,20.81,20.71,21.95,20.93,19.96,20.32,20.11,22.10,19.78,19.45,19.45
1940,21.50,21.50,22.75,21.56,20.43,21.10,20.80,22.86,20.53,20.18,20.14
1941,21.84,21.91,23.08,21.87,20.76,21.48,21.14,23.17,21.00,20.52,20.52
1942,21.77,21.85,23.25,21.80,20.51,21.23,20.96,23.30,20.98,20.25,20.20
1943,21.09,21.17,22.66,21.17,19.74,20.48,20.23,22.71,20.24,19.43,19.43
1944,21.59,21.61,22.83,21.63,20.55,21.14,20.87,22.92,20.70,20.22,20.21
1945,21.48,21.24,22.41,21.63,20.86,20.92,20.83,22.70,20.24,20.12,20.28
1946,21.67,21.64,22.71,21.73,20.76,21.34,21.08,22.88,20.69,20.45,20.45
1947,21.74,21.78,22.79,21.78,20.82,21.39,21.13,22.91,20.87,20.45,20.46
1948,21.32,21.35,22.39,21.38,20.39,20.98,20.70,22.52,20.46,20.04,20.04
1949,21.75,21.74,23.10,21.77,20.73,21.27,21.03,23.17,20.78,20.35,20.37
1950,21.49,21.59,22.78,21.49,20.36,21.16,20.82,22.83,20.66,20.23,20.14
1951,21.18,21.23,22.40,21.19,20.10,20.76,20.47,22.55,20.30,19.82,19.79
1952,21.59,21.66,22.84,21.54,20.48,21.36,20.97,22.94,20.71,20.39,20.29
1953,20.96,20.90,22.16,21.00,20.05,20.60,20.31,22.24,19.99,19.68,19.66
1954,21.07,21.22,22.41,21.05,19.84,20.81,20.42,22.44,20.34,19.81,19.64
1955,20.72,20.91,22.25,20.75,19.32,20.24,19.90,22.25,20.05,19.19,19.06
1956,21.10,21.29,22.28,21.10,19.88,20.90,20.51,22.39,20.40,19.92,19.76
1957,21.67,21.94,23.02,21.60,20.34,21.38,20.99,23.06,21.10,20.33,20.21
1958,21.53,21.65,22.62,21.51,20.47,21.35,20.96,22.75,20.76,20.40,20.31
1959,21.51,21.70,22.86,21.49,20.24,21.10,20.78,22.93,20.83,20.12,20.02
1960,21.35,21.44,22.64,21.36,20.30,20.93,20.54,22.73,20.57,19.93,19.84
1961,21.26,21.32,22.30,21.30,20.31,21.06,20.71,22.40,20.42,20.12,20.02
1962,21.43,21.54,22.28,21.49,20.51,21.29,20.95,22.45,20.61,20.36,20.22
1963,20.95,20.90,21.73,21.07,20.21,20.77,20.45,21.98,19.93,19.83,19.73
1964,21.15,21.23,22.17,21.21,20.18,20.85,20.55,22.33,20.32,19.94,19.86
1965,21.27,21.30,22.13,21.33,20.37,21.03,20.72,22.38,20.38,20.12,20.06
1966,21.55,21.59,22.51,21.59,20.71,21.27,20.96,22.65,20.68,20.34,20.31
1967,20.88,20.96,22.18,20.92,19.87,20.34,20.02,22.21,20.12,19.38,19.35
1968,21.07,21.25,22.47,21.08,19.84,20.57,20.24,22.45,20.45,19.62,19.54
1969,21.45,21.43,22.43,21.51,20.65,21.09,20.84,22.56,20.51,20.26,20.26
1970,21.79,21.94,22.92,21.81,20.69,21.46,21.17,23.01,21.08,20.59,20.52
1971,21.15,21.18,22.34,21.22,20.14,20.64,20.41,22.47,20.34,19.82,19.76
1972,21.25,21.11,22.16,21.38,20.56,21.01,20.71,22.37,20.16,20.12,20.05
1973,21.45,21.48,22.63,21.46,20.45,21.04,20.75,22.76,20.61,20.13,20.06
1974,20.65,20.70,21.75,20.71,19.60,20.41,20.12,21.88,19.76,19.51,19.41
1975,20.87,20.84,22.07,20.93,19.88,20.50,20.21,22.17,19.90,19.60,19.53
1976,20.50,20.59,21.75,20.53,19.41,20.20,19.84,21.78,19.66,19.23,19.14
1977,21.36,21.41,22.59,21.38,20.27,21.07,20.74,22.67,20.50,20.14,20.06
1978,21.07,21.02,21.99,21.16,20.17,20.96,20.65,22.21,20.04,20.03,19.95
1979,21.49,21.40,22.37,21.58,20.69,21.30,21.04,22.58,20.45,20.44,20.40
1980,21.08,20.89,22.04,21.19,20.47,20.56,20.35,22.26,20.00,19.74,19.79
1981,20.98,20.84,21.94,21.08,20.22,20.60,20.30,22.24,19.86,19.68,19.71
1982,21.64,21.64,22.72,21.66,20.73,21.27,20.98,22.88,20.76,20.36,20.36
1983,22.21,22.27,23.30,22.15,21.31,21.92,21.68,23.35,21.38,21.05,21.07
1984,21.96,21.85,22.84,22.02,21.25,21.68,21.46,23.07,20.89,20.86,20.87
