Variable:,tas
,"Central African Republic",Bamingui-Bangoran,Basse-Kotto,Haut-Mbomou,Haute-Kotto,Kémo,Lobaye,Mambéré-Kadéï,Mbomou,Nana-Gribizi,Nana-Mambéré,"Ombella M'Poko",Ouaka,Ouham,"Ouham Pendé",Sangha-Mbaéré,Vakaga,Bangui
1901,24.95,26.25,25.02,24.91,24.33,25.32,24.59,23.97,24.67,25.98,23.41,24.73,25.08,25.61,24.00,24.06,26.14,25.23
1902,24.99,26.25,25.02,24.91,24.33,25.33,24.69,24.16,24.67,25.98,23.62,24.81,25.08,25.68,24.18,24.22,26.14,25.27
1903,25.00,26.25,25.02,24.91,24.33,25.33,24.71,24.22,24.67,25.98,23.67,24.82,25.08,25.68,24.20,24.29,26.14,25.26
1904,24.98,26.25,25.02,24.91,24.33,25.33,24.64,24.08,24.67,25.98,23.55,24.79,25.09,25.68,24.14,24.14,26.14,25.25
1905,25.01,26.25,25.02,24.91,24.33,25.33,24.75,24.29,24.67,25.98,23.74,24.84,25.08,25.69,24.23,24.36,26.14,25.29
1906,25.01,26.25,25.02,24.91,24.33,25.33,24.74,24.26,24.67,25.98,23.70,24.84,25.08,25.69,24.22,24.33,26.14,25.28
1907,25.01,26.25,25.02,24.91,24.33,25.33,24.75,24.28,24.67,25.98,23.73,24.84,25.08,25.69,24.24,24.35,26.14,25.29
1908,24.98,26.25,25.02,24.91,24.33,25.33,24.64,24.08,24.67,25.98,23.55,24.79,25.09,25.68,24.15,24.13,26.14,25.25
1909,25.03,26.25,25.02,24.91,24.33,25.33,24.79,24.36,24.67,25.98,23.81,24.86,25.08,25.70,24.26,24.44,26.14,25.31
1910,24.90,26.23,25.02,24.68,24.21,25.33,24.61,24.02,24.64,25.98,23.48,24.76,25.08,25.65,24.09,24.08,25.91,25.23
1911,24.96,26.24,25.02,24.74,24.25,25.33,24.74,24.26,24.65,25.98,23.71,24.83,25.08,25.69,24.22,24.33,25.97,25.28
1912,24.95,26.24,25.02,24.69,24.22,25.33,24.75,24.28,24.64,25.98,23.71,24.83,25.09,25.67,24.18,24.37,25.92,25.29
1913,24.90,26.23,25.02,24.62,24.19,25.33,24.64,24.08,24.63,25.98,23.55,24.79,25.08,25.68,24.14,24.13,25.86,25.26
1914,25.02,26.25,25.02,24.92,24.34,25.33,24.76,24.30,24.67,25.98,23.75,24.84,25.08,25.69,24.24,24.37,26.15,25.29
1915,24.99,26.25,25.02,24.86,24.31,25.33,24.71,24.21,24.66,25.98,23.67,24.82,25.08,25.68,24.20,24.28,26.09,25.27
1916,24.92,26.23,25.02,24.58,24.16,25.33,24.72,24.22,24.62,25.98,23.67,24.82,25.09,25.69,24.20,24.28,25.80,25.28
1917,24.91,26.22,25.02,24.57,24.16,25.33,24.71,24.21,24.62,25.98,23.67,24.82,25.08,25.68,24.20,24.28,25.80,25.27
1918,25.10,26.54,25.06,24.91,24.52,25.36,24.71,24.21,24.78,26.10,23.67,24.82,25.21,25.72,24.20,24.28,26.37,25.27
1919,25.24,26.70,25.09,25.24,24.81,25.37,24.71,24.21,24.88,26.15,23.67,24.82,25.26,25.73,24.20,24.28,26.86,25.27
1920,24.71,25.77,24.96,24.41,23.73,25.30,24.72,24.22,24.42,25.82,23.67,24.82,24.92,25.65,24.20,24.28,25.19,25.28
1921,24.93,26.16,25.01,24.77,24.19,25.32,24.71,24.21,24.61,25.95,23.67,24.82,25.05,25.68,24.20,24.28,25.91,25.27
1922,24.73,25.72,24.94,24.57,23.80,25.29,24.71,24.21,24.42,25.78,23.67,24.82,24.88,25.63,24.20,24.28,25.34,25.27
1923,24.92,26.09,25.00,24.79,24.16,25.32,24.71,24.21,24.60,25.92,23.68,24.82,25.03,25.67,24.22,24.28,25.87,25.27
