Variable:,tas
,"Cote d'Ivoire",Denguele,Savanes,"Vallee Du Bandama",Zanzan,Comoe,"District autonome de Abidjan","District autonome de Yamoussoukro",Gôh-Djiboua,Lacs,Lagunes,Montagnes,Sassandra-Marahoue,Woroba,"Bas Sassandra"
1901,26.52,26.19,26.82,26.89,26.79,26.53,26.46,26.76,26.55,27.06,26.71,25.67,26.59,26.24,26.09
1902,26.50,26.20,26.89,26.90,26.90,26.52,26.44,26.71,26.47,27.03,26.69,25.54,26.50,26.18,25.98
1903,26.46,25.98,26.83,26.89,26.97,26.53,26.45,26.71,26.48,27.05,26.70,25.38,26.41,26.03,25.99
1904,26.39,25.96,26.84,26.87,26.98,26.53,26.43,26.63,26.36,27.00,26.65,25.22,26.29,25.96,25.81
1905,26.40,25.95,26.75,26.82,26.80,26.49,26.44,26.68,26.46,26.98,26.67,25.39,26.40,26.01,25.98
1906,26.43,25.89,26.77,26.86,27.00,26.59,26.45,26.70,26.47,27.05,26.71,25.37,26.38,25.97,25.98
1907,26.34,25.78,26.68,26.79,26.86,26.53,26.44,26.62,26.40,26.98,26.67,25.24,26.30,25.87,25.88
1908,26.43,26.06,26.85,26.86,26.94,26.54,26.43,26.64,26.38,27.00,26.67,25.34,26.37,26.05,25.86
1909,26.40,26.03,26.83,26.84,26.88,26.50,26.44,26.63,26.38,26.98,26.67,25.27,26.33,26.01,25.84
1910,26.50,26.10,26.87,26.90,26.97,26.56,26.46,26.72,26.49,27.05,26.71,25.51,26.48,26.13,26.01
1911,26.34,25.83,26.66,26.77,26.75,26.52,26.44,26.63,26.41,26.97,26.67,25.32,26.34,25.92,25.90
1912,26.59,26.27,26.95,26.94,27.01,26.57,26.46,26.77,26.56,27.07,26.72,25.70,26.61,26.27,26.10
1913,26.45,25.98,26.80,26.87,27.03,26.60,26.44,26.70,26.44,27.04,26.69,25.40,26.41,26.04,25.92
1914,26.49,26.02,26.89,26.93,27.16,26.63,26.45,26.70,26.44,27.07,26.70,25.39,26.41,26.06,25.92
1915,26.47,26.06,26.71,26.83,26.71,26.52,26.46,26.76,26.55,27.03,26.72,25.67,26.57,26.17,26.09
1916,26.34,25.79,26.50,26.72,26.51,26.52,26.46,26.71,26.49,26.99,26.71,25.53,26.48,26.00,26.01
1917,26.32,25.82,26.54,26.73,26.59,26.52,26.44,26.65,26.43,26.97,26.67,25.38,26.38,25.95,25.91
1918,26.21,25.62,26.40,26.63,26.52,26.51,26.44,26.59,26.35,26.92,26.66,25.23,26.26,25.79,25.81
1919,26.32,25.84,26.77,26.81,26.97,26.52,26.42,26.55,26.28,26.96,26.64,25.06,26.18,25.85,25.70
1920,26.40,25.95,26.85,26.89,27.03,26.58,26.48,26.64,26.36,27.03,26.70,25.18,26.28,25.96,25.79
1921,26.35,25.89,26.81,26.83,26.96,26.52,26.42,26.57,26.31,26.97,26.63,25.15,26.24,25.91,25.75
1922,26.35,25.83,26.69,26.80,26.78,26.53,26.44,26.62,26.39,26.99,26.67,25.26,26.32,25.94,25.84
1923,26.26,25.85,26.58,26.64,26.61,26.33,26.32,26.52,26.34,26.83,26.55,25.31,26.27,25.89,25.87
1924,26.29,25.78,26.70,26.76,26.90,26.48,26.41,26.54,26.30,26.93,26.62,25.08,26.19,25.82,25.75
1925,26.04,25.72,26.48,26.47,26.54,26.09,26.05,26.24,26.01,26.59,26.27,24.93,25.96,25.66,25.50
1926,26.30,25.70,26.55,26.68,26.75,26.64,26.61,26.59,26.43,26.94,26.78,25.18,26.24,25.79,25.98
1927,25.63,25.09,25.87,25.99,25.99,25.90,25.92,25.94,25.79,26.24,26.08,24.60,25.60,25.18,25.37
