Variable:,tas
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
1901,24.15,22.71,24.17,23.62,27.61,25.55,25.76,21.33,21.77,24.27,22.97
1902,24.39,22.99,24.45,23.85,27.69,25.81,25.99,21.63,22.04,24.53,23.24
1903,24.48,23.05,24.56,23.95,27.69,25.95,26.01,21.72,22.16,24.67,23.36
1904,24.29,22.90,24.30,23.72,27.69,25.66,25.96,21.51,21.91,24.37,23.10
1905,24.57,23.12,24.68,24.06,27.69,26.06,26.04,21.81,22.27,24.79,23.46
1906,24.53,23.09,24.63,24.02,27.69,26.01,26.03,21.78,22.22,24.74,23.43
1907,24.56,23.11,24.68,24.05,27.69,26.07,26.04,21.81,22.27,24.80,23.47
1908,24.29,22.90,24.30,23.72,27.69,25.66,25.96,21.51,21.90,24.36,23.10
1909,24.66,23.19,24.81,24.17,27.69,26.20,26.07,21.92,22.39,24.94,23.59
1910,24.21,22.81,24.20,23.64,27.67,25.56,25.90,21.41,21.81,24.27,23.01
1911,24.53,23.08,24.63,24.01,27.69,26.02,26.03,21.77,22.21,24.74,23.42
1912,24.54,23.07,24.67,24.05,27.65,26.05,25.95,21.79,22.25,24.80,23.45
1913,24.29,22.90,24.30,23.72,27.69,25.66,25.96,21.51,21.91,24.37,23.11
1914,24.58,23.13,24.70,24.08,27.69,26.09,26.04,21.84,22.29,24.82,23.50
1915,24.46,23.04,24.54,23.94,27.69,25.92,26.01,21.70,22.14,24.63,23.34
1916,24.47,23.04,24.55,23.94,27.69,25.92,26.01,21.71,22.14,24.64,23.34
1917,24.46,23.04,24.54,23.94,27.69,25.92,26.01,21.70,22.14,24.63,23.34
1918,24.46,23.04,24.54,23.94,27.69,25.92,26.01,21.70,22.14,24.63,23.34
1919,24.46,23.04,24.54,23.94,27.69,25.92,26.01,21.70,22.14,24.63,23.34
1920,24.47,23.04,24.55,23.94,27.69,25.92,26.01,21.71,22.14,24.64,23.34
1921,24.46,23.04,24.54,23.94,27.69,25.92,26.01,21.70,22.14,24.63,23.34
1922,24.46,23.04,24.54,23.94,27.69,25.92,26.01,21.70,22.14,24.63,23.34
1923,24.60,23.25,24.60,23.95,28.16,25.96,26.33,21.91,22.28,24.63,23.40
1924,24.54,23.16,24.58,23.95,27.96,25.95,26.19,21.81,22.22,24.64,23.36
1925,24.35,22.88,24.50,23.93,27.31,25.88,25.76,21.46,22.01,24.63,23.20
1926,24.61,23.26,24.61,23.95,28.15,25.96,26.35,21.95,22.31,24.63,23.43
1927,24.62,23.28,24.61,23.95,28.24,25.96,26.38,21.95,22.31,24.63,23.42
1928,24.45,23.00,24.53,23.94,27.72,25.91,25.97,21.62,22.10,24.64,23.26
1929,24.30,22.78,24.47,23.92,27.34,25.85,25.65,21.34,21.93,24.63,23.13
1930,24.61,23.22,24.59,23.94,28.29,25.96,26.33,21.93,22.27,24.63,23.46
1931,24.79,23.51,24.67,23.96,28.79,26.03,26.75,22.30,22.49,24.63,23.65
1932,24.69,23.39,24.64,23.95,28.33,26.00,26.52,22.14,22.40,24.64,23.56
1933,24.54,23.14,24.58,23.94,27.90,25.95,26.16,21.85,22.22,24.63,23.43
1934,24.64,23.31,24.62,23.95,28.20,25.98,26.41,22.04,22.34,24.63,23.49
1935,24.71,23.42,24.65,23.95,28.41,26.00,26.57,22.16,22.42,24.63,23.54
1936,24.56,23.18,24.59,23.95,28.03,25.95,26.24,21.84,22.24,24.64,23.38
1937,24.63,23.28,24.61,23.95,28.24,25.97,26.38,22.03,22.32,24.63,23.51
1938,24.82,23.55,24.69,23.96,28.85,26.04,26.81,22.38,22.53,24.63,23.71
1939,24.71,23.39,24.64,23.95,28.49,26.00,26.55,22.16,22.40,24.63,23.58
1940,24.47,23.04,24.55,23.94,27.69,25.92,26.01,21.71,22.14,24.64,23.34
