Variable:,tas
,"Congo (Republic of the)",Bouenza,Cuvette,Cuvette-Ouest,Lekoumou,Likouala,Niari,Plateaux,Sangha,Pool,Brazzaville,Kouilou,Point-Noire
1901,24.22,23.87,24.99,23.83,23.27,24.67,23.78,24.23,24.27,23.60,24.44,24.52,24.74
1902,24.32,23.96,25.07,23.99,23.37,24.75,23.89,24.31,24.44,23.66,24.49,24.61,24.83
1903,24.42,24.07,25.15,24.11,23.50,24.80,24.03,24.41,24.54,23.75,24.58,24.75,24.95
1904,24.21,23.83,24.97,23.84,23.23,24.69,23.74,24.19,24.31,23.56,24.40,24.48,24.69
1905,24.48,24.10,25.22,24.19,23.54,24.86,24.07,24.45,24.63,23.78,24.59,24.78,24.98
1906,24.41,23.99,25.17,24.13,23.44,24.83,23.96,24.38,24.59,23.68,24.47,24.67,24.87
1907,24.46,24.06,25.20,24.18,23.51,24.85,24.04,24.43,24.63,23.73,24.53,24.75,24.94
1908,24.19,23.77,24.95,23.82,23.17,24.68,23.69,24.15,24.30,23.50,24.35,24.41,24.65
1909,24.58,24.19,25.31,24.32,23.65,24.92,24.20,24.55,24.75,23.85,24.67,24.89,25.07
1910,24.22,23.90,24.96,23.82,23.28,24.66,23.78,24.23,24.25,23.62,24.49,24.55,24.79
1911,24.49,24.16,25.21,24.18,23.59,24.83,24.12,24.48,24.59,23.84,24.68,24.84,25.05
1912,24.56,24.25,25.30,24.26,23.67,24.89,24.20,24.56,24.67,23.92,24.74,24.93,25.16
1913,24.24,23.89,24.98,23.86,23.29,24.69,23.80,24.23,24.31,23.61,24.45,24.53,24.76
1914,24.49,24.09,25.23,24.21,23.55,24.86,24.08,24.46,24.65,23.77,24.58,24.78,24.98
1915,24.35,23.91,25.12,24.06,23.36,24.79,23.88,24.31,24.52,23.62,24.45,24.58,24.79
1916,24.33,23.86,25.11,24.05,23.32,24.80,23.84,24.28,24.52,23.57,24.40,24.53,24.73
1917,24.36,23.93,25.12,24.07,23.38,24.79,23.91,24.33,24.52,23.64,24.47,24.61,24.81
1918,24.35,23.91,25.12,24.06,23.35,24.79,23.88,24.31,24.52,23.62,24.44,24.58,24.78
1919,24.34,23.89,25.12,24.06,23.34,24.79,23.87,24.30,24.52,23.60,24.43,24.56,24.76
1920,24.36,23.92,25.12,24.06,23.37,24.80,23.90,24.32,24.52,23.63,24.46,24.59,24.80
1921,24.35,23.91,25.12,24.06,23.36,24.79,23.89,24.32,24.52,23.62,24.46,24.58,24.79
1922,24.35,23.89,25.12,24.06,23.34,24.79,23.87,24.30,24.52,23.60,24.44,24.56,24.77
1923,24.33,23.85,25.11,24.05,23.31,24.79,23.84,24.29,24.52,23.57,24.40,24.53,24.73
1924,24.40,24.04,25.15,24.09,23.47,24.80,24.00,24.39,24.52,23.74,24.58,24.71,24.93
1925,24.35,23.91,25.12,24.06,23.36,24.79,23.89,24.32,24.52,23.63,24.45,24.59,24.79
1926,24.36,23.93,25.12,24.07,23.37,24.79,23.90,24.32,24.52,23.64,24.47,24.60,24.81
1927,24.37,23.95,25.13,24.07,23.39,24.79,23.92,24.34,24.52,23.66,24.49,24.63,24.83
1928,24.40,24.03,25.14,24.09,23.46,24.80,23.98,24.38,24.52,23.73,24.57,24.70,24.91
1929,24.32,23.82,25.10,24.04,23.28,24.79,23.81,24.27,24.52,23.54,24.36,24.50,24.69
1930,24.37,23.95,25.13,24.07,23.39,24.79,23.92,24.34,24.52,23.66,24.49,24.62,24.83
1931,24.39,24.00,25.14,24.08,23.44,24.79,23.97,24.37,24.52,23.70,24.55,24.68,24.88
1932,24.32,23.82,25.11,24.04,23.28,24.80,23.81,24.26,24.52,23.54,24.35,24.49,24.68
1933,24.42,24.09,25.15,24.10,23.50,24.79,24.03,24.41,24.52,23.78,24.63,24.76,24.97
1934,24.44,24.13,25.16,24.11,23.54,24.79,24.07,24.44,24.52,23.82,24.67,24.80,25.01
1935,24.39,24.00,25.14,24.08,23.43,24.79,23.96,24.36,24.52,23.70,24.53,24.67,24.88
1936,24.34,23.87,25.12,24.05,23.33,24.80,23.86,24.30,24.52,23.59,24.41,24.55,24.75
1937,24.45,24.16,25.16,24.11,23.56,24.79,24.09,24.45,24.52,23.84,24.69,24.83,25.05
1938,24.38,23.98,25.13,24.08,23.41,24.79,23.94,24.35,24.52,23.68,24.52,24.65,24.85
1939,24.40,24.04,25.14,24.09,23.46,24.79,23.99,24.39,24.52,23.73,24.58,24.71,24.93
