Variable:,tas
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
1901,21.10,15.05,18.75,15.26,15.06,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.43,16.75,25.06,24.71,22.95,11.76,18.59,23.70,24.67,15.64,23.94,21.26
1902,21.10,15.05,18.75,15.26,15.06,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.43,16.75,25.06,24.71,22.95,11.76,18.59,23.70,24.67,15.64,23.94,21.26
1903,21.10,15.05,18.75,15.26,15.06,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.43,16.75,25.06,24.71,22.95,11.76,18.59,23.70,24.67,15.64,23.94,21.26
1904,21.11,15.05,18.75,15.27,15.07,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.44,16.76,25.06,24.71,22.95,11.76,18.59,23.71,24.67,15.64,23.94,21.26
1905,21.10,15.05,18.75,15.26,15.06,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.43,16.75,25.06,24.71,22.95,11.76,18.59,23.70,24.67,15.64,23.94,21.26
1906,21.10,15.05,18.75,15.26,15.06,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.43,16.75,25.06,24.71,22.95,11.76,18.59,23.70,24.67,15.64,23.94,21.26
1907,21.10,15.05,18.75,15.26,15.06,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.43,16.75,25.06,24.71,22.95,11.76,18.59,23.70,24.67,15.64,23.94,21.26
1908,21.11,15.05,18.75,15.27,15.07,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.44,16.76,25.06,24.71,22.95,11.76,18.59,23.71,24.67,15.64,23.94,21.26
1909,21.10,15.05,18.75,15.26,15.06,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.43,16.75,25.06,24.71,22.95,11.76,18.59,23.70,24.67,15.64,23.94,21.26
1910,21.05,14.92,18.75,15.20,15.06,11.87,14.37,21.92,24.16,23.04,15.78,18.85,22.93,24.44,20.34,16.75,25.06,24.69,22.95,11.76,18.23,23.70,24.65,15.64,23.94,21.26
1911,21.08,14.99,18.75,15.25,15.06,11.89,14.37,22.03,24.16,23.04,15.78,19.00,22.93,24.44,20.40,16.75,25.06,24.70,22.95,11.76,18.41,23.70,24.66,15.64,23.94,21.26
1912,21.11,15.05,18.75,15.27,15.07,11.90,14.37,22.11,24.16,23.04,15.78,19.15,22.93,24.44,20.45,16.76,25.06,24.72,22.95,11.76,18.59,23.71,24.67,15.64,23.94,21.26
1913,21.12,15.08,18.75,15.28,15.06,11.90,14.37,22.15,24.16,23.04,15.78,19.23,22.93,24.44,20.46,16.75,25.06,24.71,22.95,11.76,18.69,23.70,24.67,15.64,23.94,21.26
1914,21.10,15.06,18.75,15.27,15.06,11.89,14.37,22.10,24.16,23.04,15.78,19.14,22.93,24.44,20.44,16.75,25.06,24.71,22.95,11.76,18.59,23.70,24.67,15.64,23.94,21.26
1915,21.11,15.06,18.75,15.28,15.06,11.90,14.37,22.13,24.16,23.04,15.78,19.18,22.93,24.44,20.45,16.75,25.06,24.71,22.96,11.76,18.63,23.71,24.67,15.64,23.94,21.26
1916,21.08,14.99,18.75,15.23,15.07,11.87,14.37,22.01,24.16,23.04,15.78,19.00,22.93,24.44,20.39,16.76,25.06,24.70,22.96,11.76,18.42,23.70,24.66,15.64,23.94,21.26
