Variable:,tas
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
1901,26.50,26.05,29.73,20.87,28.74,26.98,19.57,26.58
1902,25.92,25.27,29.35,20.29,28.70,26.17,18.95,26.00
1903,25.75,24.99,29.26,20.16,28.76,25.93,18.80,25.82
1904,25.85,25.18,29.32,20.25,28.63,26.11,18.91,25.93
1905,25.77,25.06,29.23,20.11,28.74,25.93,18.74,25.85
1906,26.06,25.48,29.42,20.39,28.77,26.33,19.05,26.15
1907,25.74,25.12,29.22,20.10,28.49,25.97,18.77,25.86
1908,25.86,25.19,29.29,20.22,28.74,26.06,18.86,25.94
1909,25.83,25.36,29.22,20.13,28.32,26.09,18.82,25.99
1910,25.90,25.16,29.38,20.27,28.95,26.05,18.91,25.98
1911,26.05,25.33,29.49,20.42,29.05,26.24,19.06,26.11
1912,25.68,25.00,29.23,20.05,28.58,25.81,18.71,25.82
1913,25.48,24.72,29.09,19.86,28.55,25.55,18.50,25.62
1914,25.99,25.41,29.39,20.33,28.64,26.26,19.01,26.09
1915,26.21,25.76,29.56,20.51,28.69,26.48,19.21,26.37
1916,25.50,24.90,29.03,19.75,28.52,25.51,18.41,25.69
1917,25.55,24.90,29.13,19.84,28.56,25.55,18.49,25.74
1918,25.65,24.99,29.20,19.98,28.57,25.74,18.65,25.81
1919,26.16,25.66,29.47,20.49,28.66,26.50,19.18,26.26
1920,25.26,24.51,28.89,19.56,28.48,25.22,18.19,25.42
1921,25.60,24.96,29.09,19.90,28.54,25.71,18.55,25.73
1922,25.61,25.00,29.06,19.89,28.52,25.76,18.54,25.73
1923,25.52,24.88,28.98,19.80,28.50,25.64,18.45,25.63
1924,25.94,25.36,29.33,20.28,28.61,26.21,18.96,26.03
1925,25.74,25.12,29.19,20.05,28.57,25.90,18.71,25.86
1926,25.82,25.20,29.27,20.17,28.59,26.05,18.83,25.93
1927,26.12,25.59,29.47,20.45,28.65,26.43,19.14,26.22
1928,26.55,26.12,29.79,20.92,28.75,27.01,19.63,26.65
1929,25.82,25.23,29.29,20.14,28.59,26.01,18.80,25.96
1930,25.72,25.12,29.21,20.02,28.59,25.82,18.69,25.89
1931,26.17,25.66,29.56,20.51,28.69,26.44,19.19,26.32
1932,25.80,25.23,29.24,20.10,28.58,25.97,18.78,25.94
1933,26.27,25.77,29.55,20.61,28.68,26.66,19.30,26.35
1934,25.88,25.32,29.30,20.17,28.60,26.08,18.85,26.00
1935,26.01,25.46,29.37,20.34,28.63,26.29,19.02,26.12
1936,26.33,25.89,29.57,20.65,28.68,26.72,19.34,26.43
1937,26.05,25.53,29.38,20.35,28.63,26.33,19.03,26.16
1938,25.97,25.41,29.36,20.31,28.62,26.24,18.97,26.08
1939,26.54,26.12,29.75,20.90,28.75,27.02,19.61,26.62
1940,26.56,26.14,29.75,20.93,28.75,27.07,19.64,26.64
1941,25.80,25.26,29.14,20.10,28.45,26.05,18.78,25.91
1942,25.48,24.92,28.79,19.76,28.19,25.74,18.42,25.56
1943,24.71,24.06,28.10,19.00,27.61,24.92,17.68,24.77
1944,25.29,24.66,28.73,19.61,28.13,25.50,18.29,25.39
1945,25.04,24.40,28.50,19.34,27.95,25.23,18.01,25.13
1946,25.36,24.64,28.84,19.73,28.37,25.52,18.36,25.44
1947,25.69,24.99,29.15,20.07,28.64,25.86,18.72,25.78
1948,25.09,24.37,28.56,19.43,28.10,25.24,18.08,25.16
1949,24.95,24.26,28.41,19.29,27.91,25.13,17.94,25.03
1950,25.41,24.82,28.91,19.72,28.18,25.61,18.39,25.53
1951,25.35,24.60,28.97,19.86,28.42,25.40,18.33,25.46
1952,25.76,25.15,29.16,20.15,28.56,25.96,18.74,25.86
1953,25.78,24.98,29.30,20.25,28.84,25.89,18.90,25.88
1954,25.87,25.10,29.42,20.33,28.88,26.00,19.01,25.99
1955,26.04,25.32,29.54,20.39,29.02,26.22,19.12,26.12
1956,25.41,24.73,28.98,19.77,28.29,25.58,18.46,25.53
1957,25.51,24.90,28.99,19.81,28.24,25.73,18.53,25.63
1958,25.92,25.33,29.44,20.22,28.63,26.11,18.94,26.09
1959,25.41,24.66,29.02,19.80,28.44,25.53,18.44,25.51
1960,25.84,25.31,29.30,20.15,28.40,26.12,18.89,26.00
1961,25.07,24.33,28.68,19.52,28.08,25.16,18.18,25.18
1962,25.55,25.01,29.02,19.86,28.19,25.76,18.55,25.71
1963,25.89,25.35,29.40,20.12,28.53,26.11,18.93,26.05
1964,25.01,24.30,28.60,19.44,27.94,25.16,18.04,25.12
1965,25.61,24.96,29.05,19.95,28.37,25.87,18.66,25.71
1966,25.86,25.28,29.32,20.15,28.49,26.13,18.94,25.98
1967,25.04,24.33,28.59,19.46,27.91,25.24,18.08,25.14
1968,25.23,24.58,28.76,19.62,28.00,25.45,18.29,25.34
1969,26.20,25.61,29.55,20.58,28.84,26.53,19.26,26.27
1970,25.76,25.04,29.30,20.18,28.63,25.97,18.84,25.86
1971,25.17,24.47,28.81,19.52,28.11,25.30,18.18,25.31
1972,25.64,24.93,29.20,20.02,28.53,25.82,18.67,25.74
1973,26.17,25.49,29.67,20.55,29.01,26.38,19.21,26.26
1974,25.69,25.10,29.20,20.03,28.36,25.91,18.73,25.83
1975,25.80,25.17,29.32,20.15,28.58,26.01,18.79,25.93
1976,26.15,25.55,29.51,20.49,28.85,26.43,19.17,26.23
1977,25.88,25.16,29.39,20.26,28.79,26.09,18.91,25.97
1978,26.12,25.48,29.52,20.48,28.84,26.39,19.15,26.22
1979,26.44,25.91,29.80,20.77,29.02,26.72,19.44,26.55
1980,26.64,26.01,30.05,21.01,29.36,26.90,19.65,26.72
1981,25.99,25.54,29.33,20.15,28.48,26.31,18.86,26.12
1982,25.86,25.20,29.25,20.25,28.62,26.16,18.91,25.91
1983,25.96,25.25,29.32,20.43,28.75,26.28,19.03,25.98
1984,26.39,25.95,29.44,20.66,28.68,26.95,19.36,26.39
1985,26.22,25.74,29.51,20.50,28.65,26.62,19.22,26.30
1986,26.10,25.48,29.42,20.57,28.66,26.49,19.19,26.14
1987,26.05,25.45,29.52,20.43,28.73,26.34,19.07,26.14
1988,25.74,25.05,29.19,20.18,28.57,25.97,18.72,25.81
1989,25.36,24.73,28.91,19.69,28.19,25.52,18.35,25.50
1990,26.20,25.60,29.60,20.62,28.84,26.52,19.26,26.28
1991,26.22,25.61,29.61,20.57,28.93,26.50,19.24,26.30
1992,25.55,24.81,29.02,19.99,28.46,25.79,18.62,25.60
1993,26.13,25.62,29.44,20.43,28.66,26.44,19.13,26.23
1994,26.06,25.44,29.51,20.44,28.76,26.30,19.11,26.18
1995,25.91,25.22,29.39,20.32,28.83,26.04,18.96,26.01
1996,26.37,25.82,29.76,20.73,28.98,26.64,19.45,26.48
1997,26.31,25.70,29.69,20.70,28.97,26.62,19.35,26.38
1998,26.62,26.03,30.04,21.02,29.31,26.86,19.71,26.74
1999,26.52,26.13,29.84,20.73,28.83,26.87,19.57,26.70
2000,26.45,25.90,29.80,20.79,28.99,26.78,19.50,26.55
2001,26.58,26.10,29.91,20.86,29.07,26.90,19.61,26.71
2002,26.93,26.34,30.28,21.31,29.53,27.25,20.02,27.03
2003,26.65,26.06,30.06,21.00,29.35,26.90,19.68,26.76
2004,26.55,25.98,29.93,20.83,29.21,26.84,19.55,26.64
2005,26.82,26.31,30.16,21.11,29.35,27.14,19.82,26.94
2006,26.52,25.93,29.91,20.84,29.18,26.78,19.56,26.63
2007,26.43,25.90,29.84,20.74,29.06,26.67,19.43,26.56
