Variable:,tas
1901,23.37
1902,23.36
1903,23.10
1904,23.01
1905,23.16
1906,23.16
1907,22.73
1908,23.11
1909,23.21
1910,23.13
1911,23.13
1912,23.21
1913,23.30
1914,23.09
1915,23.28
1916,22.97
1917,22.77
1918,22.57
1919,23.38
1920,22.49
1921,22.56
1922,22.83
1923,23.11
1924,23.09
1925,22.90
1926,23.87
1927,23.54
1928,23.31
1929,23.09
1930,23.14
1931,23.36
1932,23.05
1933,23.22
1934,23.19
1935,23.43
1936,23.32
1937,23.89
1938,23.34
1939,23.07
1940,23.52
1941,23.33
1942,23.11
1943,23.10
1944,23.25
1945,23.78
1946,23.13
1947,23.66
1948,23.49
1949,23.36
1950,23.35
1951,22.85
1952,23.06
1953,23.24
1954,22.90
1955,23.78
1956,22.67
1957,22.80
1958,23.51
1959,23.09
1960,23.22
1961,23.89
1962,23.51
1963,23.38
1964,23.61
1965,23.13
1966,23.61
1967,23.01
1968,22.94
1969,23.50
1970,23.62
1971,22.45
1972,22.32
1973,23.17
1974,22.67
1975,22.93
1976,22.65
1977,23.29
1978,23.46
1979,23.50
1980,23.28
1981,23.49
1982,23.00
1983,24.02
1984,23.19
1985,23.44
1986,23.07
1987,24.38
1988,23.51
1989,23.59
1990,23.94
1991,23.25
1992,23.31
1993,23.11
1994,23.33
1995,24.05
1996,23.83
1997,24.27
1998,24.40
1999,23.78
2000,23.80
2001,24.53
2002,24.15
2003,24.12
2004,23.95
2005,24.22
2006,24.08
2007,23.93
2008,24.05
2009,24.19
2010,24.78
2011,24.07
2012,24.11
2013,24.43
2014,24.14
2015,24.23
2016,24.33
2017,24.59
2018,23.46
2019,24.07
2020,24.52
2021,24.24
