Variable:,tas
,"Federated States of Micronesia","Administrative unit not available"
1901,26.53,26.96
1902,26.53,26.96
1903,26.53,26.96
1904,26.53,26.96
1905,26.53,26.96
1906,26.53,26.96
1907,26.53,26.96
1908,26.53,26.96
1909,26.53,26.96
1910,26.53,26.96
1911,26.53,26.96
1912,26.53,26.96
1913,26.53,26.96
1914,26.53,26.96
1915,26.53,26.96
1916,26.53,26.96
1917,26.53,26.96
1918,26.53,26.96
1919,26.53,26.96
1920,26.53,26.96
1921,26.53,26.94
1922,26.53,26.92
1923,26.53,26.90
1924,26.53,26.88
1925,26.53,26.91
1926,26.19,26.70
1927,26.47,26.93
1928,25.93,26.53
1929,25.90,26.44
1930,25.84,26.43
1931,26.07,26.60
1932,25.83,26.42
1933,25.71,26.32
1934,25.95,26.51
1935,26.29,26.76
1936,26.53,26.94
1937,26.30,26.77
1938,26.53,26.94
1939,26.53,26.94
1940,26.53,26.93
1941,26.15,26.62
1942,25.96,26.47
1943,25.72,26.26
1944,26.53,26.96
1945,26.53,26.93
1946,26.55,27.01
1947,26.55,27.01
1948,26.56,26.97
1949,26.54,26.95
1950,26.41,26.84
1951,26.30,26.82
1952,26.41,26.89
1953,26.46,26.94
1954,26.23,26.74
1955,25.96,26.47
1956,26.08,26.58
1957,26.60,27.03
1958,26.51,26.96
1959,26.34,26.82
1960,26.32,26.80
1961,26.26,26.72
1962,26.30,26.78
1963,26.27,26.75
1964,26.19,26.67
1965,26.08,26.57
1966,26.41,26.87
1967,26.24,26.70
1968,26.17,26.66
1969,26.23,26.75
1970,26.56,27.03
1971,26.14,26.65
1972,26.28,26.75
1973,26.64,27.06
1974,26.37,26.82
1975,26.34,26.76
1976,26.27,26.71
1977,26.76,27.15
1978,26.71,27.10
1979,26.75,27.14
1980,26.76,27.15
1981,26.97,27.33
1982,26.76,27.13
1983,27.02,27.37
1984,26.98,27.36
1985,26.80,27.19
1986,26.79,27.20
1987,26.82,27.24
1988,26.86,27.28
1989,26.62,27.07
1990,26.67,27.10
1991,26.49,26.93
1992,26.58,27.02
1993,26.29,26.78
1994,26.58,27.02
1995,26.73,27.12
1996,26.55,27.01
1997,26.27,26.79
1998,26.40,26.90
1999,26.12,26.67
2000,26.67,27.14
2001,26.84,27.32
2002,26.89,27.37
2003,26.72,27.20
2004,26.88,27.36
2005,26.98,27.42
2006,26.87,27.34
2007,26.86,27.31
2008,26.58,27.06
2009,26.66,27.14
2010,26.53,26.99
2011,26.60,27.09
2012,26.85,27.34
2013,27.22,27.64
2014,26.84,27.32
2015,26.93,27.39
2016,27.28,27.72
2017,27.37,27.75
2018,27.17,27.63
2019,27.20,27.60
2020,27.34,27.68
2021,27.01,27.39
