Variable:,tas
,Gibraltar,"Administrative unit not available"
1901,16.83,16.83
1902,16.87,16.87
1903,16.94,16.94
1904,17.30,17.30
1905,16.72,16.72
1906,16.89,16.89
1907,16.68,16.68
1908,17.00,17.00
1909,16.66,16.66
1910,16.69,16.69
1911,16.68,16.68
1912,16.68,16.68
1913,16.85,16.85
1914,16.63,16.63
1915,16.77,16.77
1916,16.75,16.75
1917,16.27,16.27
1918,16.60,16.60
1919,16.52,16.52
1920,16.84,16.84
1921,17.03,17.03
1922,16.79,16.79
1923,16.92,16.92
1924,17.38,17.38
1925,16.51,16.51
1926,17.74,17.74
1927,17.20,17.20
1928,17.04,17.04
1929,17.16,17.16
1930,17.20,17.20
1931,16.89,16.89
1932,16.46,16.46
1933,16.93,16.93
1934,16.74,16.74
1935,16.79,16.79
1936,16.72,16.72
1937,17.59,17.59
1938,17.23,17.23
1939,16.82,16.82
1940,17.28,17.28
1941,17.14,17.14
1942,17.49,17.49
1943,17.51,17.51
1944,17.26,17.26
1945,18.17,18.17
1946,17.33,17.33
1947,17.59,17.59
1948,18.07,18.07
1949,17.96,17.96
1950,17.66,17.66
1951,17.15,17.15
1952,17.43,17.43
1953,17.78,17.78
1954,17.24,17.24
1955,18.55,18.55
1956,16.62,16.62
1957,17.26,17.26
1958,17.66,17.66
1959,17.56,17.56
1960,17.56,17.56
1961,18.24,18.24
1962,17.67,17.67
1963,17.31,17.31
1964,17.70,17.70
1965,17.24,17.24
1966,17.37,17.37
1967,17.18,17.18
1968,17.45,17.45
1969,17.07,17.07
1970,17.52,17.52
1971,16.73,16.73
1972,16.59,16.59
1973,17.21,17.21
1974,17.30,17.30
1975,17.12,17.12
1976,16.98,16.98
1977,17.17,17.17
1978,17.43,17.43
1979,17.43,17.43
1980,17.56,17.56
1981,17.85,17.85
1982,17.53,17.53
1983,17.92,17.92
1984,17.28,17.28
1985,17.97,17.97
1986,17.43,17.43
1987,17.90,17.90
1988,17.82,17.82
1989,18.36,18.36
1990,18.12,18.12
1991,17.43,17.43
1992,17.50,17.50
1993,16.99,16.99
1994,17.88,17.88
1995,18.43,18.43
1996,17.75,17.75
1997,18.43,18.43
1998,18.00,18.00
1999,17.78,17.78
2000,17.96,17.96
2001,18.27,18.27
2002,18.01,18.01
2003,18.36,18.36
2004,18.07,18.07
2005,17.84,17.84
2006,18.37,18.37
2007,17.93,17.93
2008,17.97,17.97
2009,18.47,18.47
2010,18.34,18.34
2011,18.52,18.52
2012,18.01,18.01
2013,17.90,17.90
2014,18.46,18.46
2015,18.80,18.80
2016,18.85,18.85
2017,18.97,18.97
2018,18.12,18.12
2019,18.54,18.54
2020,18.69,18.69
2021,18.48,18.48
