Variable:,tas
,Guinea,Boke,Conakry,Faranah,Kankan,Kindia,Labe,Mamou,Nzerekore
1901,25.69,27.23,26.58,25.32,26.01,26.32,25.09,24.36,24.66
1902,25.84,27.44,26.71,25.50,26.16,26.49,25.36,24.57,24.56
1903,25.52,27.22,26.52,25.12,25.82,26.23,25.05,24.25,24.21
1904,25.37,26.96,26.23,24.99,25.74,25.99,24.85,24.05,24.11
1905,25.50,27.17,26.44,25.12,25.81,26.19,25.02,24.22,24.25
1906,25.50,27.24,26.51,25.11,25.76,26.24,25.06,24.25,24.19
1907,25.14,26.62,25.94,24.77,25.52,25.72,24.54,23.78,24.04
1908,25.65,27.29,26.55,25.29,25.98,26.31,25.19,24.39,24.32
1909,25.48,27.08,26.36,25.11,25.86,26.12,24.98,24.18,24.20
1910,25.69,27.32,26.58,25.32,26.00,26.35,25.20,24.40,24.45
1911,25.39,27.06,26.30,25.01,25.67,26.07,24.92,24.12,24.15
1912,25.84,27.39,26.67,25.49,26.19,26.45,25.32,24.54,24.67
1913,25.57,27.28,26.54,25.20,25.83,26.29,25.13,24.34,24.29
1914,25.45,27.03,26.27,25.07,25.80,26.05,24.93,24.12,24.26
1915,25.77,27.49,26.78,25.40,25.97,26.52,25.32,24.55,24.57
1916,25.33,27.02,26.27,24.93,25.54,26.02,24.85,24.06,24.26
1917,25.35,26.95,26.29,24.98,25.63,26.02,24.79,24.06,24.28
1918,25.36,27.13,26.42,25.00,25.52,26.15,24.95,24.17,24.10
1919,25.53,27.38,26.59,25.16,25.78,26.34,25.20,24.37,23.97
1920,25.29,26.89,26.22,24.90,25.67,25.93,24.73,23.95,24.09
1921,25.19,26.82,26.05,24.78,25.56,25.81,24.68,23.85,23.97
1922,25.08,26.61,25.88,24.67,25.44,25.64,24.50,23.70,24.04
1923,25.39,27.06,26.30,25.00,25.69,26.06,24.91,24.09,24.19
1924,25.10,26.70,25.95,24.68,25.48,25.70,24.58,23.74,23.91
1925,25.20,26.88,26.12,24.82,25.54,25.88,24.75,23.93,23.87
1926,25.30,27.16,26.41,24.84,25.50,26.13,24.90,24.09,23.97
1927,24.78,26.70,25.94,24.32,24.93,25.65,24.41,23.60,23.40
1928,24.69,26.48,25.74,24.27,24.93,25.46,24.25,23.44,23.36
1929,24.59,26.40,25.62,24.17,24.79,25.37,24.19,23.37,23.27
1930,24.68,26.37,25.60,24.27,24.97,25.37,24.23,23.41,23.43
1931,25.34,26.97,26.17,24.97,25.73,25.95,24.88,24.03,24.03
1932,25.19,26.90,26.19,24.78,25.50,25.91,24.72,23.91,23.86
1933,25.30,27.00,26.25,24.93,25.59,26.01,24.88,24.06,23.96
1934,25.30,26.82,26.09,24.91,25.72,25.87,24.78,23.96,24.07
1935,25.25,26.81,25.99,24.87,25.68,25.80,24.75,23.91,24.00
1936,25.31,27.01,26.22,24.91,25.66,25.98,24.88,24.02,23.95
1937,25.56,27.21,26.43,25.15,25.96,26.18,25.08,24.23,24.26
1938,25.62,27.19,26.39,25.22,26.06,26.17,25.09,24.25,24.36
1939,25.52,27.04,26.28,25.14,25.98,26.06,24.98,24.15,24.29
1940,25.47,27.05,26.34,25.09,25.85,26.08,24.94,24.15,24.22
1941,25.76,27.38,26.63,25.43,26.09,26.41,25.30,24.50,24.44
1942,25.50,27.10,26.38,25.17,25.86,26.13,25.02,24.21,24.18
1943,25.14,26.84,26.07,24.75,25.43,25.83,24.69,23.86,23.86
1944,25.68,27.34,26.58,25.32,26.02,26.36,25.22,24.42,24.34
1945,25.70,27.51,26.74,25.31,25.93,26.48,25.35,24.51,24.28
1946,25.39,27.08,26.31,25.02,25.69,26.08,24.97,24.14,24.05
1947,25.53,27.10,26.35,25.18,25.91,26.14,25.09,24.24,24.18
1948,25.21,26.89,26.14,24.84,25.50,25.90,24.82,23.99,23.85
1949,25.41,26.98,26.22,25.05,25.80,26.01,24.93,24.09,24.13
1950,25.19,26.72,25.98,24.83,25.65,25.73,24.60,23.80,24.00
1951,25.34,26.98,26.21,24.92,25.77,25.92,24.78,23.89,24.09
1952,25.20,26.84,26.15,24.80,25.56,25.85,24.57,23.80,24.04
1953,25.45,27.14,26.45,25.03,25.82,26.13,24.94,24.08,24.16
1954,25.06,26.78,26.08,24.65,25.40,25.73,24.55,23.69,23.77
1955,25.11,26.90,26.11,24.64,25.46,25.82,24.58,23.75,23.82
1956,25.06,26.73,25.95,24.61,25.48,25.66,24.51,23.67,23.77
1957,25.26,26.90,26.17,24.84,25.66,25.87,24.72,23.88,24.03
1958,25.41,27.09,26.29,24.98,25.86,25.98,24.90,23.98,24.11
1959,25.29,27.01,26.17,24.86,25.66,25.92,24.87,23.94,23.94
1960,25.32,27.06,26.31,24.88,25.68,25.98,24.82,23.96,24.04
1961,25.09,26.79,26.03,24.69,25.42,25.75,24.60,23.77,23.83
1962,25.14,26.91,26.16,24.73,25.40,25.84,24.69,23.84,23.88
1963,25.44,27.18,26.45,25.03,25.74,26.14,24.97,24.13,24.14
1964,25.12,26.84,26.10,24.71,25.43,25.79,24.65,23.81,23.82
1965,25.01,26.70,25.96,24.63,25.32,25.69,24.57,23.73,23.71
1966,25.31,26.95,26.18,24.93,25.67,25.93,24.81,24.01,23.99
1967,24.98,26.57,25.92,24.64,25.27,25.67,24.44,23.76,23.76
1968,25.30,26.88,26.12,24.93,25.67,25.91,24.85,24.01,24.00
1969,25.71,27.44,26.58,25.29,26.11,26.32,25.28,24.36,24.33
1970,25.50,27.21,26.40,25.08,25.87,26.13,25.08,24.18,24.12
1971,25.06,26.63,25.76,24.72,25.56,25.63,24.67,23.78,23.51
1972,25.37,27.05,26.23,25.01,25.74,26.05,24.98,24.13,23.86
1973,25.60,27.22,26.45,25.24,25.99,26.22,25.10,24.26,24.26
1974,24.95,26.54,25.85,24.62,25.26,25.62,24.46,23.65,23.75
1975,24.80,26.45,25.72,24.44,25.08,25.49,24.34,23.53,23.55
1976,24.73,26.43,25.69,24.37,25.03,25.45,24.25,23.48,23.40
1977,25.34,27.03,26.20,24.95,25.67,26.01,24.94,24.09,23.94
1978,25.13,26.73,26.05,24.79,25.50,25.79,24.65,23.87,23.78
1979,25.42,27.03,26.30,25.09,25.76,26.07,24.97,24.18,24.09
1980,25.61,27.20,26.36,25.21,26.10,26.17,25.21,24.25,24.19
1981,25.44,27.09,26.31,25.05,25.80,26.06,24.97,24.13,24.12
1982,25.14,26.85,26.12,24.77,25.40,25.89,24.70,23.92,23.80
1983,25.79,27.53,26.71,25.40,26.13,26.48,25.43,24.51,24.33
1984,25.40,27.02,26.22,25.02,25.77,26.04,24.92,24.11,24.08
1985,25.39,27.00,26.19,24.99,25.84,25.97,24.95,24.03,24.02
1986,25.07,26.78,25.97,24.65,25.43,25.73,24.59,23.76,23.73
1987,25.83,27.35,26.59,25.45,26.29,26.35,25.25,24.45,24.64
1988,25.45,27.03,26.28,25.07,25.85,26.05,24.88,24.11,24.20
1989,25.26,26.85,26.07,24.88,25.65,25.87,24.73,23.95,24.03
1990,25.53,27.27,26.43,25.15,25.86,26.19,25.10,24.23,24.18
1991,25.61,27.36,26.59,25.25,25.94,26.35,25.21,24.36,24.13
1992,25.36,27.14,26.34,24.96,25.64,26.09,24.97,24.12,23.97
1993,25.59,27.36,26.52,25.20,25.90,26.29,25.26,24.36,24.09
1994,25.22,27.01,26.20,24.79,25.47,25.97,24.74,23.93,23.94
1995,25.47,27.26,26.45,25.04,25.73,26.19,25.06,24.20,24.15
1996,25.68,27.51,26.69,25.24,25.98,26.42,25.27,24.39,24.25
1997,25.64,27.63,26.73,25.18,25.86,26.45,25.23,24.36,24.23
1998,26.21,28.14,27.21,25.80,26.45,26.95,25.85,24.94,24.74
1999,25.36,27.12,26.33,24.94,25.62,26.09,24.93,24.12,24.03
2000,25.50,27.29,26.45,25.06,25.77,26.24,25.11,24.28,24.11
2001,25.80,27.65,26.79,25.38,26.09,26.54,25.44,24.57,24.28
2002,26.02,27.76,26.93,25.64,26.36,26.70,25.62,24.76,24.56
2003,25.92,27.69,26.86,25.52,26.28,26.60,25.48,24.64,24.48
2004,26.07,27.83,27.00,25.70,26.40,26.76,25.67,24.81,24.59
2005,26.11,27.93,27.12,25.70,26.41,26.85,25.73,24.88,24.64
2006,25.92,27.70,26.92,25.56,26.18,26.67,25.57,24.72,24.44
2007,26.00,27.75,26.97,25.63,26.29,26.72,25.62,24.78,24.55
2008,25.77,27.71,26.87,25.33,26.05,26.58,25.38,24.53,24.22
2009,25.74,27.36,26.55,25.38,26.17,26.32,25.22,24.35,24.44
2010,26.24,28.12,27.32,25.83,26.48,27.06,25.92,25.01,24.75
2011,26.00,27.76,26.99,25.62,26.31,26.76,25.63,24.74,24.51
2012,25.72,27.60,26.83,25.30,25.94,26.59,25.37,24.54,24.21
2013,25.91,27.70,26.90,25.51,26.20,26.66,25.55,24.70,24.40
2014,25.85,27.65,26.85,25.44,26.14,26.62,25.47,24.62,24.40
2015,26.05,27.84,26.98,25.67,26.37,26.76,25.70,24.77,24.60
2016,26.30,28.12,27.31,25.89,26.56,27.07,25.95,25.08,24.85
2017,26.23,28.08,27.25,25.80,26.50,27.01,25.88,25.01,24.75
2018,26.08,27.73,26.96,25.71,26.45,26.74,25.67,24.80,24.71
2019,25.84,27.58,26.79,25.47,26.14,26.56,25.45,24.59,24.44
2020,26.33,28.27,27.47,25.91,26.55,27.18,25.98,25.12,24.80
2021,26.59,28.44,27.60,26.21,26.88,27.33,26.26,25.36,25.03
