Variable:,tas
,"Gambia, The","Central River","Lower River","North Bank","Upper River","West Coast","Kanifing Municipal Council"
1901,27.78,28.42,27.57,27.54,28.45,26.76,26.29
1902,28.04,28.72,27.83,27.80,28.74,26.98,26.50
1903,27.86,28.50,27.66,27.65,28.50,26.86,26.41
1904,27.59,28.23,27.38,27.35,28.26,26.55,26.09
1905,27.80,28.43,27.60,27.58,28.44,26.80,26.34
1906,27.90,28.54,27.70,27.68,28.52,26.91,26.46
1907,27.15,27.80,26.94,26.91,27.84,26.13,25.66
1908,27.96,28.62,27.73,27.72,28.64,26.91,26.45
1909,27.71,28.37,27.51,27.48,28.37,26.68,26.21
1910,27.92,28.58,27.71,27.68,28.60,26.89,26.44
1911,27.69,28.35,27.48,27.46,28.35,26.68,26.24
1912,27.97,28.65,27.75,27.71,28.68,26.90,26.41
1913,27.94,28.61,27.73,27.71,28.60,26.91,26.46
1914,27.64,28.31,27.41,27.38,28.33,26.60,26.16
1915,28.13,28.77,27.92,27.88,28.81,27.10,26.66
1916,27.63,28.30,27.41,27.38,28.32,26.59,26.13
1917,27.53,28.19,27.34,27.29,28.20,26.51,26.05
1918,27.79,28.43,27.59,27.57,28.45,26.78,26.33
1919,28.14,28.79,27.93,27.93,28.74,27.13,26.68
1920,27.49,28.13,27.29,27.26,28.16,26.47,26.01
1921,27.46,28.11,27.26,27.22,28.14,26.44,26.00
1922,27.15,27.82,26.95,26.88,27.88,26.07,25.58
1923,27.71,28.39,27.48,27.45,28.41,26.65,26.19
1924,27.39,28.03,27.17,27.16,28.04,26.38,25.94
1925,27.56,28.22,27.34,27.31,28.22,26.53,26.10
1926,27.93,28.55,27.71,27.75,28.51,26.96,26.53
1927,27.53,28.14,27.29,27.35,28.08,26.58,26.18
1928,27.25,27.90,27.04,27.04,27.84,26.27,25.85
1929,27.14,27.79,26.92,26.92,27.76,26.15,25.74
1930,27.05,27.71,26.83,26.81,27.73,26.01,25.57
