Variable:,tas
,"Equatorial Guinea",Annobon,"Bioko Norte","Bioko Sur","Centro Sur",Kientem,Litoral,Welenzas
1901,23.94,23.61,23.61,23.33,23.83,24.67,23.78,24.07
1902,24.21,23.88,23.88,23.60,24.10,24.94,24.04,24.34
1903,24.34,24.01,24.01,23.73,24.24,25.08,24.18,24.48
1904,24.04,23.72,23.72,23.44,23.94,24.78,23.88,24.18
1905,24.48,24.13,24.13,23.85,24.37,25.21,24.31,24.61
1906,24.42,24.08,24.08,23.80,24.32,25.16,24.26,24.55
1907,24.47,24.14,24.14,23.86,24.37,25.21,24.31,24.60
1908,24.03,23.71,23.71,23.43,23.93,24.77,23.87,24.17
1909,24.62,24.27,24.27,23.99,24.52,25.36,24.46,24.75
1910,23.95,23.62,23.62,23.34,23.85,24.68,23.78,24.08
1911,24.41,24.09,24.09,23.81,24.31,25.15,24.25,24.55
1912,24.48,24.13,24.13,23.85,24.38,25.22,24.32,24.62
1913,24.04,23.72,23.72,23.43,23.94,24.78,23.88,24.17
1914,24.50,24.16,24.16,23.88,24.40,25.24,24.34,24.63
1915,24.31,23.98,23.98,23.70,24.21,25.05,24.15,24.44
1916,24.31,23.99,23.99,23.71,24.21,25.05,24.15,24.45
1917,24.31,23.98,23.98,23.70,24.21,25.05,24.15,24.44
1918,24.31,23.98,23.98,23.70,24.21,25.05,24.15,24.44
1919,24.31,23.98,23.98,23.70,24.21,25.05,24.15,24.44
1920,24.31,23.99,23.99,23.71,24.21,25.05,24.15,24.45
1921,24.31,23.98,23.98,23.70,24.21,25.05,24.15,24.44
1922,24.31,23.98,23.98,23.70,24.21,25.05,24.15,24.44
1923,24.31,23.98,23.98,23.70,24.21,25.05,24.15,24.44
1924,24.31,23.98,23.98,23.70,24.21,25.05,24.15,24.45
1925,24.31,23.97,23.97,23.69,24.21,25.05,24.15,24.44
1926,24.31,23.99,23.99,23.70,24.21,25.05,24.15,24.44
1927,24.31,23.98,23.98,23.70,24.21,25.05,24.15,24.44
1928,24.31,23.97,23.97,23.70,24.21,25.05,24.15,24.45
1929,24.31,23.96,23.96,23.69,24.21,25.05,24.15,24.44
1930,24.31,24.00,24.00,23.70,24.21,25.05,24.15,24.44
1931,24.31,24.02,24.02,23.71,24.21,25.05,24.15,24.44
1932,24.31,24.02,24.02,23.72,24.21,25.05,24.15,24.45
1933,24.31,24.01,24.01,23.71,24.21,25.05,24.15,24.44
1934,24.31,23.99,23.99,23.70,24.21,25.05,24.15,24.44
1935,24.31,24.01,24.01,23.70,24.21,25.05,24.15,24.44
1936,24.31,23.99,23.99,23.71,24.21,25.05,24.15,24.45
1937,24.31,23.99,23.99,23.70,24.21,25.05,24.15,24.44
1938,24.31,24.02,24.02,23.71,24.21,25.05,24.15,24.44
1939,24.31,24.02,24.02,23.71,24.21,25.05,24.15,24.44
1940,24.31,23.99,23.99,23.71,24.21,25.05,24.15,24.45
1941,24.89,24.54,24.54,24.25,24.78,25.64,24.71,25.03
1942,24.76,24.41,24.41,24.13,24.66,25.52,24.58,24.91
1943,24.15,23.84,23.84,23.54,24.04,24.91,23.97,24.29
1944,24.76,24.37,24.37,24.11,24.66,25.49,24.61,24.89
1945,24.80,24.46,24.46,24.23,24.69,25.52,24.66,24.91
1946,24.54,24.19,24.19,23.92,24.43,25.30,24.35,24.68
1947,24.81,24.46,24.46,24.21,24.70,25.54,24.66,24.93
1948,24.41,24.08,24.08,23.81,24.31,25.14,24.25,24.54
1949,24.81,24.49,24.49,24.22,24.71,25.53,24.66,24.93
1950,24.66,24.44,24.44,24.16,24.54,25.39,24.52,24.76
1951,24.66,24.34,24.34,24.04,24.55,25.40,24.48,24.80
1952,24.54,24.18,24.18,23.90,24.43,25.29,24.37,24.69
1953,24.47,24.09,24.09,23.82,24.37,25.21,24.29,24.63
1954,24.09,23.74,23.74,23.45,23.97,24.84,23.90,24.24
1955,24.24,23.88,23.88,23.60,24.14,24.98,24.05,24.40
1956,24.10,23.71,23.71,23.43,24.00,24.84,23.91,24.26
1957,24.50,24.10,24.10,23.82,24.39,25.23,24.32,24.64
1958,24.38,24.01,24.01,23.73,24.27,25.13,24.20,24.53
1959,24.49,24.11,24.11,23.84,24.40,25.24,24.31,24.65
1960,24.55,24.16,24.16,23.89,24.44,25.30,24.37,24.70
1961,24.30,23.95,23.95,23.68,24.20,25.05,24.12,24.45
1962,24.37,24.00,24.00,23.73,24.26,25.12,24.19,24.52
1963,24.72,24.38,24.38,24.10,24.62,25.44,24.55,24.85
1964,24.34,23.98,23.98,23.70,24.24,25.09,24.17,24.49
1965,24.30,23.92,23.92,23.65,24.19,25.03,24.13,24.45
1966,24.64,24.28,24.28,24.00,24.54,25.36,24.47,24.78
1967,24.39,24.06,24.06,23.77,24.28,25.13,24.22,24.53
