Variable:,tas
1901,26.42
1902,26.49
1903,26.47
1904,26.06
1905,26.27
1906,26.06
1907,25.90
1908,26.11
1909,26.23
1910,26.15
1911,25.37
1912,25.81
1913,25.34
1914,25.47
1915,25.88
1916,25.54
1917,25.31
1918,25.50
1919,25.71
1920,25.63
1921,25.52
1922,25.50
1923,25.57
1924,25.56
1925,25.62
1926,25.97
1927,25.68
1928,25.69
1929,25.53
1930,25.67
1931,26.07
1932,25.96
1933,25.74
1934,25.65
1935,25.82
1936,25.87
1937,25.93
1938,25.86
1939,25.91
1940,26.20
1941,26.17
1942,26.18
1943,25.91
1944,26.04
1945,26.04
1946,25.91
1947,26.03
1948,25.85
1949,25.66
1950,25.72
1951,25.75
1952,25.89
1953,25.83
1954,25.50
1955,25.50
1956,25.38
1957,25.80
1958,26.11
1959,25.64
1960,25.65
1961,25.67
1962,25.77
1963,25.84
1964,25.92
1965,25.81
1966,25.96
1967,25.60
1968,25.54
1969,26.15
1970,25.83
1971,25.58
1972,26.09
1973,26.14
1974,25.71
1975,25.79
1976,25.91
1977,26.17
1978,26.14
1979,26.32
1980,26.34
1981,26.08
1982,25.91
1983,26.18
1984,25.52
1985,25.59
1986,25.87
1987,26.53
1988,26.04
1989,25.75
1990,26.06
1991,25.86
1992,25.87
1993,25.83
1994,25.93
1995,26.27
1996,26.17
1997,26.40
1998,26.80
1999,26.22
2000,26.12
2001,26.26
2002,26.34
2003,26.48
2004,26.47
2005,26.79
2006,26.41
2007,26.44
2008,26.26
2009,26.43
2010,26.75
2011,26.44
2012,26.40
2013,26.39
2014,26.35
2015,26.68
2016,26.70
2017,26.47
2018,26.27
2019,26.56
2020,26.64
2021,26.34
