Variable:,tas
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1901,17.64,14.92,23.96,13.51,10.67,16.96,18.63,13.38,11.28,16.62,24.58,19.82,19.14,23.33,17.44,11.46,16.51,14.36,13.47,14.05,17.74,22.33,14.04,10.59,17.65,10.58,11.24,16.62,11.98,17.68
1902,17.35,14.49,23.31,13.05,9.92,16.64,18.05,12.90,10.85,16.56,24.13,19.41,18.90,22.79,16.90,10.91,16.11,13.95,13.10,13.75,17.51,22.45,13.73,9.80,17.36,10.06,10.58,16.35,11.56,17.36
1903,16.63,13.95,22.38,12.31,9.85,15.92,17.13,12.57,10.30,15.50,23.41,18.83,18.17,22.05,16.10,10.49,15.66,13.37,12.53,13.14,16.72,21.93,13.14,9.75,16.53,9.67,10.46,15.66,11.07,16.77
1904,16.73,13.99,22.75,12.47,9.43,16.04,17.47,12.33,10.30,15.60,23.70,18.95,18.38,22.25,16.33,10.37,15.48,13.45,12.56,13.08,16.73,22.13,13.10,9.37,16.72,9.50,10.05,15.53,10.97,16.80
1905,16.77,14.06,22.65,12.47,9.78,16.07,17.40,12.57,10.38,15.65,23.63,18.97,18.37,22.25,16.31,10.54,15.70,13.48,12.61,13.22,16.81,22.06,13.20,9.73,16.73,9.70,10.39,15.69,11.11,16.85
1906,16.94,14.14,22.64,12.55,10.01,16.21,17.45,12.74,10.45,15.99,23.64,19.02,18.52,22.28,16.36,10.66,15.91,13.53,12.70,13.42,17.10,22.16,13.37,9.93,16.89,9.84,10.61,16.00,11.24,16.97
1907,16.54,13.83,22.50,12.21,9.29,15.83,17.22,12.10,10.11,15.38,23.52,18.77,18.23,22.00,16.05,10.23,15.26,13.26,12.35,12.88,16.56,21.99,12.90,9.24,16.52,9.31,9.89,15.33,10.74,16.59
1908,16.74,13.79,23.06,12.54,9.03,16.08,17.72,12.03,10.12,15.69,23.90,18.85,18.49,22.34,16.50,10.08,15.24,13.36,12.47,12.93,16.73,21.99,12.99,9.00,16.83,9.15,9.64,15.47,10.76,16.73
1909,17.30,14.48,23.34,13.07,10.16,16.63,18.02,13.08,10.89,16.49,24.07,19.40,18.78,22.84,16.94,10.97,16.15,13.94,13.12,13.72,17.48,22.10,13.71,10.07,17.31,10.16,10.76,16.35,11.65,17.35
1910,16.76,14.22,22.27,12.41,10.18,16.06,17.01,12.99,10.59,15.79,23.28,19.01,18.10,22.16,16.12,10.83,16.01,13.55,12.78,13.44,16.99,21.85,13.39,10.07,16.59,10.10,10.79,15.95,11.47,16.99
1911,15.96,12.96,21.64,11.50,8.33,15.21,16.45,11.21,9.19,15.02,22.91,18.04,17.80,21.24,15.31,9.24,14.45,12.47,11.53,12.11,15.97,21.78,12.10,8.27,15.97,8.34,8.93,14.73,9.83,15.83
1912,16.98,14.42,22.58,12.60,10.10,16.24,17.39,12.96,10.73,15.98,23.58,19.21,18.47,22.35,16.36,10.94,16.06,13.72,12.90,13.58,17.13,22.21,13.56,10.02,16.87,10.10,10.70,16.03,11.49,17.14
1913,16.83,13.95,22.42,12.44,9.71,16.15,17.25,12.61,10.33,15.99,23.46,18.82,18.39,22.11,16.21,10.46,15.82,13.38,12.61,13.39,17.09,22.05,13.31,9.60,16.80,9.68,10.35,16.05,11.12,16.91
1914,17.37,14.50,23.00,12.99,10.25,16.67,17.83,13.21,10.92,16.67,23.90,19.34,18.87,22.68,16.77,11.05,16.41,13.91,13.15,13.99,17.70,22.32,13.87,10.16,17.38,10.29,10.90,16.66,11.73,17.44
1915,17.76,14.75,23.31,13.38,10.59,17.07,18.22,13.60,11.20,17.26,24.17,19.59,19.24,22.99,17.13,11.33,16.84,14.20,13.48,14.42,18.15,22.53,14.27,10.48,17.82,10.63,11.26,17.20,12.08,17.80
1916,16.86,14.49,22.91,12.67,10.21,16.14,17.60,12.84,10.71,15.48,23.80,19.36,18.38,22.55,16.53,10.97,15.87,13.79,12.85,13.33,16.77,22.01,13.36,10.20,16.74,10.04,10.72,15.62,11.40,17.02
1917,17.37,14.81,23.10,13.09,10.71,16.67,17.92,13.49,11.15,16.39,23.98,19.59,18.83,22.82,16.86,11.40,16.57,14.12,13.32,14.01,17.54,22.20,13.98,10.60,17.30,10.58,11.33,16.50,11.96,17.55
1918,16.79,14.34,22.75,12.40,10.02,15.98,17.51,12.74,10.61,15.49,23.74,19.14,18.48,22.23,16.26,10.82,15.76,13.58,12.71,13.20,16.68,22.01,13.24,9.99,16.73,9.93,10.59,15.51,11.28,16.91
1919,17.20,14.54,23.39,13.00,10.37,16.50,18.10,13.08,10.86,15.95,24.17,19.42,18.81,22.80,16.90,11.06,16.17,13.94,13.06,13.66,17.22,22.14,13.64,10.27,17.21,10.23,10.99,16.06,11.60,17.27
1920,16.45,13.86,23.06,12.49,8.89,15.85,17.67,11.97,10.17,14.72,23.91,18.85,18.30,22.37,16.49,10.08,15.10,13.30,12.40,12.75,16.16,21.99,12.96,8.84,16.55,9.17,9.53,14.76,10.78,16.61
1921,16.94,13.94,23.36,12.81,9.34,16.31,18.06,12.25,10.27,15.69,24.17,19.02,18.75,22.62,16.82,10.28,15.47,13.53,12.61,13.14,16.90,22.29,13.17,9.26,17.10,9.40,9.98,15.63,10.93,16.89
1922,17.52,14.80,23.50,13.30,10.56,16.84,18.25,13.43,11.17,16.56,24.25,19.67,19.02,23.05,17.15,11.33,16.56,14.21,13.39,14.06,17.69,22.36,14.02,10.47,17.53,10.53,11.18,16.61,11.95,17.63
1923,16.90,14.53,22.98,12.77,10.45,16.21,17.64,13.04,10.79,15.45,23.84,19.38,18.37,22.63,16.61,11.06,16.02,13.85,12.94,13.42,16.86,21.97,13.47,10.40,16.76,10.19,11.02,15.76,11.50,17.10
1924,17.14,14.71,23.77,13.10,10.24,16.44,18.28,12.96,10.95,15.65,24.37,19.64,18.69,23.08,17.11,11.15,15.96,14.10,13.09,13.44,16.97,22.15,13.52,10.19,17.08,10.22,10.80,15.73,11.55,17.23
1925,17.30,14.62,22.91,12.95,10.46,16.59,17.77,13.29,10.98,16.43,23.87,19.39,18.78,22.62,16.70,11.15,16.43,13.93,13.17,13.92,17.54,22.28,13.85,10.33,17.27,10.39,11.09,16.54,11.77,17.43
1926,17.11,14.38,23.18,12.83,9.99,16.39,17.91,12.82,10.69,16.03,24.03,19.29,18.74,22.63,16.72,10.82,15.96,13.79,12.91,13.51,17.16,22.24,13.49,9.94,17.12,9.97,10.58,16.05,11.40,17.14
