Variable:,tas
,Iraq,Anbar,Basrah,Muthanna,Qadissiya,Najaf,Erbil,Kirkuk,Babil,Baghdad,Thi-Qar,Dahuk,Diyala,Kerbala,Missan,Ninewa,"Salah al-Din",Sulaymaniyah,Wassit
1901,22.21,21.01,25.50,24.81,24.35,23.65,17.74,22.21,23.73,23.19,25.04,15.74,23.08,23.55,24.78,20.37,22.70,18.20,23.99
1902,21.87,20.79,24.91,24.41,24.08,23.48,17.12,21.75,23.54,22.99,24.59,15.04,22.75,23.42,24.30,19.90,22.41,17.66,23.66
1903,21.25,20.04,24.12,23.64,23.43,22.87,16.89,21.34,22.99,22.49,23.85,14.92,22.23,22.92,23.61,19.57,21.92,17.28,23.08
1904,21.42,20.33,24.38,23.93,23.65,23.10,16.68,21.30,23.17,22.63,24.09,14.66,22.32,23.07,23.81,19.53,22.00,17.17,23.24
1905,21.48,20.40,24.36,23.88,23.62,23.08,16.96,21.46,23.16,22.64,24.06,15.00,22.37,23.08,23.80,19.70,22.08,17.36,23.24
1906,21.57,20.51,24.38,23.91,23.66,23.13,17.14,21.59,23.20,22.70,24.10,15.17,22.45,23.13,23.84,19.85,22.18,17.49,23.28
1907,21.23,20.13,24.14,23.70,23.44,22.91,16.53,21.15,22.99,22.48,23.86,14.50,22.16,22.93,23.58,19.34,21.83,17.04,23.06
1908,21.27,20.13,24.59,24.03,23.58,23.05,16.31,20.97,23.04,22.46,24.14,14.31,22.13,22.96,23.80,19.10,21.70,16.88,23.13
1909,21.96,20.94,24.98,24.47,24.08,23.52,17.28,21.81,23.53,22.97,24.62,15.32,22.75,23.42,24.31,20.05,22.42,17.73,23.65
1910,21.48,20.39,24.16,23.65,23.56,22.96,17.24,21.67,23.15,22.67,23.95,15.28,22.48,23.07,23.75,19.87,22.17,17.64,23.25
1911,20.68,19.81,23.39,23.12,22.95,22.58,15.62,20.36,22.55,21.98,23.19,13.58,21.49,22.58,22.87,18.54,21.18,16.13,22.46
1912,21.69,20.63,24.38,23.89,23.79,23.15,17.32,21.84,23.35,22.88,24.18,15.26,22.69,23.23,23.98,19.99,22.41,17.76,23.46
1913,21.36,20.35,24.16,23.72,23.48,23.00,16.82,21.32,23.04,22.53,23.88,14.76,22.25,23.00,23.62,19.50,21.94,17.25,23.09
1914,21.83,20.77,24.73,24.20,23.93,23.33,17.37,21.84,23.44,22.92,24.43,15.35,22.73,23.32,24.18,20.03,22.41,17.80,23.56
1915,22.12,21.11,25.00,24.46,24.18,23.57,17.68,22.14,23.65,23.12,24.69,15.67,22.96,23.52,24.45,20.38,22.68,18.06,23.79
1916,22.06,21.20,24.67,24.25,24.06,23.49,17.55,22.06,23.57,23.07,24.46,15.55,22.85,23.49,24.19,20.37,22.66,17.88,23.66
1917,22.14,21.12,24.87,24.34,24.16,23.50,17.85,22.29,23.66,23.17,24.62,15.82,23.04,23.53,24.40,20.51,22.79,18.20,23.81
1918,21.81,20.90,24.38,24.01,23.83,23.28,17.35,21.87,23.39,22.91,24.16,15.38,22.68,23.31,23.91,20.16,22.46,17.70,23.45
1919,22.06,21.09,24.97,24.48,24.12,23.56,17.50,22.00,23.58,23.04,24.60,15.51,22.84,23.48,24.31,20.26,22.58,17.88,23.69
1920,21.47,20.55,24.62,24.19,23.71,23.29,16.27,21.03,23.17,22.59,24.22,14.17,22.22,23.12,23.83,19.20,21.84,16.85,23.18
1921,21.49,20.40,24.88,24.29,23.76,23.23,16.53,21.16,23.20,22.60,24.38,14.49,22.28,23.09,24.03,19.28,21.86,17.07,23.30
1922,22.19,21.15,25.15,24.58,24.27,23.62,17.71,22.20,23.71,23.18,24.81,15.72,23.04,23.56,24.56,20.44,22.75,18.11,23.88
1923,22.08,21.14,24.75,24.36,24.10,23.55,17.66,22.06,23.59,23.08,24.52,15.76,22.86,23.50,24.23,20.43,22.65,17.94,23.68
1924,22.17,21.13,25.31,24.71,24.29,23.65,17.50,22.06,23.70,23.15,24.90,15.51,22.97,23.56,24.60,20.28,22.65,17.97,23.87
1925,22.03,21.10,24.68,24.28,24.06,23.50,17.59,22.05,23.56,23.06,24.46,15.57,22.88,23.46,24.19,20.31,22.62,17.95,23.66
1926,21.90,20.93,24.80,24.34,24.00,23.45,17.21,21.79,23.49,22.95,24.48,15.23,22.71,23.37,24.18,20.04,22.42,17.64,23.58
1927,22.01,21.08,24.96,24.51,24.11,23.58,17.25,21.86,23.56,23.01,24.61,15.25,22.76,23.46,24.28,20.11,22.50,17.67,23.65
1928,21.66,20.90,24.64,24.43,23.89,23.54,16.26,21.13,23.35,22.73,24.31,14.16,22.27,23.28,23.81,19.42,22.05,16.73,23.27
1929,21.67,20.75,24.65,24.32,23.90,23.43,16.72,21.34,23.36,22.73,24.33,14.66,22.38,23.26,23.91,19.53,22.05,17.18,23.36
1930,22.33,21.52,24.79,24.49,24.27,23.70,17.88,22.43,23.83,23.39,24.60,15.87,23.12,23.75,24.25,20.72,23.07,18.20,23.80
1931,21.71,20.85,24.62,24.32,23.90,23.45,16.74,21.34,23.37,22.74,24.32,14.68,22.37,23.29,23.89,19.58,22.08,17.17,23.35
1932,21.70,20.92,24.37,24.14,23.83,23.41,16.85,21.43,23.34,22.75,24.18,14.77,22.42,23.30,23.77,19.65,22.15,17.29,23.30
1933,21.17,20.18,24.17,23.82,23.46,23.04,16.29,20.89,22.96,22.30,23.85,14.18,21.99,22.85,23.51,18.94,21.56,16.82,22.97
1934,21.58,20.76,24.37,24.14,23.78,23.36,16.67,21.27,23.25,22.61,24.13,14.60,22.24,23.18,23.71,19.47,21.97,17.10,23.21
1935,22.36,21.49,25.16,24.78,24.44,23.85,17.68,22.23,23.86,23.36,24.90,15.63,23.05,23.79,24.54,20.46,22.91,18.07,23.93
1936,21.95,21.10,24.62,24.30,24.01,23.50,17.27,21.86,23.52,23.00,24.41,15.23,22.71,23.45,24.08,20.08,22.54,17.72,23.55
1937,22.24,21.41,24.77,24.45,24.18,23.65,17.77,22.30,23.72,23.25,24.55,15.78,23.01,23.65,24.22,20.58,22.92,18.12,23.73
1938,21.97,20.86,24.92,24.37,24.07,23.46,17.53,22.08,23.56,23.08,24.60,15.46,22.90,23.41,24.35,20.15,22.62,17.97,23.72
1939,22.17,21.32,24.81,24.43,24.14,23.63,17.62,22.17,23.65,23.13,24.58,15.57,22.92,23.60,24.28,20.38,22.78,18.03,23.70
1940,22.33,21.33,25.20,24.65,24.34,23.72,17.89,22.45,23.82,23.37,24.87,15.86,23.21,23.72,24.62,20.59,22.99,18.34,23.96
1941,22.09,21.14,24.99,24.53,24.17,23.63,17.46,22.00,23.66,23.15,24.68,15.39,22.91,23.55,24.38,20.14,22.60,17.92,23.74
1942,21.97,21.01,25.02,24.56,24.13,23.60,17.17,21.75,23.57,22.99,24.66,15.09,22.71,23.44,24.33,19.91,22.40,17.64,23.65
1943,21.76,20.76,24.58,24.18,23.95,23.35,17.14,21.71,23.42,22.85,24.37,15.07,22.61,23.27,24.07,19.86,22.31,17.57,23.50
1944,22.03,20.97,24.93,24.43,24.10,23.52,17.54,22.08,23.61,23.11,24.62,15.47,22.93,23.46,24.36,20.22,22.66,17.98,23.73
1945,21.52,20.47,24.56,24.16,23.86,23.26,16.69,21.29,23.21,22.56,24.32,14.59,22.30,23.06,23.99,19.43,21.94,17.17,23.35
1946,21.81,20.88,24.94,24.52,24.03,23.53,16.88,21.46,23.41,22.79,24.54,14.81,22.41,23.30,24.15,19.68,22.16,17.31,23.46
1947,22.55,21.68,25.43,24.96,24.44,23.97,17.98,22.52,23.99,23.53,25.00,15.97,23.26,23.92,24.62,20.78,23.14,18.34,24.01
1948,21.57,20.40,24.75,24.22,23.88,23.22,16.91,21.47,23.23,22.64,24.40,14.83,22.48,23.06,24.12,19.55,22.07,17.41,23.43
1949,21.38,20.31,24.31,23.97,23.73,23.11,16.64,21.23,23.10,22.48,24.11,14.56,22.21,22.93,23.81,19.33,21.85,17.10,23.21
1950,21.55,20.58,24.51,24.18,23.88,23.32,16.69,21.27,23.28,22.64,24.30,14.59,22.28,23.17,23.93,19.43,21.96,17.15,23.29
1951,22.21,21.39,25.28,24.82,24.26,23.89,17.26,21.84,23.61,23.07,24.86,15.18,22.80,23.64,24.50,20.04,22.55,17.74,23.74
1952,22.40,21.55,25.18,24.78,24.34,23.96,17.78,22.34,23.79,23.25,24.79,15.77,23.03,23.83,24.44,20.60,22.97,18.11,23.87
1953,21.67,20.64,24.93,24.43,23.78,23.28,16.88,21.47,23.15,22.55,24.48,14.72,22.36,23.07,24.10,19.60,22.11,17.36,23.29
1954,22.40,21.56,25.30,24.91,24.33,23.96,17.70,22.29,23.76,23.19,24.89,15.68,22.96,23.81,24.50,20.55,22.95,18.00,23.84
1955,22.91,22.14,25.34,25.06,24.76,24.36,18.55,23.11,24.28,23.78,25.05,16.62,23.49,24.33,24.73,21.40,23.63,18.68,24.25
1956,21.54,20.64,24.61,24.16,23.67,23.29,16.46,21.20,23.13,22.60,24.21,14.37,22.29,23.08,23.86,19.40,21.93,17.03,23.18
1957,21.76,20.95,24.45,24.17,23.70,23.36,17.11,21.63,23.27,22.78,24.07,15.07,22.45,23.26,23.67,19.93,22.28,17.42,23.18
1958,22.23,21.25,25.29,24.83,24.30,23.72,17.50,22.10,23.72,23.14,24.90,15.46,22.95,23.57,24.55,20.31,22.70,17.94,23.84
1959,21.48,20.45,24.59,24.03,23.64,23.00,16.76,21.37,23.03,22.47,24.20,14.72,22.32,22.88,23.90,19.54,21.98,17.25,23.21
1960,22.63,21.77,25.41,24.96,24.55,24.07,18.03,22.64,24.11,23.63,25.01,16.08,23.37,24.04,24.64,20.89,23.29,18.37,24.06
1961,22.16,21.01,25.01,24.52,24.22,23.53,17.79,22.26,23.62,23.32,24.69,15.83,23.26,23.58,24.45,20.44,22.82,18.50,23.95
1962,23.19,22.21,25.97,25.56,25.28,24.64,18.56,23.14,24.74,24.28,25.71,16.56,24.12,24.65,25.43,21.42,23.82,19.04,24.88
1963,22.42,21.43,25.33,24.82,24.46,23.86,17.82,22.32,23.93,23.49,25.06,15.69,23.38,23.84,24.86,20.47,22.93,18.42,24.16
1964,21.27,20.38,24.23,23.75,23.30,22.89,16.39,21.02,22.78,22.36,23.80,14.37,22.10,22.79,23.54,19.35,21.77,16.87,22.86
1965,22.06,21.01,25.29,24.77,24.30,23.73,17.10,21.73,23.68,23.13,24.95,14.99,22.95,23.56,24.67,19.85,22.44,17.80,23.90
1966,23.16,21.97,26.04,25.52,25.21,24.50,18.97,23.32,24.65,24.24,25.79,16.96,24.31,24.49,25.57,21.45,23.81,19.58,24.94
1967,21.22,19.98,24.43,23.89,23.56,22.83,16.47,21.08,22.89,22.47,24.12,14.35,22.42,22.77,23.86,19.07,21.77,17.30,23.17
1968,21.99,20.98,25.00,24.53,24.18,23.60,17.28,21.87,23.59,23.00,24.63,15.21,22.89,23.44,24.28,19.98,22.47,17.87,23.63
1969,22.28,21.28,25.34,24.86,24.42,23.89,17.50,22.12,23.85,23.30,24.90,15.45,23.13,23.72,24.54,20.29,22.76,18.01,23.91
1970,22.66,21.54,25.44,25.00,24.82,24.06,18.34,22.77,24.29,23.86,25.23,16.31,23.68,24.13,25.01,20.91,23.31,18.75,24.50
1971,21.87,20.78,24.94,24.48,24.12,23.51,17.13,21.67,23.52,22.99,24.64,15.04,22.78,23.37,24.38,19.83,22.29,17.65,23.75
1972,20.69,19.83,23.86,23.39,22.88,22.51,15.52,20.21,22.30,21.64,23.44,13.47,21.30,22.19,23.08,18.50,20.93,15.99,22.31
1973,21.84,20.81,25.14,24.60,24.12,23.59,16.62,21.42,23.57,22.95,24.80,14.53,22.66,23.41,24.55,19.58,22.19,17.26,23.69
1974,21.49,20.73,24.51,24.04,23.50,23.17,16.43,21.09,22.99,22.32,24.07,14.64,21.99,22.91,23.70,19.64,21.82,16.69,22.90
1975,21.73,20.69,24.78,24.25,23.86,23.29,16.99,21.59,23.33,22.76,24.43,14.98,22.58,23.22,24.15,19.80,22.23,17.52,23.45
1976,21.58,20.45,24.75,24.15,23.79,23.17,16.86,21.49,23.22,22.72,24.40,14.72,22.58,23.07,24.14,19.54,22.11,17.51,23.40
1977,22.10,21.02,25.36,24.75,24.29,23.65,17.31,21.90,23.66,23.09,24.96,15.26,22.86,23.55,24.66,20.15,22.55,17.75,23.85
1978,22.43,21.32,25.47,24.89,24.50,23.87,17.86,22.42,24.02,23.62,25.19,15.70,23.46,23.93,24.98,20.49,23.04,18.53,24.21
1979,22.86,21.80,25.78,25.28,24.93,24.36,18.38,22.91,24.45,23.89,25.46,16.31,23.72,24.30,25.15,21.07,23.45,18.86,24.51
1980,21.88,20.76,25.08,24.46,23.93,23.40,17.51,21.89,23.40,22.74,24.64,15.39,22.61,23.27,24.29,19.96,22.34,17.97,23.52
1981,22.28,21.27,25.27,24.71,24.26,23.73,17.80,22.31,23.80,23.22,24.85,15.71,23.01,23.67,24.56,20.46,22.84,18.17,23.89
1982,21.06,20.14,24.23,23.65,23.20,22.70,16.26,20.86,22.63,21.94,23.70,14.21,21.59,22.51,23.34,19.13,21.47,16.52,22.64
1983,21.38,20.41,24.48,23.93,23.39,22.97,16.82,21.30,22.91,22.27,23.95,14.81,21.93,22.80,23.57,19.60,21.84,17.08,22.90
1984,21.87,20.82,24.84,24.36,23.93,23.37,17.38,21.97,23.45,22.91,24.40,15.31,22.62,23.33,24.03,20.05,22.49,17.70,23.56
1985,22.07,21.13,25.00,24.53,24.12,23.58,17.47,22.06,23.63,23.08,24.58,15.34,22.83,23.49,24.25,20.16,22.62,17.86,23.76
1986,22.21,21.40,24.87,24.46,24.09,23.64,17.76,22.34,23.71,23.19,24.44,15.71,22.88,23.62,24.05,20.59,22.91,17.89,23.67
1987,22.47,21.44,25.38,25.01,24.63,24.07,17.89,22.52,24.07,23.50,25.02,15.66,23.28,23.88,24.69,20.46,23.04,18.39,24.21
1988,21.84,20.83,25.10,24.58,24.13,23.51,16.94,21.65,23.38,22.78,24.66,14.77,22.51,23.25,24.33,19.62,22.21,17.55,23.60
1989,21.85,21.13,24.66,24.23,23.82,23.40,17.22,21.74,23.20,22.53,24.17,15.38,22.18,23.12,23.75,20.23,22.28,17.32,23.13
1990,22.17,21.30,25.21,24.73,24.27,23.77,17.38,22.01,23.61,22.93,24.78,15.40,22.62,23.50,24.44,20.33,22.59,17.65,23.67
1991,22.34,21.28,25.42,24.86,24.42,23.91,17.70,22.37,23.89,23.29,25.03,15.58,23.08,23.83,24.70,20.44,22.95,18.13,23.97
1992,20.92,19.86,24.18,23.74,23.19,22.72,15.99,20.74,22.56,21.77,23.75,13.78,21.56,22.46,23.35,18.79,21.29,16.48,22.67
1993,21.92,20.92,25.24,24.68,24.11,23.63,16.95,21.73,23.50,22.81,24.80,14.62,22.55,23.46,24.43,19.75,22.32,17.44,23.59
1994,22.91,22.02,25.82,25.36,25.00,24.48,18.09,22.85,24.46,23.85,25.50,15.87,23.57,24.42,25.09,21.04,23.45,18.50,24.51
1995,22.52,21.53,25.32,24.93,24.62,24.10,17.92,22.61,24.10,23.52,25.08,15.66,23.39,23.98,24.78,20.61,23.14,18.41,24.16
1996,23.03,22.06,25.84,25.53,25.17,24.72,18.38,23.09,24.65,24.04,25.57,16.16,23.85,24.61,25.11,21.10,23.65,18.76,24.62
1997,22.13,20.96,25.40,24.77,24.34,23.68,17.50,22.16,23.76,23.16,25.03,15.19,23.02,23.57,24.81,20.07,22.70,18.03,23.97
1998,23.42,22.47,26.44,25.90,25.44,24.91,18.78,23.43,24.91,24.40,26.06,16.50,24.20,24.87,25.72,21.48,24.00,19.21,25.00
1999,23.45,22.35,26.63,26.05,25.49,24.91,18.84,23.42,25.00,24.48,26.21,16.62,24.33,24.86,25.87,21.51,24.03,19.34,25.11
2000,22.88,21.72,26.09,25.50,25.00,24.35,18.28,22.86,24.43,23.94,25.70,16.06,23.80,24.25,25.40,20.96,23.48,18.82,24.66
