Variable:,tas
,Kuwait,"Al Farwaniyah","Al Ahmadi","Al Jahrah","Al Kuwayt",Hawalli
1901,25.77,26.04,26.04,25.67,26.03,26.20
1902,25.14,25.39,25.39,25.03,25.38,25.52
1903,24.24,24.49,24.46,24.16,24.48,24.63
1904,24.58,24.82,24.81,24.49,24.81,24.97
1905,24.51,24.76,24.72,24.43,24.75,24.90
1906,24.49,24.74,24.69,24.41,24.73,24.89
1907,24.34,24.60,24.58,24.24,24.58,24.72
1908,24.88,25.14,25.14,24.77,25.13,25.29
1909,25.18,25.43,25.41,25.09,25.42,25.58
1910,24.17,24.38,24.34,24.10,24.37,24.54
1911,23.53,23.78,23.73,23.44,23.77,23.91
1912,24.43,24.67,24.63,24.36,24.66,24.81
1913,24.28,24.54,24.47,24.21,24.52,24.66
1914,24.86,25.11,25.06,24.78,25.10,25.25
1915,25.14,25.37,25.35,25.05,25.36,25.52
1916,24.78,25.03,24.99,24.69,25.02,25.18
1917,24.95,25.19,25.15,24.87,25.18,25.34
1918,24.58,24.82,24.82,24.47,24.81,24.97
1919,25.22,25.47,25.47,25.11,25.46,25.62
1920,24.90,25.15,25.15,24.79,25.14,25.29
1921,25.17,25.43,25.43,25.06,25.42,25.58
1922,25.33,25.58,25.56,25.23,25.57,25.74
1923,24.87,25.11,25.07,24.79,25.10,25.26
1924,25.58,25.84,25.86,25.47,25.83,26.01
1925,24.77,25.02,24.97,24.70,25.01,25.15
1926,25.01,25.25,25.25,24.91,25.24,25.41
1927,25.18,25.43,25.42,25.09,25.42,25.57
1928,24.97,25.20,25.23,24.85,25.19,25.36
1929,24.94,25.18,25.20,24.83,25.17,25.33
1930,24.95,25.17,25.19,24.85,25.16,25.32
1931,24.89,25.13,25.14,24.78,25.12,25.27
1932,24.51,24.74,24.72,24.43,24.73,24.88
1933,24.34,24.57,24.54,24.26,24.56,24.73
1934,24.59,24.81,24.82,24.49,24.80,24.96
1935,25.33,25.57,25.56,25.24,25.56,25.70
1936,24.73,24.96,24.91,24.65,24.95,25.10
1937,24.90,25.13,25.10,24.82,25.12,25.27
1938,25.03,25.28,25.23,24.96,25.27,25.43
1939,24.90,25.14,25.08,24.83,25.13,25.31
1940,25.33,25.58,25.55,25.25,25.57,25.74
1941,25.12,25.38,25.32,25.05,25.37,25.53
1942,25.25,25.49,25.50,25.14,25.48,25.65
1943,24.69,24.92,24.89,24.62,24.91,25.08
1944,25.04,25.27,25.24,24.97,25.26,25.42
1945,24.75,24.99,24.97,24.65,24.97,25.10
1946,25.27,25.53,25.54,25.15,25.52,25.67
1947,25.77,26.04,26.06,25.65,26.03,26.18
1948,24.93,25.18,25.16,24.84,25.17,25.33
1949,24.45,24.68,24.65,24.36,24.67,24.81
1950,24.67,24.91,24.87,24.59,24.90,25.04
1951,25.62,25.90,25.93,25.49,25.89,26.07
1952,25.48,25.75,25.77,25.35,25.74,25.91
1953,25.29,25.58,25.59,25.16,25.57,25.74
1954,25.63,25.88,25.92,25.51,25.87,26.05
1955,25.60,25.85,25.86,25.49,25.84,26.00
1956,24.90,25.15,25.18,24.78,25.14,25.32
1957,24.81,25.08,25.13,24.68,25.07,25.23
1958,25.58,25.84,25.85,25.46,25.82,25.95
1959,24.84,25.11,25.10,24.74,25.09,25.23
1960,25.72,25.98,25.99,25.60,25.96,26.10
1961,25.10,25.26,25.20,25.07,25.25,25.33
1962,26.11,26.28,26.23,26.06,26.27,26.35
1963,25.61,25.87,25.78,25.52,25.87,25.90
1964,24.61,24.83,24.80,24.52,24.82,24.92
1965,25.63,25.85,25.82,25.53,25.84,25.93
1966,26.16,26.33,26.25,26.13,26.32,26.40
1967,24.62,24.74,24.70,24.60,24.73,24.83
1968,25.27,25.50,25.43,25.20,25.49,25.54
1969,25.64,25.91,25.83,25.55,25.90,25.95
1970,25.58,25.82,25.79,25.51,25.80,25.93
1971,25.08,25.30,25.29,25.01,25.29,25.47
1972,24.18,24.45,24.44,24.06,24.43,24.56
1973,25.18,25.41,25.33,25.14,25.40,25.49
1974,24.78,24.98,25.05,24.67,24.96,25.20
1975,24.99,25.20,25.20,24.91,25.19,25.37
1976,24.84,25.10,25.02,24.78,25.09,25.19
1977,25.53,25.79,25.75,25.45,25.77,25.91
1978,25.45,25.69,25.59,25.41,25.69,25.72
1979,25.94,26.23,26.18,25.84,26.21,26.34
1980,25.36,25.72,25.71,25.21,25.71,25.87
1981,25.56,25.90,25.90,25.41,25.89,26.05
1982,24.58,24.95,24.96,24.41,24.94,25.12
1983,24.76,25.14,25.14,24.60,25.13,25.29
1984,25.14,25.46,25.52,24.98,25.44,25.67
1985,25.34,25.65,25.75,25.17,25.62,25.94
1986,25.28,25.59,25.70,25.09,25.56,25.88
1987,25.74,26.03,26.19,25.55,25.99,26.37
1988,25.45,25.75,25.87,25.27,25.72,26.04
1989,25.05,25.32,25.48,24.87,25.28,25.68
1990,25.56,25.87,25.99,25.39,25.84,26.12
1991,25.59,25.86,25.77,25.52,25.84,25.96
1992,24.50,24.78,24.82,24.36,24.76,24.97
1993,25.45,25.68,25.70,25.35,25.67,25.85
1994,26.02,26.27,26.24,25.93,26.26,26.44
1995,25.48,25.70,25.68,25.40,25.69,25.84
1996,26.04,26.26,26.25,25.96,26.25,26.35
1997,25.56,25.80,25.77,25.48,25.79,25.96
1998,26.65,26.92,26.87,26.56,26.90,27.04
1999,26.85,27.10,27.08,26.76,27.08,27.20
2000,26.29,26.54,26.52,26.20,26.52,26.65
2001,26.62,26.87,27.01,26.46,26.83,27.20
2002,26.14,26.45,26.57,25.97,26.41,26.76
2003,26.25,26.49,26.73,26.04,26.45,26.91
2004,26.01,26.20,26.41,25.85,26.16,26.63
2005,25.98,26.15,26.35,25.82,26.11,26.54
2006,26.31,26.53,26.70,26.13,26.49,26.88
2007,26.24,26.49,26.71,26.03,26.45,26.87
2008,26.30,26.53,26.71,26.13,26.49,26.90
2009,26.47,26.73,26.92,26.27,26.69,27.09
2010,27.39,27.65,27.79,27.21,27.61,28.00
2011,25.98,26.29,26.34,25.81,26.28,26.44
2012,26.31,26.59,26.65,26.16,26.57,26.81
2013,25.99,26.26,26.25,25.88,26.25,26.39
2014,26.55,26.82,26.82,26.44,26.81,26.97
2015,27.06,27.33,27.32,26.94,27.32,27.46
2016,27.01,27.31,27.31,26.89,27.30,27.47
2017,27.00,27.27,27.28,26.88,27.26,27.42
2018,27.47,27.73,27.73,27.37,27.72,27.89
2019,27.01,27.27,27.27,26.90,27.26,27.43
2020,26.89,27.15,27.14,26.79,27.14,27.28
2021,27.89,28.17,28.14,27.79,28.16,28.32
