Variable:,tas
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
1901,10.78,12.00,9.51,11.15,13.44,11.81,12.04,8.32,10.40,11.55,9.35
1902,10.61,11.85,9.36,11.00,13.27,11.65,11.88,8.16,10.24,11.39,9.18
1903,10.60,11.84,9.40,11.01,13.22,11.62,11.82,8.18,10.21,11.31,9.18
1904,10.73,11.96,9.46,11.10,13.39,11.76,12.00,8.27,10.38,11.52,9.31
1905,10.69,11.93,9.48,11.09,13.35,11.72,11.94,8.25,10.30,11.44,9.26
1906,10.48,11.70,9.21,10.85,13.13,11.52,11.75,8.01,10.10,11.27,9.05
1907,10.32,11.55,9.03,10.67,13.00,11.37,11.61,7.83,9.95,11.11,8.90
1908,10.52,11.76,9.29,10.92,13.18,11.56,11.77,8.07,10.12,11.28,9.09
1909,10.59,11.83,9.31,10.96,13.28,11.64,11.88,8.10,10.21,11.39,9.16
1910,10.31,11.54,9.01,10.67,13.02,11.37,11.61,7.82,9.95,11.12,8.88
1911,10.66,11.86,9.35,11.00,13.35,11.69,11.95,8.19,10.31,11.47,9.24
1912,11.00,12.24,9.74,11.38,13.66,12.04,12.26,8.56,10.63,11.76,9.58
1913,11.16,12.39,9.92,11.55,13.80,12.19,12.40,8.73,10.79,11.92,9.74
1914,11.26,12.49,10.02,11.65,13.90,12.28,12.50,8.83,10.89,12.01,9.85
1915,10.98,12.20,9.70,11.35,13.66,12.03,12.26,8.51,10.62,11.78,9.56
1916,10.95,12.18,9.69,11.32,13.63,11.99,12.22,8.49,10.59,11.73,9.53
1917,10.41,11.65,9.14,10.78,13.10,11.46,11.70,7.93,10.03,11.20,8.97
1918,10.79,12.01,9.49,11.15,13.48,11.84,12.09,8.31,10.43,11.60,9.37
1919,11.12,12.34,9.84,11.48,13.79,12.16,12.40,8.65,10.77,11.91,9.70
1920,11.11,12.34,9.83,11.47,13.78,12.15,12.39,8.65,10.76,11.90,9.70
1921,10.59,11.81,9.31,10.95,13.26,11.63,11.87,8.12,10.23,11.39,9.17
1922,11.19,12.42,9.96,11.58,13.83,12.22,12.44,8.74,10.81,11.93,9.77
1923,11.30,12.52,10.04,11.68,13.94,12.33,12.55,8.85,10.94,12.06,9.88
1924,10.57,11.79,9.28,10.92,13.25,11.61,11.86,8.08,10.20,11.38,9.13
1925,11.02,12.23,9.73,11.37,13.70,12.06,12.31,8.55,10.67,11.83,9.60
1926,11.11,12.35,9.85,11.49,13.78,12.15,12.37,8.66,10.75,11.89,9.69
1927,11.46,12.68,10.16,11.81,14.15,12.50,12.75,8.98,11.10,12.26,10.03
1928,11.06,12.30,9.80,11.44,13.75,12.11,12.33,8.59,10.68,11.84,9.63
1929,11.17,12.38,9.87,11.52,13.85,12.21,12.45,8.69,10.80,11.96,9.75
1930,10.99,12.22,9.67,11.33,13.68,12.04,12.28,8.49,10.63,11.80,9.56
1931,11.45,12.69,10.19,11.83,14.11,12.48,12.69,9.00,11.08,12.20,10.02
1932,11.76,12.98,10.49,12.13,14.44,12.80,13.03,9.31,11.40,12.54,10.34
1933,11.61,12.87,10.34,11.99,14.28,12.66,12.87,9.16,11.25,12.37,10.19
1934,11.74,12.93,10.46,12.08,14.40,12.77,13.01,9.27,11.39,12.53,10.32
1935,10.79,12.02,9.52,11.15,13.48,11.84,12.09,8.31,10.42,11.58,9.37
1936,11.20,12.41,9.93,11.56,13.87,12.24,12.47,8.72,10.84,11.98,9.78
1937,11.55,12.77,10.23,11.89,14.23,12.59,12.84,9.07,11.20,12.35,10.13
1938,11.56,12.78,10.31,11.93,14.19,12.58,12.80,9.12,11.21,12.31,10.14
1939,11.20,12.40,9.87,11.52,13.91,12.26,12.51,8.70,10.85,12.03,9.77
1940,11.77,13.00,10.49,12.15,14.38,12.79,13.01,9.33,11.44,12.51,10.38
1941,12.00,13.23,10.83,12.42,14.56,13.00,13.18,9.63,11.65,12.69,10.60
1942,11.58,12.79,10.34,11.96,14.20,12.59,12.82,9.16,11.24,12.34,10.18
1943,10.84,12.05,9.58,11.21,13.47,11.86,12.09,8.41,10.51,11.62,9.43
1944,11.65,12.87,10.43,12.04,14.27,12.66,12.88,9.24,11.30,12.40,10.24
1945,11.71,12.90,10.46,12.08,14.39,12.73,13.00,9.26,11.34,12.53,10.27
1946,11.87,13.10,10.67,12.28,14.47,12.88,13.10,9.47,11.51,12.60,10.47
1947,11.73,12.95,10.52,12.13,14.35,12.75,12.96,9.32,11.36,12.47,10.32
1948,11.50,12.70,10.27,11.88,14.12,12.52,12.74,9.09,11.15,12.25,10.09
1949,11.80,13.03,10.52,12.17,14.46,12.84,13.07,9.34,11.46,12.58,10.39
1950,11.69,12.90,10.42,12.06,14.32,12.70,12.94,9.26,11.35,12.45,10.28
1951,11.22,12.45,9.99,11.63,13.85,12.23,12.44,8.79,10.86,11.95,9.81
1952,11.82,13.05,10.59,12.22,14.43,12.82,13.04,9.41,11.47,12.55,10.42
