Variable:,tas
,Monaco,"Administrative unit not available"
1901,11.46,11.46
1902,11.78,11.78
1903,11.91,11.91
1904,12.56,12.56
1905,11.73,11.73
1906,11.96,11.96
1907,11.92,11.92
1908,11.70,11.70
1909,11.37,11.37
1910,11.83,11.83
1911,12.71,12.71
1912,11.73,11.73
1913,12.12,12.12
1914,11.79,11.79
1915,11.79,11.79
1916,12.12,12.12
1917,11.39,11.39
1918,12.02,12.02
1919,11.69,11.69
1920,12.78,12.78
1921,12.86,12.86
1922,11.69,11.69
1923,12.54,12.54
1924,12.04,12.04
1925,11.95,11.95
1926,12.64,12.64
1927,12.54,12.54
1928,12.77,12.77
1929,12.12,12.12
1930,12.64,12.64
1931,11.74,11.74
1932,11.90,11.90
1933,11.78,11.78
1934,12.63,12.63
1935,12.17,12.17
1936,12.34,12.34
1937,12.67,12.67
1938,12.16,12.16
1939,11.96,11.96
1940,11.32,11.32
1941,11.42,11.42
1942,12.29,12.29
1943,13.36,13.36
1944,12.21,12.21
1945,13.10,13.10
1946,12.55,12.55
1947,13.08,13.08
1948,12.75,12.75
1949,13.03,13.03
1950,12.86,12.86
1951,12.47,12.47
1952,12.50,12.50
1953,12.59,12.59
1954,11.95,11.95
1955,12.53,12.53
1956,11.55,11.55
1957,12.29,12.29
1958,12.56,12.56
1959,12.90,12.90
1960,12.25,12.25
1961,13.21,13.21
1962,12.11,12.11
1963,11.82,11.82
1964,12.65,12.65
1965,11.91,11.91
1966,12.45,12.45
1967,12.59,12.59
1968,12.15,12.15
1969,11.93,11.93
1970,12.30,12.30
1971,12.37,12.37
1972,12.09,12.09
1973,12.40,12.40
1974,12.35,12.35
1975,12.40,12.40
1976,12.32,12.32
1977,12.26,12.26
1978,11.82,11.82
1979,12.40,12.40
1980,11.85,11.85
1981,12.33,12.33
1982,13.01,13.01
1983,12.72,12.72
1984,11.87,11.87
1985,12.32,12.32
1986,12.75,12.75
1987,12.52,12.52
1988,13.06,13.06
1989,13.21,13.21
1990,13.22,13.22
1991,12.64,12.64
1992,12.98,12.98
1993,12.72,12.72
1994,13.72,13.72
1995,13.01,13.01
1996,12.72,12.72
1997,13.71,13.71
1998,13.14,13.14
1999,13.42,13.42
2000,13.67,13.67
2001,13.38,13.38
2002,13.56,13.56
2003,13.85,13.85
2004,13.31,13.31
2005,12.90,12.90
2006,13.77,13.77
2007,13.65,13.65
2008,13.35,13.35
2009,13.80,13.80
2010,12.81,12.81
2011,13.99,13.99
2012,13.60,13.60
2013,13.18,13.18
2014,14.27,14.27
2015,14.11,14.11
2016,13.85,13.85
2017,13.86,13.86
2018,14.52,14.52
2019,14.13,14.13
2020,14.21,14.21
2021,13.62,13.62
