Variable:,tas
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1901,-0.53,-3.77,-3.79,0.24,-2.06,-1.38,-0.18,3.71,1.40,-0.28,1.31,-2.55,-1.18,-6.80,5.03,-2.05,0.74,-1.74,0.41,-2.22,-2.99,-3.97,-5.29
1902,-0.46,-3.66,-3.66,0.27,-1.94,-1.26,-0.32,3.75,1.45,-0.20,1.38,-2.46,-1.03,-6.63,5.04,-1.93,0.76,-1.61,0.45,-2.13,-2.88,-3.87,-5.13
1903,-0.71,-3.97,-4.58,0.13,-2.20,-1.46,-0.26,3.65,1.27,-0.43,1.18,-2.69,-1.66,-7.01,4.99,-2.16,0.60,-1.82,0.35,-2.36,-3.12,-4.57,-5.60
1904,-0.78,-4.02,-3.20,0.09,-2.47,-1.98,-1.09,3.34,0.96,-0.90,1.31,-3.29,-0.89,-6.87,4.90,-2.53,0.40,-2.32,-0.32,-2.84,-3.64,-3.50,-5.21
1905,-0.61,-3.81,-4.33,0.18,-2.03,-1.33,-0.28,3.69,1.36,-0.31,1.25,-2.56,-1.48,-6.81,5.01,-2.01,0.68,-1.69,0.39,-2.23,-2.98,-4.37,-5.43
1906,-0.62,-3.84,-4.21,0.21,-2.12,-1.43,-0.41,3.75,1.43,-0.27,1.22,-2.62,-1.48,-6.91,5.06,-2.09,0.73,-1.79,0.32,-2.25,-3.02,-4.31,-5.46
1907,-0.65,-3.92,-4.43,0.17,-2.17,-1.42,-0.23,3.74,1.40,-0.28,1.19,-2.54,-1.58,-7.10,5.03,-2.14,0.71,-1.79,0.45,-2.23,-2.99,-4.54,-5.60
1908,-0.59,-3.86,-3.96,0.14,-2.07,-1.35,-0.37,3.65,1.32,-0.35,1.27,-2.58,-1.17,-6.81,4.96,-2.03,0.64,-1.70,0.30,-2.26,-3.00,-3.92,-5.36
1909,-0.97,-4.33,-4.35,-0.04,-2.66,-2.01,-0.98,3.48,1.04,-0.77,1.11,-3.13,-1.61,-7.46,4.93,-2.65,0.36,-2.37,-0.16,-2.77,-3.56,-4.65,-5.83
1910,-1.08,-4.50,-4.65,-0.13,-2.82,-2.10,-0.83,3.17,0.95,-0.82,1.06,-3.09,-1.76,-7.68,4.83,-2.79,0.24,-2.46,-0.09,-2.87,-3.64,-4.99,-6.00
1911,-0.36,-3.29,-3.88,0.43,-1.50,-0.83,-0.19,3.46,1.63,-0.03,1.40,-2.21,-1.16,-6.29,5.01,-1.47,1.07,-1.19,0.35,-1.75,-2.49,-3.86,-5.00
1912,-1.22,-4.59,-5.08,-0.12,-3.04,-2.43,-1.24,3.32,0.86,-1.07,1.02,-3.50,-1.93,-7.88,4.87,-3.05,0.23,-2.78,-0.37,-3.10,-3.91,-5.21,-6.08
1913,-0.46,-3.61,-3.73,0.29,-1.83,-1.15,-0.35,3.76,1.52,-0.17,1.33,-2.44,-1.17,-6.58,5.06,-1.80,0.84,-1.50,0.34,-2.04,-2.81,-3.80,-5.19
1914,-0.04,-3.01,-3.34,0.58,-1.18,-0.49,0.35,3.97,1.91,0.33,1.51,-1.85,-0.84,-5.95,5.17,-1.15,1.27,-0.85,0.88,-1.43,-2.16,-3.33,-4.70
1915,-0.87,-4.16,-3.55,0.04,-2.56,-1.99,-1.26,3.31,1.04,-0.79,1.27,-3.16,-1.03,-7.24,4.90,-2.57,0.40,-2.34,-0.38,-2.75,-3.54,-3.92,-5.46
1916,-0.99,-4.34,-4.58,0.01,-2.71,-2.01,-0.70,3.33,1.11,-0.68,1.07,-2.99,-1.76,-7.57,4.83,-2.71,0.39,-2.37,0.02,-2.74,-3.52,-4.87,-5.92
1917,-0.61,-3.76,-4.01,0.22,-1.96,-1.26,-0.48,3.52,1.46,-0.25,1.25,-2.55,-1.36,-6.84,4.95,-1.92,0.79,-1.61,0.21,-2.12,-2.88,-4.24,-5.43
1918,-0.32,-3.27,-4.05,0.37,-1.31,-0.56,0.10,3.58,1.69,0.12,1.33,-2.01,-1.32,-6.24,4.90,-1.25,1.07,-0.93,0.57,-1.55,-2.28,-3.99,-5.13
1919,-0.60,-3.83,-4.23,0.21,-2.11,-1.42,-0.28,3.67,1.42,-0.27,1.29,-2.53,-1.39,-6.89,5.01,-2.09,0.70,-1.77,0.43,-2.25,-3.01,-4.29,-5.38
1920,-0.46,-3.60,-4.00,0.32,-1.98,-1.37,-0.15,3.79,1.51,-0.19,1.37,-2.47,-1.18,-6.58,5.08,-2.02,0.81,-1.72,0.56,-2.20,-2.97,-3.99,-5.09
1921,-0.10,-2.97,-3.31,0.61,-1.22,-0.68,0.02,3.82,1.80,0.13,1.56,-2.15,-0.81,-5.84,5.10,-1.23,1.23,-1.03,0.63,-1.64,-2.41,-3.15,-4.57
1922,-0.83,-4.19,-3.83,0.05,-2.60,-2.10,-1.03,3.60,1.23,-0.64,1.22,-3.20,-1.32,-7.23,5.06,-2.63,0.44,-2.45,0.01,-2.83,-3.66,-4.06,-5.51
1923,-0.58,-3.83,-3.15,0.22,-2.23,-1.71,-0.78,3.61,1.32,-0.50,1.39,-2.91,-0.82,-6.77,5.07,-2.28,0.61,-2.06,0.07,-2.54,-3.35,-3.47,-5.11
1924,-0.34,-3.33,-3.58,0.36,-1.52,-0.92,-0.45,3.82,1.63,-0.07,1.40,-2.40,-1.03,-6.19,5.13,-1.51,0.94,-1.27,0.36,-1.91,-2.68,-3.59,-4.94
1925,-0.01,-3.04,-3.34,0.54,-1.14,-0.35,0.59,3.98,1.89,0.37,1.48,-1.70,-0.88,-5.95,5.14,-1.07,1.22,-0.72,1.03,-1.37,-2.08,-3.32,-4.73
1926,0.06,-2.83,-3.54,0.63,-0.89,-0.17,0.57,4.09,2.05,0.50,1.48,-1.61,-1.00,-5.75,5.22,-0.83,1.42,-0.53,1.05,-1.19,-1.92,-3.40,-4.69
1927,-0.40,-3.48,-4.09,0.34,-1.67,-1.03,-0.08,3.81,1.64,-0.02,1.31,-2.29,-1.38,-6.50,5.07,-1.65,0.94,-1.37,0.60,-1.91,-2.67,-4.00,-5.14
1928,-0.79,-3.87,-4.25,0.19,-2.24,-1.67,-0.86,3.33,1.12,-0.77,1.19,-3.08,-1.59,-6.86,4.96,-2.29,0.60,-2.03,-0.18,-2.57,-3.36,-4.14,-5.32
1929,-0.93,-4.26,-4.68,0.03,-2.57,-1.87,-0.54,3.38,1.07,-0.75,1.07,-2.99,-1.89,-7.48,4.91,-2.54,0.46,-2.23,0.09,-2.67,-3.45,-4.69,-5.76
1930,-0.73,-4.04,-4.41,0.10,-2.34,-1.62,-0.29,3.62,1.23,-0.51,1.13,-2.78,-1.75,-7.07,4.99,-2.31,0.51,-1.98,0.37,-2.51,-3.29,-4.27,-5.49
1931,-0.92,-4.30,-4.66,-0.07,-2.54,-1.77,-0.62,3.47,1.14,-0.64,1.07,-2.94,-1.85,-7.39,4.94,-2.48,0.37,-2.14,0.05,-2.63,-3.41,-4.67,-5.81
