Variable:,tas
,Namibia,Caprivi,Erongo,Hardap,Karas,Kavango,Khomas,Kunene,Ohangwena,Omaheke,Omusati,Oshana,Oshikoto,Otjozondjupa
1901,19.79,22.72,19.72,19.62,18.33,22.17,19.64,17.89,22.58,20.13,20.24,22.07,22.38,21.03
1902,19.74,22.94,19.71,19.52,18.18,22.18,19.60,17.89,22.59,20.08,20.25,22.08,22.38,21.03
1903,19.72,23.06,19.72,19.53,18.01,22.20,19.64,17.89,22.59,20.14,20.25,22.08,22.38,21.04
1904,19.70,22.23,19.72,19.52,18.14,22.01,19.61,17.89,22.59,20.01,20.25,22.08,22.38,20.97
1905,19.79,22.90,19.72,19.66,18.29,22.16,19.68,17.89,22.58,20.17,20.24,22.07,22.38,21.02
1906,19.67,22.29,19.71,19.49,18.08,21.99,19.59,17.88,22.57,19.98,20.23,22.06,22.37,20.96
1907,19.64,22.00,19.71,19.46,18.08,21.89,19.57,17.88,22.57,19.90,20.24,22.07,22.37,20.92
1908,19.76,22.73,19.72,19.61,18.20,22.12,19.66,17.90,22.59,20.12,20.25,22.08,22.38,21.02
1909,19.77,22.42,19.72,19.64,18.40,21.99,19.64,17.89,22.59,20.04,20.25,22.08,22.38,20.96
1910,19.74,22.09,19.72,19.60,18.36,21.93,19.62,17.89,22.59,19.99,20.25,22.08,22.38,20.94
1911,19.77,22.11,19.72,19.67,18.44,21.94,19.66,17.90,22.60,20.04,20.26,22.08,22.38,20.94
1912,19.85,22.82,19.72,19.76,18.50,22.14,19.72,17.90,22.60,20.20,20.25,22.08,22.39,21.03
1913,19.85,23.01,19.72,19.74,18.47,22.19,19.70,17.89,22.59,20.22,20.25,22.08,22.38,21.04
1914,19.87,23.23,19.72,19.79,18.50,22.20,19.73,17.88,22.58,20.26,20.24,22.07,22.37,21.05
1915,19.82,22.78,19.72,19.73,18.49,22.05,19.69,17.89,22.59,20.12,20.25,22.07,22.38,20.98
1916,19.83,22.90,19.72,19.72,18.45,22.12,19.70,17.89,22.59,20.16,20.25,22.08,22.38,21.02
1917,19.74,22.84,19.71,19.52,18.26,22.11,19.58,17.89,22.59,20.01,20.25,22.07,22.38,20.99
1918,19.64,21.79,19.71,19.64,18.42,21.40,19.64,17.88,22.38,19.79,20.24,22.02,22.14,20.63
1919,19.79,22.15,19.72,19.84,18.63,21.66,19.74,17.88,22.45,20.04,20.24,22.04,22.22,20.78
1920,19.84,22.76,19.72,19.77,18.55,22.04,19.73,17.90,22.59,20.15,20.25,22.08,22.37,20.98
1921,19.72,22.51,19.72,19.54,18.20,22.04,19.63,17.89,22.62,20.01,20.25,22.09,22.40,20.98
1922,19.99,23.44,19.72,19.89,18.58,22.58,19.81,17.90,22.73,20.48,20.25,22.12,22.55,21.27
1923,19.90,22.85,19.72,19.86,18.61,22.17,19.77,17.89,22.62,20.28,20.24,22.09,22.41,21.05
1924,19.76,22.57,19.72,19.62,18.32,22.00,19.67,17.90,22.59,20.04,20.27,22.08,22.37,20.95
1925,19.71,22.11,19.71,19.67,18.48,21.63,19.66,17.88,22.46,19.90,20.24,22.04,22.22,20.76
1926,19.79,22.48,19.72,19.78,18.48,21.84,19.73,17.89,22.51,20.09,20.25,22.06,22.29,20.87
1927,19.91,22.32,19.72,19.99,18.95,21.81,19.78,17.89,22.51,20.16,20.25,22.05,22.28,20.87
1928,19.97,23.11,19.73,19.90,18.62,22.40,19.81,17.91,22.71,20.44,20.26,22.13,22.49,21.18
1929,19.94,22.81,19.72,19.89,18.67,22.25,19.79,17.89,22.65,20.33,20.24,22.10,22.45,21.11
1930,19.83,22.33,19.72,19.82,18.66,21.88,19.73,17.89,22.56,20.10,20.25,22.07,22.33,20.90
1931,20.12,23.25,19.92,20.11,18.87,22.45,20.04,17.97,22.70,20.58,20.30,22.16,22.53,21.28
1932,20.05,22.66,19.82,20.17,19.06,22.08,19.94,17.92,22.60,20.39,20.26,22.10,22.40,21.06
1933,20.26,22.55,20.24,20.51,19.15,22.21,20.39,18.07,22.67,20.63,20.36,22.21,22.52,21.31
1934,19.88,22.98,19.45,19.78,18.78,22.27,19.57,17.82,22.65,20.28,20.21,22.04,22.40,20.99
1935,19.53,22.32,19.15,19.28,18.23,21.91,19.16,17.72,22.55,19.86,20.15,21.94,22.25,20.69
1936,19.76,22.23,19.59,19.73,18.55,21.81,19.61,17.85,22.53,20.04,20.23,22.04,22.30,20.83
1937,19.81,22.12,19.66,19.91,18.85,21.58,19.66,17.88,22.45,19.99,20.25,22.03,22.22,20.74
1938,19.74,22.72,19.37,19.64,18.50,22.06,19.46,17.78,22.57,20.13,20.18,21.99,22.32,20.85
1939,19.75,22.15,19.52,19.66,18.67,21.80,19.55,17.85,22.59,19.97,20.26,22.06,22.31,20.80
