Variable:,tas
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
1901,9.52,13.81,11.51,8.15,11.92,10.69,8.70,13.68,7.33,7.47,11.30,11.93,10.46,10.84,8.27
1902,9.00,13.29,11.02,7.61,11.46,10.20,8.17,13.18,6.81,6.97,10.76,11.40,9.94,10.38,7.73
1903,9.51,13.84,11.51,8.11,11.91,10.68,8.68,13.72,7.29,7.44,11.30,11.94,10.45,10.82,8.26
1904,9.35,13.51,11.26,8.03,11.64,10.44,8.50,13.34,7.28,7.44,11.06,11.66,10.22,10.63,8.12
1905,9.48,13.86,11.55,8.06,11.94,10.75,8.65,13.77,7.20,7.32,11.30,11.96,10.49,10.86,8.20
1906,9.29,13.61,11.34,7.90,11.72,10.52,8.46,13.49,7.06,7.18,11.08,11.73,10.27,10.67,8.02
1907,10.22,14.60,12.27,8.83,12.63,11.42,9.40,14.51,7.95,8.04,12.06,12.69,11.20,11.57,8.96
1908,9.91,14.24,11.90,8.54,12.27,11.06,9.07,14.15,7.70,7.82,11.72,12.33,10.85,11.22,8.67
1909,10.33,14.68,12.38,8.95,12.75,11.52,9.50,14.57,8.09,8.19,12.14,12.79,11.30,11.68,9.07
1910,10.41,14.73,12.40,9.05,12.77,11.57,9.59,14.62,8.21,8.31,12.22,12.83,11.37,11.76,9.16
1911,10.02,14.36,12.03,8.66,12.43,11.20,9.16,14.29,7.80,7.88,11.82,12.45,10.97,11.34,8.76
1912,9.32,13.69,11.40,7.95,11.80,10.58,8.48,13.59,7.05,7.11,11.14,11.80,10.33,10.71,8.04
1913,9.69,14.03,11.71,8.32,12.10,10.90,8.86,13.93,7.44,7.54,11.49,12.13,10.68,11.07,8.41
1914,9.73,14.02,11.69,8.40,12.09,10.90,8.92,13.90,7.52,7.62,11.50,12.10,10.68,11.11,8.48
1915,10.20,14.64,12.30,8.80,12.70,11.48,9.40,14.66,7.85,7.91,12.07,12.71,11.25,11.63,8.91
1916,10.86,15.23,12.91,9.46,13.27,12.09,10.03,15.15,8.60,8.70,12.69,13.34,11.88,12.24,9.58
1917,10.51,14.74,12.44,9.17,12.79,11.66,9.67,14.60,8.37,8.51,12.24,12.88,11.46,11.87,9.26
1918,9.66,13.97,11.64,8.28,12.00,10.82,8.82,13.90,7.47,7.59,11.42,12.08,10.61,11.03,8.40
1919,9.32,13.59,11.25,7.97,11.63,10.45,8.48,13.56,7.16,7.29,11.06,11.68,10.26,10.70,8.07
1920,9.69,14.10,11.74,8.29,12.11,10.90,8.87,14.09,7.42,7.51,11.52,12.15,10.70,11.09,8.43
1921,9.95,14.34,11.99,8.55,12.36,11.15,9.12,14.31,7.68,7.78,11.77,12.41,10.95,11.34,8.68
1922,9.95,14.28,11.95,8.57,12.32,11.12,9.11,14.23,7.75,7.87,11.72,12.38,10.91,11.30,8.68
1923,9.59,13.79,11.50,8.26,11.87,10.68,8.75,13.66,7.47,7.61,11.32,11.93,10.48,10.93,8.36
1924,10.60,14.65,12.36,9.35,12.72,11.57,9.75,14.48,8.65,8.83,12.24,12.80,11.39,11.83,9.42
1925,9.45,13.66,11.36,8.12,11.73,10.54,8.60,13.52,7.36,7.51,11.18,11.79,10.34,10.77,8.22
1926,9.57,13.73,11.44,8.26,11.81,10.62,8.72,13.58,7.50,7.67,11.26,11.87,10.42,10.86,8.34
1927,9.36,13.71,11.37,7.98,11.74,10.53,8.52,13.72,7.14,7.28,11.14,11.80,10.31,10.70,8.10
1928,10.40,14.61,12.31,9.07,12.67,11.48,9.55,14.48,8.30,8.46,12.13,12.75,11.28,11.68,9.18
1929,9.68,13.95,11.61,8.32,11.97,10.77,8.83,13.95,7.55,7.70,11.42,12.05,10.57,10.96,8.44
1930,9.06,13.32,10.97,7.70,11.33,10.15,8.21,13.31,6.92,7.09,10.80,11.42,9.94,10.37,7.81
1931,9.26,13.52,11.18,7.90,11.55,10.35,8.41,13.54,7.12,7.27,10.99,11.62,10.14,10.57,8.01
1932,9.42,13.67,11.31,8.06,11.69,10.49,8.58,13.68,7.30,7.46,11.17,11.76,10.29,10.71,8.19
1933,9.86,14.15,11.81,8.49,12.19,10.98,9.02,14.14,7.69,7.84,11.63,12.25,10.76,11.15,8.61
1934,9.96,14.10,11.77,8.66,12.15,10.97,9.11,14.01,7.94,8.11,11.65,12.22,10.77,11.20,8.76
1935,10.24,14.45,12.12,8.91,12.50,11.31,9.40,14.37,8.13,8.29,11.98,12.56,11.09,11.49,9.02
1936,9.71,13.89,11.55,8.40,11.93,10.75,8.87,13.83,7.65,7.81,11.44,12.00,10.57,10.99,8.50
1937,9.42,13.65,11.32,8.08,11.69,10.48,8.57,13.61,7.31,7.48,11.16,11.76,10.28,10.71,8.21
1938,10.63,14.93,12.63,9.24,13.00,11.78,9.81,14.86,8.42,8.55,12.44,13.06,11.57,11.94,9.38
1939,9.63,13.78,11.44,8.34,11.81,10.62,8.81,13.70,7.60,7.76,11.34,11.89,10.46,10.89,8.45
1940,9.60,13.71,11.42,8.33,11.78,10.60,8.76,13.56,7.57,7.74,11.29,11.86,10.41,10.85,8.41
1941,9.63,13.79,11.50,8.32,11.87,10.67,8.80,13.66,7.58,7.75,11.35,11.93,10.48,10.90,8.41
1942,9.98,14.23,11.92,8.63,12.29,11.08,9.16,14.13,7.84,7.99,11.74,12.35,10.87,11.28,8.72
1943,9.61,13.99,11.66,8.16,12.06,10.81,8.74,13.91,7.40,7.57,11.42,12.09,10.57,10.94,8.29
1944,9.75,14.04,11.74,8.36,12.13,10.90,8.86,13.94,7.59,7.75,11.54,12.17,10.68,11.06,8.46
1945,9.44,13.75,11.43,8.04,11.82,10.59,8.57,13.65,7.28,7.44,11.22,11.85,10.37,10.74,8.14
1946,9.76,14.21,11.89,8.26,12.25,11.02,8.91,14.13,7.47,7.63,11.63,12.30,10.78,11.11,8.41
1947,9.79,14.04,11.73,8.42,12.09,10.90,8.91,13.92,7.67,7.83,11.56,12.17,10.70,11.06,8.53
1948,10.18,14.57,12.23,8.77,12.59,11.38,9.33,14.47,7.94,8.08,12.01,12.66,11.16,11.49,8.88
1949,9.89,14.17,11.87,8.53,12.24,11.02,9.03,14.06,7.74,7.88,11.66,12.29,10.80,11.17,8.63
1950,10.04,14.52,12.16,8.58,12.52,11.26,9.16,14.46,7.75,7.88,11.91,12.59,11.04,11.34,8.72
1951,9.70,13.98,11.64,8.31,12.02,10.80,8.81,13.87,7.58,7.76,11.46,12.09,10.60,10.97,8.42
1952,9.96,14.21,11.92,8.59,12.31,11.08,9.12,14.09,7.81,7.95,11.72,12.34,10.88,11.27,8.72
1953,9.93,14.30,11.97,8.51,12.35,11.13,9.09,14.22,7.68,7.82,11.77,12.41,10.91,11.26,8.65
1954,10.34,14.55,12.25,9.00,12.62,11.44,9.51,14.43,8.22,8.35,12.09,12.68,11.23,11.63,9.12
1955,10.60,14.97,12.65,9.18,13.00,11.80,9.78,14.86,8.34,8.47,12.45,13.08,11.59,11.94,9.32
1956,10.83,15.10,12.79,9.48,13.15,11.98,10.01,14.97,8.64,8.76,12.62,13.23,11.77,12.14,9.59
1957,10.30,14.56,12.28,8.93,12.67,11.46,9.47,14.42,8.13,8.26,12.09,12.70,11.25,11.66,9.05
1958,10.32,14.70,12.39,8.91,12.77,11.55,9.46,14.60,8.06,8.18,12.17,12.81,11.32,11.66,9.02
1959,10.04,14.32,11.98,8.69,12.35,11.15,9.15,14.22,7.91,8.04,11.80,12.42,10.94,11.29,8.79
1960,10.17,14.41,12.07,8.84,12.44,11.23,9.31,14.29,8.08,8.25,11.90,12.50,11.03,11.43,8.94
1961,10.15,14.42,12.10,8.80,12.47,11.28,9.30,14.29,8.01,8.14,11.93,12.53,11.07,11.45,8.91
1962,10.77,15.07,12.76,9.40,13.15,11.93,9.93,14.95,8.58,8.71,12.58,13.20,11.72,12.11,9.52
1963,9.84,14.23,11.89,8.42,12.27,11.04,8.99,14.17,7.60,7.72,11.68,12.33,10.82,11.16,8.55
1964,10.00,14.28,11.97,8.64,12.36,11.13,9.14,14.18,7.83,7.97,11.77,12.40,10.91,11.29,8.74
1965,9.78,13.97,11.68,8.45,12.07,10.87,8.95,13.83,7.68,7.83,11.50,12.10,10.65,11.09,8.54
1966,10.00,14.21,11.88,8.69,12.24,11.06,9.16,14.09,7.93,8.08,11.73,12.32,10.86,11.26,8.78
1967,10.14,14.46,12.12,8.76,12.48,11.27,9.30,14.35,7.95,8.09,11.93,12.55,11.07,11.43,8.89
1968,10.11,14.39,12.10,8.73,12.50,11.27,9.30,14.27,7.93,8.07,11.90,12.53,11.06,11.47,8.84
1969,10.04,14.17,11.88,8.74,12.25,11.07,9.20,14.02,8.00,8.15,11.72,12.31,10.87,11.30,8.83
1970,10.73,15.05,12.76,9.34,13.12,11.91,9.93,14.93,8.50,8.61,12.56,13.19,11.71,12.06,9.48
1971,11.01,15.23,12.93,9.68,13.26,12.12,10.23,15.09,8.86,8.99,12.78,13.36,11.92,12.30,9.81
