Variable:,tas
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
1901,20.51,21.70,18.19,19.78,13.39,24.77,26.62,13.95,-0.68
1902,20.82,22.06,18.42,20.00,13.64,25.03,27.05,14.14,-0.51
1903,19.93,21.21,17.44,19.03,12.58,24.22,26.12,13.21,-1.55
1904,20.36,21.59,17.97,19.60,13.19,24.58,26.52,13.77,-0.81
1905,19.99,21.33,17.57,19.05,12.70,24.13,26.16,13.17,-1.45
1906,20.26,21.43,18.01,19.69,13.29,24.49,26.22,13.83,-0.62
1907,19.98,21.27,17.49,19.11,12.68,24.16,26.20,13.28,-1.30
1908,19.97,21.10,17.79,19.53,13.08,24.26,25.89,13.68,-0.86
1909,19.89,21.02,17.83,19.55,13.21,24.00,25.75,13.69,-0.61
1910,19.86,21.03,17.62,19.31,12.94,24.06,25.85,13.46,-0.95
1911,20.12,21.26,17.77,19.43,13.00,24.41,26.24,13.62,-0.77
1912,20.42,21.61,18.03,19.69,13.39,24.53,26.52,13.89,-0.34
1913,20.03,21.27,17.77,19.35,13.05,24.14,26.11,13.49,-1.04
1914,20.36,21.53,18.19,19.77,13.58,24.43,26.32,13.95,-0.28
1915,20.85,21.92,18.84,20.50,14.18,25.07,26.76,14.60,0.19
1916,20.25,21.34,18.01,19.73,13.30,24.52,26.26,13.93,-0.50
1917,19.83,21.00,17.84,19.48,13.29,23.79,25.65,13.61,-0.53
1918,20.04,21.22,17.61,19.43,12.93,24.28,26.20,13.52,-0.97
1919,19.92,21.21,17.40,19.01,12.63,24.06,26.14,13.14,-1.26
1920,19.88,21.27,17.07,18.75,12.24,24.04,26.33,12.88,-1.74
1921,20.68,21.90,18.06,19.80,13.25,25.01,26.98,13.91,-0.73
1922,20.45,21.59,18.13,19.81,13.52,24.64,26.47,13.98,-0.28
1923,19.99,21.19,17.45,19.18,12.76,24.23,26.18,13.37,-1.04
1924,20.16,21.39,17.61,19.32,12.92,24.31,26.41,13.49,-0.87
1925,20.27,21.53,17.84,19.46,13.12,24.34,26.48,13.55,-0.75
1926,20.08,21.34,17.66,19.28,13.00,24.08,26.25,13.46,-0.79
1927,19.93,21.14,17.65,19.26,13.00,24.03,25.87,13.44,-0.76
1928,20.32,21.54,17.77,19.47,12.95,24.69,26.46,13.63,-0.99
1929,20.10,21.33,17.60,19.24,12.76,24.40,26.35,13.44,-1.30
1930,19.94,21.20,17.44,19.02,12.65,24.13,26.19,13.24,-1.31
1931,20.32,21.39,18.02,19.80,13.27,24.67,26.53,13.97,-0.75
1932,20.50,21.57,18.27,20.01,13.49,24.87,26.65,14.15,-0.57
1933,20.13,21.29,17.88,19.52,13.18,24.26,26.28,13.67,-0.80
1934,20.30,21.52,17.89,19.66,13.08,24.63,26.44,13.79,-1.04
1935,19.78,20.91,17.43,19.08,12.68,24.07,26.01,13.26,-1.38
1936,20.29,21.44,18.05,19.74,13.35,24.53,26.36,13.93,-0.70
1937,19.94,21.07,17.57,19.34,12.83,24.25,26.08,13.51,-1.13
1938,20.35,21.53,17.94,19.58,13.16,24.68,26.44,13.76,-0.73
1939,20.37,21.57,17.94,19.56,13.21,24.60,26.50,13.76,-0.68
1940,20.62,21.84,18.29,19.91,13.61,24.74,26.67,14.09,-0.25
1941,21.39,22.55,19.17,20.78,14.43,25.72,27.24,14.96,0.50
1942,20.60,21.78,18.33,20.01,13.61,24.84,26.57,14.19,-0.32
1943,20.45,21.54,18.18,19.95,13.40,24.84,26.50,14.12,-0.53
1944,20.26,21.44,17.98,19.64,13.34,24.43,26.29,13.81,-0.59
1945,19.97,21.16,17.71,19.40,12.98,24.20,25.97,13.57,-1.03
1946,20.89,21.90,18.86,20.60,14.13,25.37,26.65,14.78,0.12
1947,21.07,22.27,18.88,20.49,14.09,25.40,26.91,14.62,0.05
1948,20.52,21.82,18.09,19.62,13.17,24.75,26.73,13.71,-0.90
1949,20.30,21.41,17.90,19.78,13.05,24.71,26.52,13.89,-0.87
1950,19.37,20.44,16.98,18.80,12.34,23.64,25.59,13.01,-1.44
1951,20.36,21.51,18.03,19.73,13.22,24.71,26.51,13.88,-0.82
1952,20.43,21.49,18.17,19.99,13.40,24.87,26.50,14.07,-0.64
1953,20.99,22.14,18.73,20.49,13.89,25.40,26.97,14.61,-0.20
1954,20.36,21.53,17.93,19.73,13.08,24.76,26.56,13.80,-1.05
1955,20.34,21.43,18.09,19.78,13.40,24.63,26.42,13.90,-0.53
1956,20.21,21.22,18.08,19.93,13.49,24.55,26.04,14.12,-0.23
1957,19.57,20.79,17.00,18.74,12.21,23.78,25.88,12.95,-1.54
1958,21.00,22.24,18.62,20.40,13.75,25.33,27.11,14.40,-0.33
1959,20.55,21.88,18.12,19.78,13.33,24.72,26.60,13.91,-0.66
1960,20.29,21.39,18.07,19.86,13.25,24.68,26.28,13.95,-0.71
1961,20.19,21.44,17.91,19.58,13.24,24.32,26.10,13.74,-0.64
1962,20.18,21.31,17.84,19.59,13.13,24.46,26.27,13.74,-0.76
1963,20.86,22.16,18.41,19.95,13.67,24.98,26.98,14.10,-0.25
1964,19.84,21.00,17.41,19.12,12.60,24.10,26.03,13.30,-1.12
1965,20.18,21.51,17.53,19.14,12.76,24.24,26.45,13.30,-0.90
1966,20.25,21.50,17.76,19.52,13.12,24.34,26.42,13.65,-0.68
1967,20.08,21.50,17.43,19.22,12.76,24.08,26.20,13.42,-1.08
1968,19.94,21.20,17.23,19.00,12.64,24.03,26.23,13.20,-0.94
1969,20.74,22.00,18.18,19.92,13.30,24.97,27.03,14.04,-0.58
1970,20.82,22.04,18.57,20.29,13.98,24.97,26.68,14.51,0.05
1971,20.57,21.72,18.36,20.02,13.86,24.68,26.41,14.31,0.11
1972,19.75,20.70,17.18,19.16,12.63,24.14,26.08,13.43,-0.94
1973,20.45,21.59,18.04,19.84,13.49,24.62,26.43,14.08,-0.07
1974,20.11,21.24,17.59,19.46,12.96,24.36,26.43,13.59,-0.92
1975,19.85,21.14,17.25,18.94,12.56,23.94,26.08,13.12,-1.21
1976,20.11,21.38,17.56,19.25,12.92,24.15,26.36,13.46,-0.88
1977,20.94,22.34,18.37,19.99,13.69,24.88,27.10,14.15,-0.14
1978,20.49,21.76,18.07,19.79,13.45,24.56,26.52,13.98,-0.37
1979,20.31,21.40,17.88,19.71,13.41,24.44,26.46,13.92,-0.28
1980,20.78,22.16,18.06,19.78,13.52,24.76,26.91,14.05,-0.13
1981,20.62,22.02,18.00,19.57,13.38,24.59,26.78,13.81,-0.47
1982,19.94,21.25,17.24,19.01,12.65,23.89,26.30,13.20,-0.93
1983,20.04,21.56,17.38,18.94,12.81,23.77,26.20,13.15,-0.92
1984,20.31,21.57,18.02,19.65,13.37,24.40,26.29,13.84,-0.58
1985,20.65,21.78,18.45,20.08,13.83,24.79,26.69,14.25,-0.05
1986,20.01,21.27,17.50,19.02,12.90,23.94,26.33,13.26,-0.82
1987,20.82,22.07,18.51,20.01,13.71,24.86,27.14,14.08,-0.41
1988,21.24,22.58,18.95,20.31,14.12,25.22,27.44,14.46,0.01
1989,20.06,21.37,17.52,19.16,12.85,23.99,26.41,13.30,-1.01
1990,20.80,22.12,18.54,20.05,13.82,24.79,26.76,14.22,-0.03
1991,20.35,21.73,17.73,19.24,12.93,24.41,26.60,13.41,-0.93
1992,20.12,21.42,17.46,19.12,12.77,24.17,26.44,13.31,-0.96
1993,20.82,22.18,18.15,19.76,13.37,24.84,27.28,13.91,-0.50
1994,20.55,21.92,17.86,19.50,13.19,24.58,26.79,13.70,-0.50
1995,20.35,21.71,17.56,19.20,12.87,24.37,26.83,13.36,-0.99
1996,20.26,21.55,17.64,19.25,12.90,24.33,26.63,13.42,-0.93
1997,19.82,21.32,16.87,18.55,12.35,23.54,26.14,12.83,-0.93
1998,20.89,22.38,17.96,19.55,13.31,24.73,27.29,13.80,-0.29
1999,21.32,22.57,18.89,20.54,14.25,25.43,27.31,14.77,0.51
2000,21.07,22.32,18.54,20.20,13.89,25.19,27.22,14.39,0.14
2001,21.20,22.65,18.58,20.19,13.93,25.11,27.26,14.41,0.29
2002,21.24,22.60,18.52,20.18,13.88,25.28,27.47,14.39,0.19
2003,20.77,22.32,17.96,19.52,13.30,24.47,27.10,13.75,-0.29
2004,21.45,22.92,18.73,20.23,14.02,25.28,27.71,14.44,0.43
2005,20.59,22.10,17.77,19.36,13.20,24.33,26.80,13.61,-0.27
2006,21.28,22.83,18.51,20.09,13.86,25.04,27.40,14.29,0.34
2007,21.25,22.66,18.48,20.04,13.87,25.06,27.51,14.34,0.59
2008,21.14,22.68,18.63,20.09,13.89,24.90,27.21,14.30,0.18
2009,21.55,23.12,18.62,20.18,13.87,25.29,27.97,14.42,0.40
2010,21.62,23.19,18.70,20.27,13.99,25.46,27.95,14.51,0.33
2011,21.31,22.91,18.49,20.09,13.79,25.07,27.47,14.31,0.20
