Variable:,tas
,"Pitcairn Islands","Administrative unit not available"
1901,NaN,20.83
1902,NaN,20.83
1903,NaN,20.83
1904,NaN,20.83
1905,NaN,20.83
1906,NaN,20.83
1907,NaN,20.83
1908,NaN,20.83
1909,NaN,20.83
1910,NaN,20.83
1911,NaN,20.83
1912,NaN,20.83
1913,NaN,20.83
1914,NaN,20.83
1915,NaN,20.83
1916,NaN,20.83
1917,NaN,20.83
1918,NaN,20.83
1919,NaN,20.83
1920,NaN,20.83
1921,NaN,20.83
1922,NaN,20.83
1923,NaN,20.83
1924,NaN,20.83
1925,NaN,20.83
1926,NaN,20.83
1927,NaN,20.83
1928,NaN,20.83
1929,NaN,20.83
1930,NaN,20.83
1931,NaN,20.83
1932,NaN,20.83
1933,NaN,20.83
1934,NaN,20.83
1935,NaN,20.83
1936,NaN,20.83
1937,NaN,20.83
1938,NaN,20.83
1939,NaN,20.83
1940,NaN,22.07
1941,NaN,22.07
1942,NaN,22.11
1943,NaN,22.48
1944,NaN,21.26
1945,NaN,20.55
1946,NaN,20.83
1947,NaN,21.04
1948,NaN,20.81
1949,NaN,20.83
1950,NaN,20.83
1951,NaN,20.83
1952,NaN,20.83
1953,NaN,20.83
1954,NaN,20.83
1955,NaN,20.90
1956,NaN,21.58
1957,NaN,21.19
1958,NaN,20.55
1959,NaN,20.76
1960,NaN,20.75
1961,NaN,21.04
1962,NaN,20.64
1963,NaN,20.77
1964,NaN,20.97
1965,NaN,20.71
1966,NaN,20.51
1967,NaN,21.07
1968,NaN,20.40
1969,NaN,20.70
1970,NaN,21.03
1971,NaN,21.04
1972,NaN,20.81
1973,NaN,20.83
1974,NaN,20.99
1975,NaN,21.11
1976,NaN,20.79
1977,NaN,20.63
1978,NaN,21.02
1979,NaN,20.66
1980,NaN,20.99
1981,NaN,20.75
1982,NaN,20.50
1983,NaN,20.32
1984,NaN,20.91
1985,NaN,21.18
1986,NaN,20.79
1987,NaN,20.40
1988,NaN,20.85
1989,NaN,21.01
1990,NaN,20.90
1991,NaN,20.43
1992,NaN,20.49
1993,NaN,20.21
1994,NaN,20.60
1995,NaN,20.63
1996,NaN,20.55
1997,NaN,20.48
1998,NaN,20.48
1999,NaN,21.33
2000,NaN,21.11
2001,NaN,20.64
2002,NaN,20.88
2003,NaN,20.56
2004,NaN,20.20
2005,NaN,20.32
2006,NaN,20.87
2007,NaN,20.60
2008,NaN,20.56
2009,NaN,20.51
2010,NaN,20.57
2011,NaN,20.59
2012,NaN,20.41
2013,NaN,20.19
2014,NaN,20.44
2015,NaN,20.42
2016,NaN,20.53
2017,NaN,20.86
2018,NaN,20.77
2019,NaN,20.06
2020,NaN,20.57
2021,NaN,20.91
