Variable:,tas
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1901,5.92,4.18,10.28,8.36,4.26,9.13,7.71,9.17,4.97,9.87,7.53,0.94
1902,6.11,4.34,10.69,8.70,4.09,9.49,7.97,9.49,5.18,10.33,7.82,0.98
1903,6.20,4.42,10.68,8.73,4.43,9.48,7.97,9.49,5.27,10.26,7.83,1.16
1904,5.97,4.20,10.49,8.52,4.09,9.29,7.79,9.29,5.05,10.07,7.64,0.90
1905,6.07,4.27,10.40,8.62,4.39,9.29,7.80,9.35,5.20,10.01,7.72,1.05
1906,5.46,3.63,9.89,8.03,3.73,8.74,7.18,8.77,4.57,9.50,7.11,0.40
1907,5.76,3.96,10.16,8.29,4.04,9.04,7.50,9.08,4.85,9.79,7.42,0.69
1908,5.43,3.60,9.86,8.01,3.73,8.72,7.13,8.73,4.55,9.45,7.07,0.37
1909,5.26,3.40,9.92,7.92,3.46,8.62,6.96,8.54,4.36,9.50,6.89,0.13
1910,4.96,3.10,9.64,7.63,3.12,8.33,6.67,8.26,4.05,9.20,6.60,-0.19
1911,5.31,3.47,9.91,7.94,3.59,8.60,6.95,8.52,4.43,9.43,6.90,0.24
1912,5.04,3.18,9.68,7.71,3.23,8.38,6.73,8.32,4.14,9.24,6.67,-0.09
1913,4.96,3.17,9.48,7.51,3.27,8.21,6.62,8.15,4.08,9.07,6.54,-0.06
1914,6.35,4.52,10.97,8.97,4.59,9.71,8.05,9.66,5.43,10.53,7.97,1.22
1915,5.00,3.06,9.99,7.87,2.95,8.63,6.76,8.46,4.05,9.50,6.70,-0.36
1916,5.48,3.66,10.14,8.12,3.76,8.85,7.12,8.75,4.57,9.65,7.03,0.36
1917,4.89,3.13,9.37,7.46,3.25,8.14,6.54,8.12,4.02,8.85,6.45,-0.16
1918,5.38,3.60,9.89,7.92,3.69,8.66,7.07,8.63,4.48,9.46,6.96,0.31
1919,5.69,3.86,10.26,8.27,3.99,9.01,7.33,8.97,4.78,9.85,7.27,0.62
1920,6.13,4.32,10.65,8.69,4.44,9.45,7.80,9.43,5.23,10.24,7.73,1.07
1921,5.66,3.86,10.04,8.16,4.12,8.87,7.31,8.89,4.75,9.62,7.21,0.72
1922,5.52,3.64,10.27,8.27,3.62,9.01,7.26,8.97,4.58,9.83,7.24,0.28
