Variable:,tas
,Sudan,"Al Jazeera","Blue Nile",Khartoum,Northern,"Northern Darfur",Nile,Sennar,"Southern Darfur","Western Darfur","White Nile","Southern Kordofan","Red Sea",Kassala,"Northern Kordofan",Gadaref
1901,27.74,29.88,28.21,29.95,27.11,26.03,29.37,29.34,27.17,25.85,29.64,28.81,27.52,29.44,28.56,29.64
1902,27.02,28.88,27.40,28.92,26.36,25.55,28.40,28.40,26.93,25.78,28.65,28.03,26.75,28.48,27.60,28.69
1903,26.62,28.45,27.20,28.39,25.89,25.26,27.83,28.11,26.79,25.74,28.24,27.66,26.27,28.12,27.05,28.39
1904,26.90,28.81,27.37,28.79,26.10,25.50,28.16,28.36,26.93,25.77,28.60,28.02,26.47,28.38,27.55,28.64
1905,26.87,28.62,27.15,28.71,26.22,25.46,28.23,28.13,26.89,25.77,28.40,27.85,26.59,28.25,27.42,28.42
1906,27.32,29.10,27.53,29.30,26.86,25.70,28.94,28.55,26.98,25.79,28.84,28.18,27.28,28.76,27.85,28.86
1907,26.92,28.65,27.18,28.77,26.32,25.47,28.33,28.16,26.88,25.76,28.42,27.85,26.70,28.30,27.42,28.46
1908,26.94,28.68,27.29,28.80,26.41,25.43,28.43,28.23,26.85,25.75,28.43,27.82,26.83,28.39,27.34,28.54
1909,27.35,28.92,27.24,29.32,27.05,25.72,29.10,28.28,26.98,25.79,28.67,28.09,27.47,28.61,27.85,28.62
1910,26.67,28.47,27.18,28.53,26.18,25.12,28.20,28.11,26.35,25.37,28.18,27.48,26.67,28.26,27.01,28.45
1911,26.85,28.71,27.39,28.75,26.30,25.29,28.36,28.34,26.53,25.49,28.44,27.74,26.79,28.47,27.27,28.67
1912,26.64,28.35,26.88,28.48,26.11,25.16,28.12,27.87,26.40,25.39,28.12,27.47,26.58,28.08,27.10,28.18
1913,26.35,28.05,26.62,28.14,25.77,24.97,27.71,27.59,26.21,25.27,27.83,27.19,26.19,27.74,26.81,27.90
1914,27.18,28.97,27.44,29.11,26.62,25.64,28.68,28.45,26.99,25.81,28.73,28.13,27.05,28.63,27.74,28.77
1915,27.47,29.16,27.54,29.46,27.17,25.73,29.32,28.59,26.93,25.73,28.88,28.20,27.75,28.97,27.89,28.95
1916,26.59,27.98,26.46,28.40,26.48,24.95,28.46,27.42,26.06,25.18,27.67,27.01,27.07,27.93,26.72,27.80
1917,26.52,27.97,26.48,28.30,26.28,24.95,28.27,27.43,26.09,25.19,27.68,27.03,26.87,27.89,26.72,27.81
1918,26.91,28.39,26.85,28.61,26.44,25.54,28.29,27.86,26.84,25.86,28.22,27.76,26.81,28.06,27.41,28.13
1919,27.68,29.37,27.75,29.55,27.07,26.23,29.15,28.80,27.64,26.56,29.15,28.64,27.47,28.97,28.26,29.08
1920,26.13,27.69,26.27,27.93,25.80,24.54,27.74,27.19,25.75,24.59,27.45,26.90,26.30,27.50,26.50,27.52
1921,26.79,28.38,26.86,28.61,26.37,25.26,28.35,27.84,26.57,25.45,28.14,27.60,26.81,28.11,27.23,28.15
1922,26.66,28.39,26.90,28.63,26.36,24.92,28.48,27.85,26.19,24.92,28.06,27.38,26.94,28.20,26.99,28.22
1923,26.79,28.38,26.87,28.62,26.38,25.25,28.34,27.84,26.62,25.45,28.14,27.63,26.77,28.07,27.24,28.14
1924,27.31,29.02,27.46,29.17,26.70,25.86,28.73,28.48,27.26,26.16,28.79,28.29,27.06,28.62,27.88,28.77
1925,27.08,28.66,27.10,28.87,26.57,25.63,28.53,28.10,27.00,25.92,28.46,27.97,26.94,28.30,27.60,28.38
1926,27.17,28.84,27.29,28.97,26.53,25.81,28.48,28.31,27.22,26.16,28.65,28.18,26.83,28.41,27.78,28.57
1927,27.53,29.27,27.66,29.43,26.94,26.04,29.00,28.71,27.44,26.27,29.05,28.53,27.34,28.87,28.14,29.00
1928,27.98,29.84,28.20,29.97,27.33,26.44,29.54,29.30,27.79,26.66,29.60,28.96,27.83,29.47,28.60,29.61
1929,26.94,28.64,27.11,28.86,26.53,25.31,28.60,28.11,26.57,25.36,28.38,27.76,27.05,28.39,27.40,28.44
1930,26.90,28.43,26.87,28.71,26.55,25.32,28.56,27.86,26.56,25.47,28.19,27.63,27.08,28.21,27.30,28.19
1931,27.50,29.15,27.54,29.36,26.97,25.99,29.05,28.59,27.28,26.21,28.95,28.38,27.47,28.84,28.04,28.90
1932,27.22,28.73,27.15,28.99,26.74,25.78,28.71,28.16,27.14,26.11,28.53,28.08,27.14,28.40,27.71,28.45
1933,27.84,29.60,27.97,29.73,27.14,26.43,29.20,29.04,27.89,26.77,29.40,28.91,27.46,29.13,28.52,29.30
