Variable:,tas
,Senegal,Kaolack,Kedougou,Kolda,Sedhiou,Tambacounda,Kaffrine,Dakar,Thies,Ziguinchor,Diourbel,Fatick,Louga,Matam,"Saint louis"
1901,28.27,28.08,28.47,28.15,27.57,28.97,28.60,25.51,26.44,26.91,27.82,27.63,27.76,29.14,27.62
1902,28.64,28.38,28.81,28.41,27.80,29.32,28.94,25.89,26.83,27.10,28.21,27.94,28.19,29.55,28.11
1903,28.37,28.20,28.51,28.19,27.65,29.02,28.70,25.80,26.70,27.00,28.01,27.78,27.92,29.22,27.77
1904,28.14,27.92,28.30,27.94,27.36,28.82,28.45,25.47,26.39,26.68,27.74,27.49,27.69,29.02,27.57
1905,28.31,28.13,28.47,28.14,27.58,28.98,28.64,25.68,26.59,26.92,27.93,27.69,27.85,29.17,27.70
1906,28.41,28.24,28.52,28.22,27.68,29.06,28.74,25.85,26.74,27.04,28.06,27.82,27.98,29.27,27.82
1907,27.67,27.45,27.95,27.54,26.94,28.38,27.98,24.89,25.83,26.26,27.20,27.00,27.14,28.52,26.99
1908,28.56,28.31,28.68,28.31,27.71,29.22,28.85,25.87,26.80,27.03,28.15,27.88,28.14,29.46,28.05
1909,28.27,28.05,28.44,28.06,27.49,28.94,28.57,25.60,26.52,26.80,27.86,27.62,27.80,29.14,27.71
1910,28.47,28.23,28.65,28.28,27.70,29.16,28.78,25.78,26.68,27.05,28.03,27.79,28.00,29.35,27.91
1911,28.25,28.02,28.38,28.04,27.47,28.91,28.56,25.62,26.51,26.81,27.87,27.60,27.81,29.14,27.70
1912,28.55,28.26,28.77,28.36,27.74,29.26,28.84,25.75,26.69,27.06,28.07,27.80,28.06,29.45,27.98
1913,28.50,28.28,28.58,28.30,27.72,29.15,28.82,25.86,26.75,27.06,28.10,27.84,28.07,29.41,27.99
1914,28.21,27.94,28.38,28.01,27.40,28.90,28.50,25.50,26.41,26.74,27.76,27.51,27.74,29.11,27.65
1915,28.65,28.43,28.74,28.49,27.92,29.30,28.97,25.99,26.88,27.26,28.25,28.00,28.20,29.54,28.10
1916,28.15,27.93,28.29,28.01,27.42,28.83,28.48,25.44,26.35,26.75,27.72,27.48,27.67,29.04,27.56
1917,28.03,27.83,28.21,27.90,27.32,28.72,28.36,25.30,26.22,26.65,27.60,27.38,27.54,28.89,27.42
1918,28.33,28.13,28.37,28.13,27.57,28.96,28.65,25.71,26.62,26.91,27.96,27.71,27.91,29.21,27.82
1919,28.73,28.52,28.68,28.43,27.89,29.30,29.04,26.25,27.13,27.24,28.43,28.12,28.40,29.64,28.34
1920,28.01,27.80,28.18,27.85,27.29,28.69,28.31,25.32,26.23,26.62,27.58,27.36,27.51,28.88,27.43
1921,28.03,27.77,28.17,27.83,27.25,28.70,28.31,25.35,26.26,26.58,27.59,27.33,27.56,28.92,27.49
1922,27.71,27.42,27.96,27.57,26.97,28.44,27.99,24.88,25.82,26.28,27.21,26.95,27.18,28.59,27.06
1923,28.29,28.02,28.37,28.07,27.48,28.95,28.60,25.61,26.52,26.78,27.88,27.59,27.88,29.21,27.81
1924,27.98,27.74,28.07,27.73,27.14,28.62,28.28,25.36,26.26,26.50,27.59,27.32,27.59,28.90,27.51
1925,28.09,27.87,28.20,27.90,27.33,28.75,28.40,25.51,26.39,26.67,27.71,27.45,27.65,28.97,27.53
1926,28.51,28.34,28.42,28.20,27.65,29.05,28.86,26.03,26.92,27.05,28.24,27.94,28.22,29.41,28.13
1927,28.09,27.96,27.92,27.76,27.23,28.59,28.47,25.67,26.56,26.66,27.86,27.58,27.86,28.99,27.77
1928,27.80,27.61,27.73,27.54,26.99,28.37,28.15,25.30,26.19,26.37,27.49,27.21,27.48,28.69,27.38
1929,27.69,27.49,27.67,27.44,26.88,28.28,28.03,25.19,26.05,26.26,27.36,27.08,27.33,28.59,27.22
1930,27.63,27.38,27.71,27.40,26.82,28.29,27.94,24.97,25.88,26.15,27.22,26.95,27.21,28.55,27.13
1931,28.28,28.04,28.37,28.04,27.46,28.93,28.60,25.61,26.52,26.77,27.88,27.60,27.85,29.19,27.75
1932,28.17,27.96,28.20,27.94,27.39,28.78,28.50,25.58,26.48,26.76,27.82,27.55,27.78,29.06,27.70
1933,28.23,28.03,28.35,28.04,27.47,28.88,28.55,25.62,26.52,26.83,27.85,27.60,27.80,29.09,27.67
1934,28.13,27.78,28.25,27.84,27.23,28.78,28.37,25.39,26.30,26.55,27.67,27.34,27.71,29.12,27.70
1935,28.17,27.80,28.24,27.85,27.24,28.82,28.40,25.43,26.37,26.53,27.76,27.38,27.80,29.19,27.77
1936,28.37,28.11,28.38,28.07,27.51,28.98,28.65,25.77,26.69,26.85,28.03,27.72,28.02,29.32,27.95
1937,28.51,28.29,28.59,28.24,27.67,29.16,28.78,25.94,26.84,27.04,28.15,27.89,28.11,29.42,28.01
1938,28.48,28.22,28.60,28.23,27.64,29.15,28.77,25.80,26.73,26.98,28.08,27.81,28.05,29.40,27.97
1939,28.28,27.98,28.45,28.05,27.43,28.98,28.55,25.52,26.45,26.73,27.82,27.55,27.81,29.20,27.74
1940,28.21,27.97,28.38,28.03,27.43,28.90,28.51,25.49,26.41,26.75,27.77,27.53,27.74,29.10,27.66
1941,28.49,28.21,28.78,28.29,27.67,29.22,28.75,25.78,26.70,26.97,28.05,27.76,28.00,29.34,27.87
1942,28.16,27.89,28.48,28.00,27.38,28.90,28.44,25.37,26.32,26.67,27.67,27.44,27.64,29.01,27.52
1943,28.08,27.87,28.18,27.85,27.28,28.72,28.39,25.48,26.40,26.62,27.73,27.46,27.69,28.94,27.59
1944,28.56,28.35,28.70,28.35,27.77,29.23,28.87,25.94,26.85,27.11,28.18,27.92,28.13,29.42,28.01
1945,28.84,28.66,28.86,28.58,28.03,29.47,29.16,26.32,27.23,27.38,28.54,28.25,28.47,29.71,28.35
1946,28.30,28.06,28.47,28.06,27.46,28.99,28.59,25.66,26.58,26.81,27.91,27.63,27.88,29.18,27.75
1947,28.40,28.12,28.59,28.11,27.52,29.10,28.68,25.69,26.62,26.83,27.97,27.70,27.98,29.33,27.88
1948,28.22,27.99,28.28,27.92,27.35,28.87,28.52,25.64,26.53,26.70,27.87,27.59,27.84,29.14,27.73
1949,28.32,28.08,28.42,28.03,27.45,28.98,28.63,25.66,26.59,26.77,27.95,27.66,27.93,29.25,27.83
1950,28.11,27.98,28.03,27.79,27.31,28.62,28.45,25.65,26.57,26.68,27.88,27.60,27.85,29.00,27.74
1951,27.86,27.66,28.19,27.75,27.17,28.53,28.14,25.18,26.08,26.49,27.42,27.18,27.32,28.68,27.25
1952,27.59,27.60,27.85,27.51,27.05,28.17,27.96,25.24,26.10,26.41,27.37,27.16,27.11,28.26,26.92
1953,27.85,27.74,28.27,27.78,27.24,28.55,28.12,25.31,26.17,26.57,27.49,27.28,27.25,28.58,27.13
1954,27.84,27.78,27.97,27.65,27.18,28.42,28.16,25.41,26.29,26.53,27.61,27.38,27.44,28.58,27.33
1955,27.98,27.94,28.05,27.82,27.40,28.55,28.33,25.54,26.41,26.73,27.72,27.50,27.56,28.72,27.47
