Variable:,tas
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
1901,26.68,26.68,26.68,26.68,26.68,26.69,26.68,26.68,26.68,26.68
1902,26.62,26.62,26.62,26.62,26.62,26.63,26.62,26.62,26.62,26.62
1903,26.63,26.63,26.63,26.63,26.63,26.64,26.63,26.63,26.63,26.63
1904,26.65,26.65,26.65,26.65,26.65,26.66,26.65,26.65,26.65,26.65
1905,26.68,26.68,26.68,26.68,26.68,26.69,26.68,26.68,26.68,26.68
1906,26.67,26.67,26.67,26.67,26.67,26.68,26.67,26.67,26.67,26.67
1907,26.61,26.61,26.61,26.61,26.61,26.62,26.61,26.61,26.61,26.61
1908,26.68,26.68,26.68,26.68,26.68,26.69,26.68,26.68,26.68,26.68
1909,26.64,26.64,26.64,26.64,26.64,26.65,26.64,26.64,26.64,26.64
1910,26.62,26.62,26.62,26.62,26.62,26.63,26.62,26.62,26.62,26.62
1911,27.28,27.28,27.28,27.28,27.28,27.29,27.28,27.28,27.28,27.28
1912,27.39,27.39,27.39,27.39,27.39,27.40,27.39,27.39,27.39,27.39
1913,27.32,27.32,27.32,27.32,27.32,27.33,27.32,27.32,27.32,27.32
1914,27.61,27.61,27.61,27.61,27.61,27.62,27.61,27.61,27.61,27.61
1915,27.51,27.51,27.51,27.51,27.51,27.52,27.51,27.51,27.51,27.51
1916,27.14,27.14,27.14,27.14,27.14,27.15,27.14,27.14,27.14,27.14
1917,26.88,26.88,26.88,26.88,26.88,26.89,26.88,26.88,26.88,26.88
1918,26.67,26.67,26.67,26.67,26.67,26.68,26.67,26.67,26.67,26.67
1919,27.46,27.46,27.46,27.46,27.46,27.47,27.46,27.46,27.46,27.46
1920,27.36,27.36,27.36,27.36,27.36,27.37,27.36,27.36,27.36,27.36
1921,27.04,27.04,27.04,27.04,27.04,27.05,27.04,27.04,27.04,27.04
1922,27.11,27.11,27.11,27.11,27.11,27.12,27.11,27.11,27.11,27.11
1923,27.05,27.05,27.05,27.05,27.05,27.06,27.05,27.05,27.05,27.05
1924,27.01,27.01,27.01,27.01,27.01,27.02,27.01,27.01,27.01,27.01
1925,27.00,27.00,27.00,27.00,27.00,27.01,27.00,27.00,27.00,27.00
1926,27.31,27.31,27.31,27.31,27.31,27.32,27.31,27.31,27.31,27.31
1927,27.09,27.09,27.09,27.09,27.09,27.10,27.09,27.09,27.09,27.09
1928,27.09,27.09,27.09,27.09,27.09,27.10,27.09,27.09,27.09,27.09
1929,26.89,26.89,26.89,26.89,26.89,26.91,26.89,26.89,26.89,26.89
1930,27.29,27.29,27.29,27.29,27.29,27.30,27.29,27.29,27.29,27.29
1931,27.46,27.46,27.46,27.46,27.46,27.47,27.46,27.46,27.46,27.46
1932,26.85,26.85,26.85,26.85,26.85,26.86,26.85,26.85,26.85,26.85
1933,26.88,26.88,26.88,26.88,26.88,26.89,26.88,26.88,26.88,26.88
1934,26.73,26.73,26.73,26.73,26.73,26.74,26.73,26.73,26.73,26.73
1935,27.12,27.12,27.12,27.12,27.12,27.14,27.12,27.12,27.12,27.12
1936,27.11,27.11,27.11,27.11,27.11,27.12,27.11,27.11,27.11,27.11
1937,27.23,27.23,27.23,27.23,27.23,27.24,27.23,27.23,27.23,27.23
1938,27.11,27.11,27.11,27.11,27.11,27.12,27.11,27.11,27.11,27.11
1939,26.99,26.99,26.99,26.99,26.99,27.00,26.99,26.99,26.99,26.99
1940,27.36,27.36,27.36,27.36,27.36,27.37,27.36,27.36,27.36,27.36
1941,27.80,27.80,27.80,27.80,27.80,27.82,27.80,27.80,27.80,27.80
1942,26.83,26.83,26.83,26.83,26.83,26.85,26.83,26.83,26.83,26.83
1943,26.68,26.68,26.68,26.68,26.68,26.69,26.68,26.68,26.68,26.68
1944,26.79,26.79,26.79,26.79,26.79,26.81,26.79,26.79,26.79,26.79
1945,26.79,26.79,26.79,26.79,26.79,26.81,26.79,26.79,26.79,26.79
1946,26.88,26.88,26.88,26.88,26.88,26.90,26.88,26.88,26.88,26.88
1947,26.88,26.88,26.88,26.88,26.88,26.90,26.88,26.88,26.88,26.88
1948,27.48,27.48,27.48,27.48,27.48,27.50,27.48,27.48,27.48,27.48
1949,27.33,27.33,27.33,27.33,27.33,27.34,27.33,27.33,27.33,27.33
1950,27.06,27.06,27.06,27.06,27.06,27.08,27.06,27.06,27.06,27.06
1951,26.71,26.71,26.71,26.71,26.71,26.72,26.71,26.71,26.71,26.71
1952,26.75,26.75,26.75,26.75,26.75,26.77,26.75,26.75,26.75,26.75
1953,26.78,26.78,26.78,26.78,26.78,26.80,26.78,26.78,26.78,26.78
1954,26.57,26.57,26.57,26.57,26.57,26.59,26.57,26.57,26.57,26.57
1955,26.57,26.57,26.57,26.57,26.57,26.58,26.57,26.57,26.57,26.57
1956,26.40,26.40,26.40,26.40,26.40,26.42,26.40,26.40,26.40,26.40
1957,26.79,26.79,26.79,26.79,26.79,26.81,26.79,26.79,26.79,26.79
1958,27.08,27.08,27.08,27.08,27.08,27.10,27.08,27.08,27.08,27.08
1959,26.86,26.86,26.86,26.86,26.86,26.88,26.86,26.86,26.86,26.86
1960,26.84,26.84,26.84,26.84,26.84,26.86,26.84,26.84,26.84,26.84
1961,26.68,26.68,26.68,26.68,26.68,26.69,26.68,26.68,26.68,26.68
1962,26.58,26.58,26.58,26.58,26.58,26.59,26.58,26.58,26.58,26.58
1963,26.77,26.77,26.77,26.77,26.77,26.78,26.77,26.77,26.77,26.77
1964,26.66,26.66,26.66,26.66,26.66,26.68,26.66,26.66,26.66,26.66
1965,26.59,26.59,26.59,26.59,26.59,26.61,26.59,26.59,26.59,26.59
1966,26.77,26.77,26.77,26.77,26.77,26.79,26.77,26.77,26.77,26.77
1967,26.53,26.53,26.53,26.53,26.53,26.55,26.53,26.53,26.53,26.53
1968,26.62,26.62,26.62,26.62,26.62,26.64,26.62,26.62,26.62,26.62
1969,26.88,26.88,26.88,26.88,26.88,26.90,26.88,26.88,26.88,26.88
1970,26.77,26.77,26.77,26.77,26.77,26.79,26.77,26.77,26.77,26.77
1971,26.47,26.47,26.47,26.47,26.47,26.49,26.47,26.47,26.47,26.47
1972,26.86,26.86,26.86,26.86,26.86,26.87,26.86,26.86,26.86,26.86
1973,26.89,26.89,26.89,26.89,26.89,26.91,26.89,26.89,26.89,26.89
1974,26.51,26.51,26.51,26.51,26.51,26.53,26.51,26.51,26.51,26.51
1975,26.43,26.43,26.43,26.43,26.43,26.45,26.43,26.43,26.43,26.43
1976,26.51,26.51,26.51,26.51,26.51,26.52,26.51,26.51,26.51,26.51
1977,26.80,26.80,26.80,26.80,26.80,26.81,26.80,26.80,26.80,26.80
1978,26.92,26.92,26.92,26.92,26.92,26.94,26.92,26.92,26.92,26.92
1979,27.00,27.00,27.00,27.00,27.00,27.02,27.00,27.00,27.00,27.00
1980,26.92,26.92,26.92,26.92,26.92,26.94,26.92,26.92,26.92,26.92
1981,27.08,27.08,27.08,27.08,27.08,27.10,27.08,27.08,27.08,27.08
1982,27.11,27.11,27.11,27.11,27.11,27.13,27.11,27.11,27.11,27.11
1983,27.39,27.39,27.39,27.39,27.39,27.41,27.39,27.39,27.39,27.39
1984,26.64,26.64,26.64,26.64,26.64,26.66,26.64,26.64,26.64,26.64
1985,26.90,26.90,26.90,26.90,26.90,26.92,26.90,26.90,26.90,26.90
1986,27.03,27.03,27.03,27.03,27.03,27.05,27.03,27.03,27.03,27.03
1987,27.38,27.38,27.38,27.38,27.38,27.40,27.38,27.38,27.38,27.38
1988,27.24,27.24,27.24,27.24,27.24,27.25,27.24,27.24,27.24,27.24
1989,27.02,27.02,27.02,27.02,27.02,27.03,27.02,27.02,27.02,27.02
1990,27.46,27.46,27.46,27.46,27.46,27.47,27.46,27.46,27.46,27.46
1991,27.41,27.41,27.41,27.41,27.41,27.43,27.41,27.41,27.41,27.41
1992,27.34,27.34,27.34,27.34,27.34,27.35,27.34,27.34,27.34,27.34
1993,27.28,27.28,27.28,27.28,27.28,27.29,27.28,27.28,27.28,27.28
1994,27.35,27.35,27.35,27.35,27.35,27.36,27.35,27.35,27.35,27.35
1995,27.45,27.45,27.45,27.45,27.45,27.46,27.45,27.45,27.45,27.45
1996,27.39,27.39,27.39,27.39,27.39,27.40,27.39,27.39,27.39,27.39
1997,27.78,27.78,27.78,27.78,27.78,27.79,27.78,27.78,27.78,27.78
1998,28.06,28.06,28.06,28.06,28.06,28.07,28.06,28.06,28.06,28.06
1999,27.37,27.37,27.37,27.37,27.37,27.38,27.37,27.37,27.37,27.37
2000,27.54,27.54,27.54,27.54,27.54,27.55,27.54,27.54,27.54,27.54
2001,27.65,27.65,27.65,27.65,27.65,27.66,27.65,27.65,27.65,27.65
2002,27.99,27.99,27.99,27.99,27.99,28.00,27.99,27.99,27.99,27.99
2003,27.69,27.69,27.69,27.69,27.69,27.70,27.69,27.69,27.69,27.69
2004,27.67,27.67,27.67,27.67,27.67,27.68,27.67,27.67,27.67,27.67
2005,27.68,27.68,27.68,27.68,27.68,27.69,27.68,27.68,27.68,27.68
2006,27.52,27.52,27.52,27.52,27.52,27.53,27.52,27.52,27.52,27.52
2007,27.50,27.50,27.50,27.50,27.50,27.51,27.50,27.50,27.50,27.50
2008,27.37,27.37,27.37,27.37,27.37,27.38,27.37,27.37,27.37,27.37
2009,27.62,27.62,27.62,27.62,27.62,27.63,27.62,27.62,27.62,27.62
2010,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92
2011,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61
2012,27.70,27.70,27.70,27.70,27.70,27.71,27.70,27.70,27.70,27.70
2013,27.85,27.85,27.85,27.85,27.85,27.86,27.85,27.85,27.85,27.85
2014,27.85,27.85,27.85,27.85,27.85,27.86,27.85,27.85,27.85,27.85
2015,27.98,27.98,27.98,27.98,27.98,27.99,27.98,27.98,27.98,27.98
2016,28.18,28.18,28.18,28.18,28.18,28.19,28.18,28.18,28.18,28.18
2017,27.79,27.79,27.79,27.79,27.79,27.80,27.79,27.79,27.79,27.79
2018,27.83,27.83,27.83,27.83,27.83,27.84,27.83,27.83,27.83,27.83
2019,28.20,28.20,28.20,28.20,28.20,28.21,28.20,28.20,28.20,28.20
2020,28.02,28.02,28.02,28.02,28.02,28.03,28.02,28.02,28.02,28.02
2021,27.74,27.74,27.74,27.74,27.74,27.75,27.74,27.74,27.74,27.74
