Variable:,tas
,"Sierra Leone",Eastern,Northern,Southern,"Western Area"
1901,26.67,26.24,26.59,27.14,26.66
1902,26.70,26.19,26.70,27.09,26.69
1903,26.34,25.82,26.33,26.76,26.44
1904,26.18,25.67,26.17,26.58,26.20
1905,26.37,25.85,26.35,26.79,26.42
1906,26.36,25.82,26.35,26.78,26.46
1907,26.04,25.57,25.99,26.48,26.04
1908,26.45,25.93,26.47,26.83,26.47
1909,26.29,25.77,26.30,26.68,26.32
1910,26.54,26.04,26.53,26.95,26.56
1911,26.21,25.71,26.21,26.61,26.24
1912,26.70,26.24,26.67,27.09,26.64
1913,26.40,25.87,26.41,26.79,26.43
1914,26.25,25.77,26.24,26.65,26.23
1915,26.68,26.19,26.67,27.09,26.69
1916,26.18,25.71,26.15,26.58,26.15
1917,26.32,25.86,26.26,26.77,26.34
1918,26.28,25.75,26.28,26.68,26.37
1919,26.28,25.65,26.35,26.62,26.45
1920,26.14,25.64,26.11,26.57,26.21
1921,25.93,25.42,25.94,26.32,25.96
1922,25.88,25.43,25.84,26.29,25.85
1923,26.20,25.71,26.20,26.59,26.18
1924,25.81,25.30,25.81,26.19,25.83
1925,25.95,25.41,25.97,26.31,26.00
1926,26.17,25.61,26.18,26.58,26.26
1927,25.62,25.04,25.65,26.01,25.75
1928,25.49,24.94,25.51,25.88,25.59
1929,25.41,24.85,25.43,25.81,25.48
1930,25.49,24.96,25.49,25.88,25.53
1931,26.07,25.54,26.09,26.45,26.10
1932,26.01,25.45,26.02,26.43,26.12
1933,26.12,25.59,26.13,26.51,26.18
1934,26.05,25.55,26.05,26.44,26.05
1935,25.96,25.47,25.97,26.34,25.95
1936,26.05,25.50,26.07,26.44,26.16
1937,26.23,25.69,26.26,26.60,26.31
1938,26.31,25.79,26.32,26.69,26.37
1939,26.24,25.74,26.24,26.62,26.22
1940,26.27,25.77,26.27,26.67,26.30
1941,26.61,26.08,26.62,26.99,26.63
1942,26.33,25.80,26.34,26.70,26.35
1943,25.97,25.46,25.97,26.36,25.98
1944,26.49,25.96,26.51,26.87,26.55
1945,26.50,25.94,26.53,26.89,26.60
1946,26.19,25.66,26.20,26.57,26.20
1947,26.28,25.77,26.30,26.65,26.29
1948,26.00,25.46,26.01,26.39,26.03
1949,26.19,25.70,26.19,26.58,26.22
1950,25.93,25.46,25.91,26.34,25.91
1951,26.06,25.59,26.03,26.46,26.03
1952,26.06,25.61,26.03,26.47,26.01
1953,26.22,25.73,26.22,26.60,26.21
1954,25.81,25.31,25.82,26.18,25.81
1955,25.84,25.39,25.81,26.23,25.88
1956,25.73,25.26,25.71,26.11,25.73
1957,25.97,25.54,25.94,26.36,25.97
1958,26.05,25.59,26.03,26.44,26.06
1959,25.91,25.39,25.93,26.29,25.97
1960,26.02,25.53,26.01,26.41,26.08
1961,25.80,25.28,25.81,26.18,25.84
1962,25.86,25.34,25.88,26.24,25.94
1963,26.14,25.61,26.17,26.51,26.18
1964,25.80,25.26,25.82,26.16,25.85
1965,25.67,25.13,25.71,26.02,25.70
1966,26.00,25.45,26.04,26.34,26.03
1967,25.82,25.29,25.84,26.20,25.83
1968,25.99,25.47,26.02,26.35,25.97
1969,26.29,25.77,26.32,26.64,26.29
1970,26.14,25.61,26.15,26.52,26.18
1971,25.68,25.12,25.72,26.05,25.68
1972,26.11,25.55,26.14,26.49,26.15
1973,26.37,25.84,26.38,26.74,26.39
1974,25.89,25.35,25.91,26.29,25.93
1975,25.69,25.17,25.70,26.08,25.73
1976,25.61,25.07,25.62,26.00,25.68
1977,26.12,25.58,26.14,26.51,26.14
1978,25.94,25.41,25.95,26.33,25.96
1979,26.26,25.73,26.28,26.65,26.25
1980,26.24,25.72,26.26,26.62,26.28
1981,26.19,25.66,26.20,26.57,26.23
1982,26.02,25.47,26.04,26.42,26.07
1983,26.47,25.91,26.51,26.84,26.53
1984,26.20,25.66,26.21,26.59,26.25
1985,26.02,25.48,26.04,26.39,26.09
1986,25.83,25.30,25.84,26.23,25.88
1987,26.60,26.10,26.60,26.99,26.59
1988,26.24,25.72,26.25,26.63,26.29
1989,26.10,25.61,26.09,26.50,26.12
1990,26.30,25.76,26.31,26.69,26.36
1991,26.34,25.76,26.41,26.68,26.42
1992,26.12,25.56,26.14,26.49,26.19
1993,26.26,25.70,26.31,26.61,26.32
1994,26.03,25.50,26.03,26.43,26.10
1995,26.24,25.69,26.24,26.65,26.28
1996,26.40,25.82,26.44,26.77,26.52
1997,26.35,25.74,26.40,26.71,26.53
1998,26.85,26.29,26.90,27.21,26.92
1999,26.14,25.54,26.17,26.55,26.28
2000,26.26,25.67,26.29,26.64,26.40
2001,26.48,25.88,26.55,26.82,26.57
2002,26.66,26.09,26.72,26.98,26.70
2003,26.57,26.03,26.62,26.90,26.60
2004,26.70,26.14,26.77,26.99,26.71
2005,26.72,26.13,26.79,27.03,26.80
2006,26.69,26.11,26.73,27.07,26.77
2007,26.76,26.18,26.80,27.12,26.84
2008,26.46,25.88,26.52,26.80,26.56
2009,26.38,25.89,26.41,26.72,26.39
2010,26.85,26.26,26.92,27.15,26.97
2011,26.67,26.09,26.75,26.95,26.77
2012,26.45,25.82,26.52,26.79,26.61
2013,26.60,25.96,26.69,26.91,26.72
2014,26.52,25.90,26.60,26.84,26.65
2015,26.68,26.09,26.75,26.99,26.77
2016,26.97,26.35,27.05,27.29,27.03
2017,26.89,26.27,26.96,27.22,26.96
2018,26.74,26.21,26.80,27.05,26.80
2019,26.58,26.03,26.62,26.91,26.65
2020,27.01,26.40,27.10,27.31,27.16
2021,27.19,26.60,27.29,27.45,27.25
