Variable:,tas
,Somalia,Awdal,Bakool,Bari,Bay,Banadir,Galgaduud,Gedo,Hiraan,"Juba Hoose","Shabelle Hoose","Juba Dhexe","Shabelle Dhexe",Mudug,Nugaal,Sanaag,Sool,Togdheer,"Woqooyi Galbeed"
1901,26.62,29.37,26.91,26.42,27.15,26.78,27.56,28.08,27.36,27.77,27.23,27.82,27.04,27.49,26.55,24.31,25.42,24.22,24.66
1902,26.67,29.50,26.99,26.42,27.20,26.79,27.59,28.17,27.41,27.93,27.27,27.90,27.06,27.50,26.56,24.34,25.45,24.30,24.76
1903,26.71,29.67,27.08,26.42,27.25,26.80,27.61,28.25,27.45,27.88,27.28,27.91,27.07,27.51,26.56,24.37,25.48,24.40,24.90
1904,26.52,29.40,26.82,26.41,26.93,26.71,27.56,27.74,27.35,27.32,27.05,27.42,27.02,27.49,26.55,24.31,25.42,24.24,24.69
1905,26.59,29.61,26.90,26.42,26.97,26.73,27.60,27.81,27.41,27.49,27.08,27.53,27.04,27.50,26.56,24.35,25.47,24.36,24.85
1906,26.54,29.56,26.86,26.42,26.94,26.70,27.60,27.76,27.39,27.20,27.02,27.38,27.03,27.50,26.56,24.35,25.46,24.33,24.81
1907,26.50,29.26,26.76,26.42,26.93,26.69,27.54,27.73,27.32,27.33,27.04,27.43,27.01,27.48,26.55,24.29,25.40,24.16,24.56
1908,26.69,29.62,27.02,26.41,27.20,26.79,27.61,28.18,27.43,27.91,27.27,27.91,27.07,27.51,26.56,24.36,25.47,24.37,24.86
1909,26.35,28.99,26.54,26.42,26.69,26.62,27.49,27.36,27.21,26.88,26.84,27.04,26.97,27.46,26.54,24.23,25.33,23.98,24.33
1910,26.56,29.88,26.95,26.42,26.90,26.68,27.65,27.69,27.47,26.86,26.93,27.15,27.04,27.52,26.57,24.41,25.53,24.53,25.08
1911,26.14,29.85,26.39,26.33,26.31,25.86,26.85,27.35,26.72,26.83,26.25,26.81,26.17,26.82,26.15,24.27,25.22,24.20,24.82
1912,25.75,29.27,25.57,26.29,25.73,25.40,26.33,26.70,26.06,26.72,25.87,26.52,25.72,26.49,25.95,24.06,24.87,23.62,24.25
1913,26.08,29.33,26.17,26.36,26.19,26.05,27.01,26.95,26.76,26.59,26.34,26.65,26.42,27.04,26.28,24.20,25.18,23.96,24.48
1914,26.45,29.37,26.76,26.42,26.74,26.66,27.60,27.41,27.38,26.95,26.92,27.11,27.04,27.52,26.57,24.32,25.44,24.24,24.67
1915,26.38,29.37,26.57,26.41,26.64,26.45,27.37,27.47,27.14,27.21,26.78,27.21,26.81,27.34,26.46,24.28,25.33,24.13,24.60
1916,26.30,29.34,26.48,26.39,26.47,26.38,27.36,27.21,27.11,26.86,26.63,26.92,26.77,27.33,26.45,24.27,25.33,24.12,24.59
1917,26.34,29.38,26.56,26.42,26.46,26.48,27.52,27.13,27.27,26.73,26.65,26.82,26.93,27.46,26.54,24.31,25.41,24.21,24.65
1918,26.36,29.38,26.61,26.42,26.53,26.54,27.53,27.19,27.29,26.73,26.72,26.86,26.95,27.46,26.54,24.31,25.41,24.21,24.65
1919,26.35,29.37,26.66,26.42,26.54,26.57,27.56,27.11,27.32,26.53,26.74,26.77,26.98,27.49,26.55,24.31,25.42,24.22,24.66
1920,26.34,29.36,26.66,26.41,26.53,26.57,27.56,27.09,27.32,26.51,26.73,26.75,26.98,27.49,26.55,24.30,25.41,24.22,24.65
1921,26.84,29.40,27.24,26.46,27.40,27.14,27.94,28.25,27.76,28.02,27.53,28.04,27.43,27.80,26.74,24.39,25.59,24.41,24.78
1922,27.16,29.45,27.74,26.52,27.82,27.65,28.50,28.59,28.33,28.31,27.98,28.37,28.01,28.26,27.02,24.50,25.84,24.68,24.96
1923,26.57,29.37,26.86,26.42,27.01,26.72,27.56,27.87,27.36,27.62,27.14,27.64,27.03,27.49,26.55,24.31,25.42,24.22,24.66
1924,27.60,29.47,28.37,26.56,28.63,28.25,28.95,29.48,28.83,29.28,28.73,29.34,28.51,28.62,27.23,24.59,26.03,24.89,25.11
1925,27.08,29.44,27.58,26.49,27.80,27.46,28.22,28.67,28.06,28.47,27.91,28.48,27.74,28.03,26.88,24.45,25.72,24.56,24.88
1926,26.86,29.40,27.25,26.46,27.47,27.12,27.89,28.38,27.71,28.22,27.58,28.18,27.39,27.76,26.72,24.38,25.57,24.39,24.77
1927,26.82,29.40,27.17,26.45,27.41,27.05,27.83,28.34,27.64,28.20,27.51,28.16,27.31,27.71,26.68,24.36,25.53,24.35,24.75
1928,27.28,29.43,27.88,26.52,28.09,27.76,28.53,28.94,28.38,28.74,28.20,28.77,28.06,28.28,27.03,24.50,25.85,24.69,24.97
1929,26.40,29.36,26.65,26.43,26.57,26.56,27.59,27.25,27.34,26.85,26.76,26.94,27.00,27.51,26.57,24.32,25.44,24.24,24.67
1930,26.05,29.32,26.06,26.35,26.14,25.95,26.88,27.00,26.63,26.77,26.28,26.73,26.29,26.95,26.22,24.18,25.12,23.90,24.43
1931,26.86,29.42,27.28,26.48,27.33,27.19,28.12,28.08,27.91,27.79,27.49,27.84,27.58,27.94,26.83,24.42,25.67,24.49,24.84
1932,26.49,29.37,26.83,26.43,26.77,26.74,27.70,27.39,27.48,26.90,26.95,27.08,27.14,27.60,26.62,24.33,25.48,24.29,24.70
1933,26.70,29.38,27.05,26.45,27.09,26.95,27.88,27.87,27.66,27.59,27.24,27.62,27.33,27.75,26.71,24.38,25.56,24.38,24.77
1934,26.62,29.37,26.92,26.43,27.00,26.81,27.72,27.82,27.50,27.57,27.15,27.58,27.17,27.62,26.63,24.34,25.49,24.30,24.71
1935,26.56,29.38,26.82,26.43,26.91,26.71,27.62,27.73,27.40,27.48,27.05,27.48,27.07,27.54,26.59,24.33,25.45,24.26,24.68
1936,26.51,29.37,26.76,26.42,26.83,26.66,27.58,27.63,27.36,27.37,26.98,27.37,27.02,27.51,26.56,24.31,25.42,24.23,24.66
1937,26.93,29.41,27.41,26.50,27.41,27.33,28.28,28.13,28.07,27.80,27.58,27.88,27.74,28.07,26.90,24.45,25.74,24.57,24.89
1938,26.56,29.37,26.83,26.43,26.93,26.71,27.61,27.76,27.39,27.50,27.07,27.51,27.06,27.53,26.58,24.32,25.44,24.25,24.68
1939,26.91,29.41,27.35,26.48,27.43,27.25,28.13,28.22,27.94,27.95,27.58,27.99,27.61,27.95,26.84,24.43,25.68,24.50,24.85
