Variable:,tas
,Suriname,Brokopondo,Commewijne,Coronie,Marowijne,Nickerie,Para,Paramaribo,Saramacca,Sipaliwini,Wanica
1901,26.65,27.16,27.18,27.52,27.03,27.44,27.33,27.42,27.50,26.46,27.42
1902,26.66,27.17,27.19,27.53,27.05,27.44,27.33,27.42,27.49,26.47,27.42
1903,26.64,27.16,27.17,27.52,27.03,27.42,27.32,27.41,27.48,26.45,27.41
1904,26.24,26.74,26.76,27.12,26.62,27.00,26.91,27.00,27.08,26.06,27.00
1905,26.47,26.97,26.99,27.35,26.85,27.25,27.14,27.23,27.31,26.29,27.23
1906,26.29,26.79,26.81,27.17,26.66,27.09,26.96,27.05,27.12,26.11,27.05
1907,26.13,26.62,26.63,27.00,26.50,26.91,26.78,26.87,26.95,25.95,26.87
1908,26.33,26.84,26.85,27.21,26.71,27.11,27.00,27.09,27.17,26.15,27.09
1909,26.41,26.91,26.92,27.28,26.80,27.18,27.07,27.16,27.24,26.23,27.16
1910,26.35,26.86,26.88,27.22,26.74,27.12,27.02,27.11,27.18,26.17,27.11
1911,25.81,26.22,26.21,26.61,26.04,26.55,26.37,26.46,26.55,25.66,26.46
1912,26.22,26.63,26.63,27.01,26.48,26.98,26.78,26.88,26.95,26.07,26.88
1913,25.75,26.15,26.13,26.51,25.97,26.46,26.29,26.38,26.46,25.61,26.38
1914,25.86,26.23,26.20,26.59,26.04,26.53,26.37,26.44,26.52,25.72,26.44
1915,26.21,26.63,26.62,27.01,26.46,26.95,26.78,26.86,26.95,26.05,26.86
1916,25.75,26.18,26.15,26.51,26.02,26.45,26.32,26.38,26.46,25.59,26.38
1917,25.52,25.94,25.94,26.39,25.78,26.36,26.12,26.22,26.31,25.35,26.22
1918,25.77,26.18,26.17,26.61,25.99,26.58,26.34,26.42,26.53,25.61,26.42
1919,25.96,26.40,26.40,26.76,26.25,26.69,26.55,26.64,26.70,25.80,26.64
1920,25.85,26.29,26.28,26.65,26.15,26.58,26.44,26.52,26.60,25.69,26.52
1921,25.72,26.17,26.19,26.59,26.03,26.53,26.34,26.44,26.52,25.55,26.44
1922,25.65,26.13,26.15,26.50,26.01,26.41,26.28,26.37,26.44,25.47,26.37
1923,25.72,26.20,26.19,26.54,26.07,26.45,26.34,26.42,26.49,25.55,26.42
1924,25.75,26.21,26.19,26.55,26.05,26.49,26.35,26.43,26.50,25.59,26.43
1925,25.85,26.29,26.27,26.64,26.14,26.58,26.43,26.51,26.59,25.69,26.51
1926,26.18,26.71,26.77,27.09,26.62,26.98,26.89,27.00,27.06,25.99,27.00
1927,25.74,26.30,26.36,26.63,26.26,26.50,26.47,26.57,26.62,25.54,26.57
1928,25.80,26.33,26.38,26.66,26.26,26.56,26.49,26.59,26.64,25.61,26.59
1929,25.61,26.13,26.16,26.47,26.04,26.36,26.28,26.38,26.43,25.43,26.38
1930,25.82,26.33,26.37,26.71,26.23,26.63,26.51,26.61,26.67,25.63,26.61
1931,26.31,26.87,26.94,27.28,26.78,27.19,27.07,27.18,27.24,26.10,27.18
1932,26.18,26.73,26.78,27.14,26.64,27.04,26.92,27.02,27.09,25.98,27.02
1933,25.84,26.39,26.43,26.69,26.30,26.58,26.54,26.64,26.69,25.65,26.64
1934,25.76,26.28,26.31,26.60,26.19,26.51,26.44,26.53,26.59,25.57,26.53
1935,26.02,26.52,26.53,26.85,26.40,26.75,26.67,26.75,26.82,25.85,26.75
1936,26.11,26.60,26.58,26.91,26.44,26.82,26.74,26.82,26.89,25.94,26.82
1937,26.21,26.71,26.73,27.09,26.58,27.00,26.87,26.97,27.03,26.03,26.97
