Variable:,tas
,Syria,Al_Qunaytirah,Aleppo,As_Suweida,City_Damascus,Damascus,Dara,Dayr_Az_Zor,Hama,Hassakeh,Homs,Idleb,Lattakia,Raqqa,Tartous
1901,17.94,16.82,17.86,16.08,12.71,16.00,16.82,19.65,17.38,19.12,17.53,17.42,17.53,18.54,17.59
1902,17.47,16.32,17.30,15.61,12.24,15.54,16.33,19.29,16.85,18.65,17.10,16.83,16.94,18.07,17.07
1903,16.75,15.27,16.82,14.52,11.14,14.44,15.26,18.70,16.10,18.34,16.18,16.23,16.28,17.56,16.20
1904,17.03,15.87,16.95,15.13,11.73,15.02,15.86,18.86,16.40,18.34,16.57,16.45,16.56,17.69,16.61
1905,17.22,16.16,17.17,15.39,11.98,15.25,16.14,19.00,16.62,18.48,16.76,16.70,16.81,17.86,16.86
1906,17.37,16.39,17.30,15.61,12.18,15.44,16.37,19.13,16.78,18.62,16.91,16.85,16.97,17.99,17.03
1907,16.85,15.75,16.77,14.99,11.58,14.86,15.74,18.67,16.22,18.12,16.39,16.28,16.37,17.50,16.43
1908,16.83,15.88,16.77,15.11,11.67,14.94,15.87,18.59,16.24,17.90,16.39,16.31,16.43,17.45,16.50
1909,17.90,17.10,17.79,16.34,12.90,16.16,17.09,19.50,17.38,18.87,17.52,17.45,17.63,18.41,17.71
1910,17.24,16.00,17.22,15.26,11.88,15.18,16.00,19.04,16.65,18.58,16.75,16.75,16.84,17.89,16.85
1911,16.56,15.86,16.49,15.08,11.64,14.87,15.84,18.23,16.04,17.37,16.16,16.13,16.28,17.08,16.38
1912,17.41,16.13,17.27,15.43,12.05,15.38,16.14,19.27,16.77,18.68,17.01,16.78,16.85,18.05,16.94
1913,17.10,16.23,16.93,15.45,12.01,15.26,16.22,18.85,16.46,18.22,16.68,16.50,16.65,17.67,16.76
1914,17.59,16.66,17.40,15.93,12.47,15.77,16.66,19.33,16.97,18.74,17.21,16.97,17.11,18.13,17.23
1915,18.08,17.31,17.88,16.56,13.09,16.36,17.30,19.72,17.51,19.12,17.72,17.53,17.69,18.57,17.81
1916,18.26,17.55,18.06,16.77,13.36,16.63,17.53,19.84,17.76,19.15,17.95,17.74,17.92,18.69,18.09
1917,18.06,17.00,17.84,16.30,12.91,16.21,17.02,19.79,17.46,19.22,17.71,17.44,17.55,18.60,17.68
1918,17.90,16.95,17.74,16.22,12.80,16.10,16.96,19.59,17.33,18.95,17.53,17.32,17.45,18.43,17.57
1919,18.10,17.23,17.95,16.49,13.06,16.34,17.23,19.75,17.58,19.07,17.76,17.57,17.71,18.62,17.83
1920,17.29,16.64,17.10,15.89,12.40,15.67,16.64,18.93,16.73,18.05,16.96,16.73,16.90,17.76,17.06
1921,17.09,16.22,16.95,15.49,12.02,15.30,16.24,18.78,16.55,18.05,16.73,16.59,16.71,17.61,16.79
1922,18.12,17.12,17.94,16.42,12.98,16.29,17.14,19.80,17.55,19.20,17.76,17.54,17.66,18.66,17.78
