Variable:,tas
,Chad,Biltine,Guera,Lac,"Logone Occidental",Salamat,"Batha Est","Batha Ouest",Borkou,Ennedi,Tibesti,Baguirmi,Daraba,"Hadjer Lamis","Barl El Gazal",Kanem,"Logone Oriental","Mont De Lam",Kabia,Mayo-Boneye,Mayo-Dala,"Barh Koh","Lac Iro",Mandoul,Assongha,Ouaddai,Sila,"Tandjile Est","Tandjile Ouest"
1901,26.93,27.13,28.29,28.21,26.18,27.75,29.24,29.08,26.62,25.77,23.11,28.07,28.55,27.95,29.00,28.67,26.21,25.55,26.91,27.81,26.91,27.42,27.60,26.78,26.66,28.41,27.22,27.28,26.65
1902,26.93,27.12,28.29,28.21,26.32,27.75,29.24,29.08,26.62,25.73,23.11,28.08,28.55,27.96,29.00,28.67,26.31,25.71,27.04,27.88,27.09,27.42,27.60,26.83,26.66,28.41,27.22,27.34,26.77
1903,26.92,27.11,28.29,28.21,26.32,27.75,29.24,29.08,26.62,25.70,23.11,28.08,28.55,27.96,29.00,28.67,26.32,25.73,27.04,27.88,27.09,27.42,27.60,26.83,26.66,28.41,27.22,27.34,26.77
1904,26.92,27.11,28.29,28.20,26.32,27.75,29.24,29.07,26.60,25.71,23.09,28.08,28.54,27.95,28.99,28.65,26.32,25.70,27.05,27.88,27.09,27.42,27.60,26.83,26.66,28.41,27.22,27.34,26.77
1905,26.93,27.12,28.29,28.21,26.32,27.75,29.24,29.08,26.62,25.72,23.11,28.08,28.55,27.96,29.00,28.67,26.32,25.75,27.04,27.88,27.09,27.42,27.60,26.83,26.66,28.41,27.22,27.34,26.77
1906,26.93,27.12,28.29,28.21,26.32,27.75,29.24,29.08,26.62,25.74,23.11,28.08,28.55,27.96,29.00,28.67,26.32,25.74,27.04,27.88,27.09,27.42,27.60,26.83,26.66,28.41,27.22,27.34,26.77
1907,26.93,27.12,28.29,28.21,26.32,27.75,29.24,29.08,26.62,25.72,23.11,28.08,28.55,27.96,29.00,28.67,26.32,25.74,27.04,27.88,27.09,27.42,27.60,26.83,26.66,28.41,27.22,27.34,26.77
1908,26.92,27.10,28.29,28.20,26.32,27.75,29.24,29.07,26.60,25.70,23.09,28.08,28.54,27.95,28.99,28.65,26.32,25.71,27.05,27.88,27.08,27.42,27.60,26.83,26.66,28.41,27.22,27.34,26.77
1909,26.93,27.12,28.29,28.21,26.33,27.75,29.24,29.08,26.62,25.74,23.11,28.08,28.55,27.96,29.00,28.67,26.32,25.76,27.04,27.88,27.10,27.42,27.60,26.83,26.66,28.41,27.22,27.34,26.77
1910,26.89,26.95,28.29,28.21,26.28,27.69,29.24,29.08,26.62,25.63,23.11,28.08,28.55,27.96,29.00,28.67,26.29,25.66,27.02,27.86,27.04,27.42,27.60,26.82,26.43,28.31,26.97,27.33,26.74
1911,26.90,27.00,28.29,28.21,26.32,27.71,29.24,29.08,26.62,25.66,23.11,28.08,28.55,27.96,29.00,28.67,26.32,25.73,27.04,27.88,27.09,27.42,27.60,26.83,26.50,28.33,27.03,27.34,26.77
1912,26.88,26.95,28.29,28.20,26.27,27.70,29.23,29.07,26.60,25.62,23.09,28.07,28.54,27.95,28.99,28.65,26.28,25.69,26.98,27.84,27.01,27.42,27.60,26.81,26.43,28.31,26.98,27.31,26.72
1913,26.88,26.91,28.29,28.21,26.32,27.68,29.23,29.08,26.62,25.60,23.11,28.08,28.55,27.96,29.00,28.67,26.31,25.70,27.04,27.88,27.09,27.42,27.60,26.83,26.36,28.29,26.91,27.34,26.77
1914,26.93,27.13,28.29,28.21,26.32,27.76,29.24,29.08,26.62,25.74,23.11,28.08,28.55,27.96,29.00,28.67,26.32,25.75,27.04,27.88,27.09,27.42,27.60,26.83,26.67,28.42,27.23,27.34,26.77
1915,26.93,27.09,28.29,28.21,26.32,27.74,29.24,29.08,26.62,25.74,23.11,28.08,28.55,27.96,29.00,28.67,26.32,25.73,27.04,27.88,27.09,27.42,27.60,26.83,26.62,28.40,27.17,27.34,26.77
1916,26.87,26.86,28.29,28.20,26.32,27.67,29.23,29.07,26.60,25.56,23.09,28.08,28.54,27.95,28.99,28.65,26.32,25.73,27.05,27.88,27.09,27.42,27.60,26.83,26.32,28.25,26.85,27.34,26.77
1917,26.88,26.87,28.29,28.21,26.32,27.67,29.23,29.08,26.62,25.58,23.11,28.08,28.55,27.96,29.00,28.67,26.32,25.73,27.04,27.88,27.09,27.42,27.60,26.83,26.31,28.26,26.86,27.34,26.77
1918,27.13,27.45,28.63,28.21,26.32,28.15,29.71,29.43,26.81,26.02,23.11,28.17,28.71,27.99,29.17,28.70,26.33,25.73,27.04,27.89,27.09,27.59,27.90,26.92,26.94,28.83,27.48,27.41,26.77
1919,27.29,27.92,28.78,28.21,26.33,28.44,29.95,29.58,26.89,26.36,23.11,28.21,28.78,28.00,29.25,28.71,26.35,25.73,27.05,27.90,27.09,27.67,28.03,26.96,27.49,29.21,28.03,27.44,26.78
1920,26.52,26.11,27.80,28.20,26.32,26.99,28.52,28.56,26.33,24.96,23.09,27.96,28.32,27.91,28.76,28.61,26.30,25.73,27.05,27.85,27.09,27.17,27.17,26.71,25.58,27.49,26.15,27.26,26.76
1921,26.84,26.88,28.20,28.21,26.32,27.59,29.10,28.99,26.57,25.55,23.11,28.06,28.51,27.95,28.96,28.66,26.31,25.73,27.05,27.87,27.09,27.38,27.52,26.80,26.39,28.21,26.95,27.33,26.77
1922,26.52,26.21,27.73,28.21,26.31,26.96,28.42,28.49,26.31,25.02,23.11,27.93,28.28,27.90,28.73,28.62,26.29,25.73,27.04,27.84,27.09,27.13,27.10,26.68,25.75,27.50,26.33,27.24,26.75
1923,26.90,26.82,28.19,28.78,26.47,27.51,29.02,29.01,26.58,25.49,23.14,28.28,28.72,28.37,29.18,29.09,26.37,25.83,27.33,28.16,27.41,27.36,27.46,26.82,26.36,28.12,26.92,27.45,26.96
1924,27.14,27.52,28.55,28.53,26.41,28.12,29.61,29.33,26.76,26.04,23.11,28.24,28.71,28.20,29.17,28.91,26.36,25.79,27.21,28.05,27.27,27.55,27.83,26.90,27.07,28.83,27.63,27.43,26.88
1925,26.98,27.35,28.43,27.74,26.21,27.99,29.49,29.19,26.69,25.91,23.09,27.96,28.49,27.66,28.93,28.35,26.29,25.65,26.82,27.66,26.84,27.49,27.76,26.85,26.87,28.67,27.43,27.29,26.63
1926,27.22,27.59,28.63,28.72,26.50,28.20,29.73,29.43,26.82,26.10,23.19,28.34,28.80,28.37,29.26,29.06,26.40,25.85,27.36,28.19,27.44,27.60,27.89,26.92,27.13,28.91,27.67,27.49,26.99
1927,27.23,27.59,28.59,28.89,26.51,28.15,29.66,29.40,26.81,26.10,23.21,28.36,28.81,28.45,29.29,29.17,26.40,25.85,27.38,28.22,27.47,27.57,27.85,26.91,27.15,28.87,27.71,27.50,27.00
1928,27.30,27.97,28.74,28.35,26.30,28.48,29.95,29.50,26.87,26.40,23.16,28.16,28.68,28.05,29.16,28.81,26.33,25.71,27.01,27.88,27.05,27.66,28.04,26.93,27.55,29.24,28.08,27.39,26.74
1929,26.74,26.73,28.06,28.01,26.12,27.43,28.92,28.83,26.52,25.44,23.18,27.85,28.34,27.68,28.86,28.54,26.24,25.60,26.71,27.57,26.73,27.30,27.41,26.76,26.25,28.03,26.81,27.20,26.53
1930,27.02,26.96,28.32,29.16,26.46,27.69,29.23,29.14,26.70,25.63,23.32,28.27,28.71,28.47,29.23,29.35,26.37,25.82,27.31,28.15,27.40,27.44,27.60,26.85,26.45,28.31,27.00,27.43,26.94
1931,27.39,27.66,28.72,29.61,26.68,28.27,29.81,29.56,26.92,26.18,23.34,28.58,29.00,28.92,29.52,29.70,26.46,25.97,27.70,28.53,27.82,27.64,27.94,26.96,27.18,28.98,27.72,27.61,27.22
1932,27.25,27.60,28.68,28.85,26.59,28.23,29.78,29.49,26.83,26.11,23.12,28.44,28.88,28.52,29.32,29.14,26.42,25.91,27.51,28.34,27.60,27.63,27.94,26.94,27.13,28.94,27.67,27.56,27.10
1933,27.37,28.07,28.82,28.43,26.41,28.55,30.03,29.61,26.92,26.46,23.13,28.30,28.83,28.19,29.29,28.88,26.38,25.78,27.19,28.06,27.24,27.69,28.08,26.96,27.65,29.34,28.19,27.49,26.89
1934,27.23,27.58,28.64,28.76,26.54,28.19,29.72,29.45,26.82,26.10,23.16,28.38,28.84,28.41,29.28,29.08,26.41,25.88,27.42,28.24,27.50,27.60,27.89,26.93,27.12,28.90,27.67,27.52,27.03
1935,27.17,27.40,28.51,28.96,26.62,27.98,29.48,29.34,26.75,25.95,23.18,28.47,28.90,28.57,29.34,29.22,26.43,25.92,27.56,28.38,27.66,27.53,27.74,26.91,26.96,28.68,27.52,27.58,27.14
1936,27.34,27.98,28.75,28.65,26.44,28.46,29.93,29.53,26.88,26.39,23.19,28.30,28.79,28.30,29.27,29.01,26.38,25.81,27.24,28.11,27.31,27.66,28.01,26.95,27.58,29.24,28.13,27.47,26.92
1937,27.32,27.85,28.70,28.90,26.51,28.36,29.84,29.51,26.87,26.29,23.15,28.38,28.85,28.46,29.32,29.18,26.40,25.85,27.39,28.23,27.47,27.63,27.96,26.94,27.44,29.12,27.99,27.51,27.01
1938,27.49,28.03,28.84,29.65,26.72,28.50,29.99,29.67,26.96,26.41,23.20,28.64,29.07,29.00,29.58,29.74,26.48,25.99,27.76,28.59,27.89,27.70,28.05,26.98,27.62,29.29,28.17,27.65,27.27
1939,27.31,27.71,28.64,29.18,26.59,28.23,29.71,29.46,26.85,26.21,23.17,28.47,28.90,28.66,29.39,29.40,26.42,25.90,27.53,28.37,27.63,27.61,27.89,26.92,27.29,28.97,27.83,27.55,27.10
1940,27.07,27.46,28.48,28.20,26.33,28.03,29.51,29.26,26.71,26.01,23.09,28.13,28.63,27.97,29.09,28.67,26.33,25.73,27.05,27.88,27.09,27.52,27.77,26.88,27.02,28.73,27.58,27.37,26.77
1941,27.22,27.18,28.64,29.31,27.26,28.13,29.37,29.26,26.71,25.77,23.25,28.64,28.91,28.70,29.34,29.45,27.29,26.74,27.82,28.56,27.88,28.11,28.16,27.68,26.80,28.61,27.50,28.13,27.62
1942,27.12,27.12,28.52,28.96,27.02,27.98,29.31,29.19,26.67,25.72,23.17,28.48,28.80,28.49,29.23,29.21,27.06,26.49,27.61,28.37,27.67,27.92,27.99,27.47,26.71,28.52,27.37,27.92,27.40
1943,26.78,26.54,28.23,28.27,26.55,27.56,28.93,28.90,26.49,25.28,23.10,28.17,28.57,28.05,28.97,28.68,26.53,25.95,27.22,28.03,27.27,27.47,27.57,26.97,26.08,28.02,26.77,27.52,26.98
1944,26.89,26.85,28.37,28.22,26.64,27.73,29.18,29.05,26.57,25.53,23.06,28.21,28.59,28.03,28.99,28.66,26.71,26.10,27.27,28.05,27.30,27.66,27.75,27.17,26.35,28.27,26.97,27.60,27.04
1945,26.76,26.55,28.29,27.75,26.62,27.65,28.95,28.87,26.47,25.30,23.10,28.13,28.50,27.82,28.82,28.30,26.73,26.11,27.20,27.98,27.23,27.65,27.72,27.19,26.11,28.06,26.82,27.58,27.00
1946,26.77,26.39,28.28,28.04,26.73,27.64,28.84,28.81,26.45,25.17,23.26,28.20,28.53,27.96,28.87,28.50,26.80,26.21,27.31,28.07,27.34,27.70,27.74,27.24,26.04,27.99,26.80,27.67,27.11
1947,27.02,26.78,28.47,28.19,26.81,27.88,29.16,29.02,26.68,25.50,23.83,28.30,28.64,28.07,28.98,28.63,26.90,26.28,27.38,28.14,27.40,27.84,27.91,27.36,26.40,28.32,27.12,27.77,27.19
1948,26.63,26.39,28.20,27.62,26.40,27.60,28.82,28.76,26.37,25.14,22.85,28.01,28.42,27.68,28.74,28.20,26.50,25.86,27.02,27.83,27.05,27.50,27.60,26.99,26.04,27.98,26.81,27.41,26.81
1949,26.34,25.99,27.78,27.87,26.43,27.23,28.27,28.20,25.97,24.81,22.80,27.84,28.09,27.67,28.33,28.24,26.39,25.95,27.09,27.79,27.21,27.24,27.33,26.76,25.68,27.53,26.43,27.25,26.79
1950,26.13,25.78,27.58,27.49,26.25,26.96,28.07,28.05,25.80,24.72,22.45,27.68,27.92,27.46,28.15,27.86,26.22,25.79,26.90,27.62,27.00,27.04,27.11,26.58,25.38,27.25,26.12,27.08,26.62
1951,26.57,26.07,27.97,27.99,26.56,27.29,28.59,28.58,26.31,24.98,23.34,27.96,28.26,27.76,28.56,28.34,26.60,26.08,27.18,27.90,27.27,27.43,27.49,26.98,25.63,27.59,26.36,27.41,26.92
1952,26.70,26.71,28.32,27.81,26.69,27.80,28.97,28.78,26.21,25.36,22.80,28.14,28.44,27.79,28.64,28.19,26.76,26.17,27.32,28.04,27.37,27.76,27.89,27.25,26.35,28.19,27.00,27.62,27.07
1953,26.51,26.32,27.99,27.73,26.54,27.41,28.66,28.55,26.15,25.07,22.90,27.93,28.17,27.61,28.41,28.09,26.61,26.05,27.16,27.86,27.23,27.53,27.60,27.06,25.90,27.78,26.58,27.42,26.90
1954,26.54,26.26,27.94,28.07,26.49,27.32,28.62,28.57,26.19,25.09,22.91,27.97,28.28,27.83,28.59,28.35,26.51,25.95,27.20,27.93,27.28,27.35,27.40,26.92,25.86,27.73,26.55,27.40,26.89
1955,26.58,26.34,27.89,27.84,26.28,27.32,28.62,28.54,26.30,25.27,23.31,27.81,28.18,27.62,28.52,28.18,26.30,25.73,26.95,27.73,27.03,27.24,27.34,26.73,25.95,27.78,26.58,27.19,26.66
1956,26.43,26.18,27.88,27.89,26.33,27.33,28.58,28.47,26.05,25.02,22.77,27.82,28.15,27.69,28.41,28.14,26.37,25.82,26.97,27.75,27.04,27.29,27.37,26.81,25.84,27.72,26.55,27.26,26.71
1957,26.67,26.58,28.15,27.98,26.64,27.64,28.85,28.70,26.23,25.28,23.00,28.01,28.34,27.83,28.59,28.25,26.72,26.13,27.18,27.95,27.24,27.62,27.69,27.15,26.27,28.10,26.92,27.58,26.95
1958,26.97,26.91,28.49,28.30,26.97,28.05,29.16,28.96,26.47,25.62,23.18,28.34,28.63,28.14,28.86,28.54,27.10,26.48,27.53,28.29,27.58,28.01,28.07,27.55,26.62,28.46,27.33,27.92,27.30
1959,26.55,26.43,28.19,27.88,26.70,27.69,28.74,28.59,26.05,25.02,22.75,28.02,28.32,27.78,28.50,28.13,26.82,26.23,27.19,27.95,27.25,27.75,27.81,27.27,26.19,28.04,26.92,27.63,27.00
1960,26.85,26.85,28.32,28.18,26.66,27.88,29.07,28.89,26.42,25.51,23.13,28.14,28.51,27.99,28.80,28.46,26.74,26.14,27.27,28.04,27.31,27.73,27.84,27.20,26.55,28.35,27.22,27.63,27.02
1961,26.23,26.06,27.84,27.29,26.25,27.42,28.34,28.22,25.81,24.79,22.37,27.62,27.95,27.28,28.15,27.71,26.45,25.83,26.74,27.49,26.80,27.44,27.54,26.93,25.85,27.69,26.65,27.21,26.55
1962,26.80,26.75,28.13,28.07,26.44,27.69,28.92,28.79,26.50,25.62,23.11,27.95,28.35,27.82,28.76,28.46,26.51,25.90,27.03,27.82,27.08,27.51,27.65,26.98,26.38,28.17,27.04,27.42,26.81
1963,27.03,26.88,28.35,28.39,26.72,27.86,29.10,28.98,26.71,25.81,23.45,28.23,28.59,28.12,28.97,28.75,26.76,26.16,27.34,28.13,27.40,27.71,27.82,27.22,26.49,28.32,27.18,27.66,27.09
1964,26.52,26.31,27.94,27.97,26.36,27.44,28.61,28.51,26.17,25.11,22.89,27.81,28.17,27.65,28.50,28.29,26.43,25.84,26.93,27.70,26.99,27.40,27.50,26.90,25.97,27.83,26.66,27.30,26.71
1965,26.60,26.52,28.14,27.79,26.49,27.70,28.77,28.62,26.18,25.26,22.78,27.95,28.28,27.72,28.54,28.15,26.63,26.01,27.08,27.86,27.13,27.64,27.74,27.13,26.24,28.05,26.97,27.48,26.87
1966,26.90,27.04,28.37,28.03,26.54,27.85,29.21,29.02,26.51,25.66,22.98,28.14,28.55,27.93,28.90,28.48,26.61,26.00,27.17,27.98,27.21,27.69,27.80,27.12,26.63,28.43,27.23,27.56,26.95
1967,26.40,26.33,27.79,27.72,26.03,27.24,28.58,28.48,26.11,25.09,22.66,27.63,28.05,27.45,28.44,28.13,26.09,25.49,26.68,27.49,26.73,27.11,27.21,26.59,25.96,27.75,26.59,27.02,26.43
1968,26.66,26.57,28.15,27.96,26.44,27.58,28.85,28.73,26.28,25.31,22.89,28.01,28.40,27.81,28.68,28.33,26.50,25.89,27.11,27.89,27.15,27.54,27.64,27.01,26.20,28.05,26.86,27.43,26.83
1969,27.41,27.43,28.67,28.88,26.82,28.11,29.64,29.51,27.15,26.11,23.84,28.57,29.01,28.53,29.52,29.31,26.78,26.19,27.59,28.41,27.63,27.85,28.01,27.30,26.96,28.75,27.52,27.83,27.31
1970,26.80,26.76,28.38,28.11,26.80,27.81,29.07,28.93,26.35,25.31,22.84,28.30,28.64,28.08,28.87,28.51,26.84,26.24,27.42,28.19,27.46,27.79,27.87,27.32,26.41,28.28,27.09,27.75,27.20
1971,26.50,26.46,27.80,27.93,25.87,27.19,28.70,28.64,26.31,25.18,22.92,27.65,28.15,27.59,28.65,28.40,25.84,25.26,26.60,27.43,26.64,26.91,27.08,26.33,25.98,27.79,26.58,26.87,26.31
1972,27.12,27.35,28.47,28.47,26.33,27.88,29.54,29.36,26.88,25.81,23.37,28.19,28.76,28.14,29.31,28.99,26.30,25.71,27.06,27.93,27.10,27.51,27.70,26.87,26.84,28.63,27.34,27.40,26.80
1973,27.28,27.69,28.75,28.75,26.65,28.13,29.86,29.65,26.92,25.94,23.06,28.51,29.06,28.49,29.58,29.24,26.61,25.99,27.38,28.26,27.43,27.75,27.90,27.16,27.20,28.98,27.67,27.70,27.12
1974,26.64,26.89,27.91,27.81,25.78,27.34,28.97,28.82,26.44,25.51,22.93,27.68,28.20,27.55,28.73,28.35,25.72,25.14,26.58,27.43,26.63,26.91,27.11,26.26,26.34,28.08,26.84,26.85,26.27
