Variable:,tas
,"Timor Leste",Aileu,Ainaro,Baucau,Bobonaro,Covalima,Dili,Ermera,Lautem,Liquica,Manatuto,Manufahi,Oecussi,Viqueque
1901,24.65,23.44,24.56,25.43,24.27,24.62,23.40,24.03,25.09,24.03,24.37,24.65,24.66,25.49
1902,24.66,23.46,24.57,25.43,24.28,24.63,23.42,24.04,25.10,24.04,24.37,24.66,24.66,25.49
1903,24.88,23.66,24.78,25.68,24.48,24.83,23.63,24.23,25.35,24.23,24.60,24.88,24.81,25.74
1904,24.41,23.21,24.32,25.17,24.05,24.39,23.17,23.82,24.82,23.82,24.12,24.41,24.51,25.22
1905,24.93,23.71,24.84,25.74,24.52,24.88,23.68,24.27,25.42,24.27,24.65,24.94,24.88,25.79
1906,25.25,24.01,25.15,26.07,24.81,25.18,23.98,24.55,25.78,24.56,24.96,25.25,25.07,26.12
1907,24.71,23.50,24.62,25.49,24.33,24.68,23.46,24.08,25.16,24.08,24.42,24.71,24.70,25.55
1908,24.80,23.59,24.71,25.59,24.41,24.77,23.55,24.16,25.26,24.16,24.52,24.80,24.75,25.65
1909,24.87,23.66,24.78,25.66,24.47,24.82,23.62,24.23,25.33,24.23,24.59,24.87,24.80,25.72
1910,24.80,23.59,24.71,25.59,24.41,24.76,23.55,24.16,25.27,24.16,24.52,24.80,24.75,25.65
1911,24.59,23.40,24.50,25.37,24.22,24.57,23.36,23.97,25.02,23.97,24.32,24.59,24.63,25.43
1912,24.79,23.57,24.69,25.58,24.40,24.75,23.53,24.15,25.25,24.15,24.50,24.78,24.77,25.64
1913,24.36,23.16,24.27,25.11,24.01,24.34,23.12,23.78,24.76,23.78,24.07,24.36,24.46,25.17
1914,24.56,23.36,24.47,25.33,24.19,24.54,23.32,23.95,25.00,23.95,24.28,24.56,24.60,25.39
1915,25.00,23.77,24.91,25.81,24.57,24.94,23.74,24.32,25.49,24.32,24.72,25.00,24.91,25.88
1916,25.02,23.80,24.94,25.82,24.60,24.96,23.77,24.36,25.51,24.36,24.74,25.03,24.90,25.88
1917,24.65,23.45,24.56,25.43,24.27,24.62,23.41,24.03,25.08,24.03,24.37,24.65,24.67,25.49
1918,24.59,23.38,24.50,25.36,24.20,24.57,23.35,23.95,25.01,23.95,24.31,24.59,24.62,25.42
1919,24.47,23.28,24.38,25.23,24.11,24.45,23.24,23.87,24.88,23.87,24.19,24.47,24.54,25.29
1920,25.08,23.85,24.99,25.90,24.65,25.01,23.82,24.40,25.58,24.40,24.80,25.08,24.94,25.96
1921,24.86,23.64,24.77,25.65,24.47,24.82,23.60,24.23,25.33,24.23,24.58,24.86,24.79,25.71
1922,24.52,23.32,24.43,25.28,24.15,24.50,23.28,23.91,24.93,23.91,24.23,24.52,24.56,25.34
1923,24.42,23.23,24.34,25.18,24.07,24.41,23.19,23.83,24.82,23.83,24.14,24.42,24.49,25.24
1924,24.92,23.71,24.83,25.73,24.50,24.87,23.68,24.25,25.40,24.26,24.65,24.93,24.86,25.78
1925,24.33,23.13,24.25,25.08,23.98,24.32,23.09,23.74,24.71,23.74,24.04,24.33,24.45,25.14
1926,24.97,23.74,24.88,25.77,24.55,24.91,23.71,24.31,25.46,24.31,24.68,24.97,24.87,25.82
1927,24.94,23.71,24.85,25.74,24.52,24.89,23.68,24.27,25.41,24.27,24.66,24.94,24.86,25.80
1928,24.78,23.57,24.69,25.57,24.39,24.74,23.53,24.14,25.24,24.14,24.50,24.78,24.75,25.63
1929,24.48,23.28,24.39,25.24,24.12,24.47,23.24,23.87,24.89,23.87,24.20,24.48,24.55,25.30
1930,24.68,23.47,24.59,25.46,24.30,24.65,23.43,24.05,25.12,24.05,24.40,24.68,24.68,25.53
1931,24.88,23.65,24.78,25.68,24.48,24.84,23.61,24.23,25.35,24.23,24.59,24.87,24.81,25.74
1932,24.76,23.55,24.67,25.55,24.37,24.72,23.51,24.13,25.23,24.13,24.47,24.76,24.73,25.60
1933,24.65,23.44,24.57,25.43,24.27,24.62,23.40,24.02,25.09,24.02,24.37,24.66,24.68,25.49
1934,24.63,23.43,24.54,25.41,24.25,24.60,23.39,24.00,25.08,24.00,24.35,24.63,24.66,25.46
1935,24.58,23.37,24.49,25.36,24.21,24.56,23.33,23.97,25.01,23.97,24.30,24.58,24.62,25.42
1936,24.98,23.77,24.89,25.79,24.55,24.92,23.74,24.30,25.46,24.31,24.72,24.99,24.90,25.85
1937,24.61,23.40,24.52,25.38,24.23,24.58,23.36,23.99,25.04,23.99,24.32,24.61,24.62,25.44
1938,24.70,23.50,24.62,25.49,24.32,24.67,23.46,24.07,25.15,24.07,24.42,24.71,24.68,25.54
1939,24.31,23.11,24.22,25.06,23.96,24.29,23.07,23.73,24.70,23.73,24.02,24.30,24.43,25.12
1940,24.18,22.99,24.11,24.91,23.87,24.20,22.95,23.64,24.54,23.64,23.89,24.19,24.37,24.97
1941,23.98,22.79,23.91,24.69,23.70,24.04,22.75,23.46,24.31,23.46,23.68,23.99,24.25,24.75
1942,24.84,23.64,24.77,25.58,24.50,24.85,23.60,24.25,25.24,24.25,24.55,24.86,24.95,25.64
1943,24.00,22.82,23.92,24.72,23.71,24.01,22.78,23.49,24.34,23.49,23.71,24.00,24.21,24.78
1944,23.97,22.81,23.91,24.67,23.69,24.03,22.77,23.45,24.29,23.45,23.69,23.98,24.25,24.73
1945,23.86,22.68,23.77,24.63,23.51,23.83,22.64,23.29,24.27,23.29,23.58,23.85,23.95,24.68
1946,23.72,22.52,23.62,24.49,23.36,23.68,22.48,23.14,24.14,23.14,23.44,23.70,23.84,24.54
1947,24.06,22.86,23.96,24.84,23.70,24.02,22.82,23.47,24.48,23.47,23.79,24.05,24.13,24.90
1948,23.84,22.65,23.74,24.63,23.47,23.78,22.61,23.25,24.28,23.25,23.57,23.83,23.89,24.68
1949,23.57,22.39,23.47,24.34,23.24,23.53,22.35,23.03,23.96,23.03,23.30,23.55,23.66,24.39
1950,23.72,22.53,23.62,24.49,23.37,23.68,22.49,23.15,24.13,23.15,23.44,23.70,23.81,24.54
1951,24.19,22.99,24.10,24.95,23.85,24.17,22.95,23.62,24.60,23.62,23.90,24.18,24.27,25.00
1952,24.42,23.22,24.33,25.19,24.05,24.38,23.18,23.82,24.84,23.82,24.14,24.42,24.47,25.25
1953,24.06,22.87,23.98,24.82,23.72,24.04,22.83,23.49,24.46,23.49,23.78,24.06,24.17,24.88
1954,24.08,22.90,24.01,24.83,23.73,24.07,22.86,23.50,24.46,23.50,23.80,24.09,24.19,24.89
1955,24.39,23.20,24.32,25.15,24.03,24.39,23.16,23.78,24.80,23.78,24.11,24.41,24.46,25.21
1956,24.17,22.98,24.07,24.93,23.80,24.11,22.94,23.59,24.58,23.59,23.89,24.16,24.23,24.99
1957,24.28,23.10,24.20,25.04,23.94,24.26,23.06,23.71,24.68,23.71,24.00,24.28,24.35,25.10
1958,24.82,23.60,24.75,25.57,24.46,24.84,23.56,24.20,25.22,24.20,24.52,24.84,24.91,25.63
1959,24.41,23.21,24.34,25.16,24.06,24.42,23.17,23.81,24.80,23.81,24.12,24.43,24.53,25.22
1960,24.18,22.99,24.09,24.93,23.85,24.17,22.95,23.63,24.56,23.63,23.90,24.17,24.32,24.99
1961,24.23,23.04,24.15,24.99,23.89,24.23,23.00,23.66,24.62,23.66,23.95,24.23,24.34,25.05
1962,24.54,23.33,24.45,25.29,24.20,24.52,23.29,23.97,24.94,23.97,24.25,24.53,24.62,25.35
1963,24.13,22.95,24.05,24.87,23.81,24.13,22.91,23.59,24.50,23.59,23.85,24.13,24.27,24.93
1964,24.46,23.24,24.37,25.23,24.11,24.45,23.20,23.87,24.87,23.87,24.17,24.45,24.54,25.29
1965,24.24,23.05,24.16,24.99,23.91,24.23,23.01,23.68,24.62,23.68,23.95,24.24,24.35,25.05
1966,24.49,23.30,24.41,25.23,24.14,24.48,23.26,23.91,24.88,23.91,24.20,24.50,24.54,25.29
1967,24.06,22.87,23.96,24.83,23.72,24.04,22.83,23.49,24.47,23.49,23.78,24.04,24.13,24.88
1968,24.38,23.18,24.28,25.15,24.01,24.33,23.14,23.78,24.80,23.78,24.10,24.37,24.42,25.21
1969,24.52,23.33,24.44,25.28,24.17,24.50,23.29,23.94,24.93,23.94,24.24,24.52,24.60,25.34
1970,24.67,23.47,24.59,25.43,24.31,24.67,23.43,24.06,25.09,24.06,24.38,24.68,24.72,25.49
1971,24.33,23.14,24.25,25.08,23.97,24.31,23.10,23.73,24.73,23.73,24.04,24.34,24.39,25.14
1972,24.52,23.33,24.44,25.28,24.17,24.50,23.29,23.94,24.93,23.94,24.24,24.52,24.61,25.34
