Variable:,tas
,Türkiye,Adana,Adiyaman,Afyon,Agri,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydin,Balikesir,Bartin,Batman,Bayburt,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Icel,Igdir,Isparta,Istanbul,Izmir,K.maras,Karabuk,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kirikkale,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Sanliurfa,Siirt,Sinop,Sirnak,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Usak,Van,Yalova,Yozgat,Zonguldak
1901,11.31,14.86,15.12,10.74,6.42,10.93,11.27,10.91,13.06,4.22,7.78,15.46,13.44,12.02,15.39,6.85,11.82,9.58,9.21,10.41,12.00,12.73,14.01,9.45,10.94,12.67,15.21,13.54,13.33,8.72,5.84,11.17,16.35,9.77,8.31,8.81,17.19,13.08,8.40,10.82,13.89,15.35,11.09,10.59,10.55,5.19,9.59,8.25,17.00,11.44,12.72,10.94,13.77,10.64,10.57,11.55,14.19,17.52,15.11,8.11,10.40,9.61,10.79,16.50,8.34,13.04,12.82,17.52,13.28,11.55,14.61,8.51,13.40,10.19,9.69,10.35,12.15,6.92,13.80,9.89,12.46
1902,10.47,14.23,14.51,10.09,5.42,10.34,9.97,9.98,12.61,3.14,6.65,14.91,12.74,10.73,14.60,5.67,10.98,8.56,8.23,9.38,11.47,11.92,13.43,8.23,9.68,12.10,14.44,13.00,12.42,7.58,4.75,10.38,15.76,8.48,7.07,7.98,16.55,12.49,7.44,10.27,12.99,14.76,10.45,9.36,9.99,4.15,8.25,7.52,16.39,10.41,12.01,10.09,12.84,10.11,9.79,10.77,13.50,16.90,14.61,7.09,9.70,9.00,9.49,15.89,7.14,12.10,11.45,16.99,12.47,10.14,13.89,7.41,12.76,8.92,8.43,9.30,11.50,6.00,12.91,8.83,11.24
1903,10.74,14.06,14.40,10.35,5.62,10.49,10.70,10.62,12.33,3.39,6.95,14.89,13.40,11.72,14.63,6.02,11.66,8.77,8.37,10.16,11.33,12.60,14.11,9.10,10.49,12.06,14.43,13.71,12.56,7.92,5.00,10.93,15.51,8.95,7.47,7.99,16.11,12.17,7.64,10.27,13.79,15.19,10.40,10.27,9.80,4.38,9.22,7.65,16.03,11.13,12.82,10.58,13.61,10.14,10.37,10.84,14.01,16.72,14.35,7.28,9.93,9.00,10.05,15.67,7.55,12.88,12.24,16.76,12.51,11.06,13.82,7.82,13.51,9.53,8.84,9.56,11.80,6.10,13.65,9.37,12.20
1904,10.36,14.01,14.27,10.01,5.16,10.26,9.99,10.03,12.34,2.89,6.44,14.71,12.90,10.90,14.29,5.49,11.06,8.36,7.96,9.45,11.22,12.01,13.68,8.34,9.75,11.87,14.18,13.28,12.19,7.42,4.53,10.40,15.48,8.38,6.93,7.60,16.24,12.21,7.16,10.09,13.14,14.81,10.27,9.48,9.75,3.92,8.40,7.38,16.08,10.47,12.29,10.08,12.94,9.97,9.81,10.56,13.55,16.60,14.32,6.85,9.63,8.85,9.43,15.64,7.02,12.20,11.49,16.73,12.16,10.25,13.55,7.30,13.02,8.90,8.29,9.10,11.42,5.67,12.98,8.81,11.40
1905,10.80,14.32,14.53,10.42,5.69,10.59,10.69,10.58,12.65,3.45,7.01,15.08,13.26,11.62,14.73,6.06,11.56,8.83,8.45,10.08,11.59,12.49,13.92,9.03,10.44,12.27,14.54,13.49,12.63,7.98,5.07,10.89,15.74,9.00,7.52,7.99,16.51,12.54,7.69,10.46,13.63,15.14,10.56,10.20,10.08,4.45,9.15,7.76,16.33,11.08,12.61,10.59,13.49,10.30,10.29,10.96,13.95,16.85,14.68,7.37,10.01,9.18,10.07,15.91,7.58,12.77,12.22,16.92,12.60,11.00,13.90,7.85,13.30,9.54,8.90,9.61,11.83,6.13,13.54,9.38,12.09
1906,10.97,14.46,14.68,10.55,5.90,10.75,10.90,10.75,12.74,3.72,7.26,15.18,13.38,11.91,14.88,6.30,11.74,9.03,8.63,10.29,11.69,12.65,14.02,9.32,10.73,12.38,14.68,13.60,12.81,8.18,5.29,11.03,15.87,9.20,7.75,8.18,16.65,12.70,7.91,10.57,13.85,15.22,10.69,10.48,10.22,4.69,9.45,7.90,16.47,11.27,12.77,10.77,13.71,10.42,10.45,11.09,14.07,17.01,14.74,7.56,10.15,9.33,10.25,16.07,7.79,12.98,12.47,17.04,12.74,11.32,14.07,8.01,13.44,9.71,9.12,9.82,11.98,6.33,13.72,9.55,12.35
1907,10.11,13.82,14.04,9.75,4.97,10.05,9.64,9.74,12.20,2.72,6.24,14.52,12.60,10.50,14.10,5.27,10.72,8.18,7.79,9.10,11.06,11.69,13.36,8.01,9.40,11.70,13.98,12.96,11.98,7.21,4.34,10.12,15.31,8.13,6.71,7.47,16.07,12.03,6.96,9.92,12.79,14.56,10.03,9.13,9.60,3.72,8.03,7.12,15.93,10.15,11.98,9.79,12.56,9.80,9.50,10.31,13.28,16.37,14.15,6.67,9.35,8.64,9.13,15.45,6.78,11.83,11.12,16.51,11.98,9.85,13.35,7.04,12.72,8.58,8.07,8.89,11.15,5.51,12.64,8.50,10.98
1908,10.12,13.89,13.97,9.82,4.85,10.14,9.73,9.82,12.28,2.62,6.17,14.58,12.57,10.62,13.96,5.26,10.83,8.04,7.63,9.20,11.14,11.76,13.25,8.11,9.53,11.78,13.84,12.83,11.91,7.16,4.23,10.18,15.33,8.13,6.70,7.24,16.11,12.15,6.86,10.00,12.85,14.53,10.07,9.23,9.71,3.61,8.14,7.17,15.95,10.25,11.95,9.87,12.69,9.89,9.58,10.31,13.28,16.22,14.24,6.54,9.45,8.75,9.16,15.51,6.75,11.95,11.22,16.36,11.81,9.99,13.19,7.07,12.64,8.64,8.07,8.83,11.20,5.34,12.74,8.58,11.12
1909,11.10,14.88,14.92,10.63,5.96,10.91,10.94,10.72,13.11,3.79,7.36,15.46,13.29,11.75,15.06,6.42,11.59,9.18,8.71,10.15,11.99,12.51,13.91,9.22,10.65,12.66,14.93,13.46,12.97,8.33,5.40,10.98,16.28,9.41,7.88,8.30,17.23,13.17,7.96,10.78,13.65,15.27,11.01,10.35,10.62,4.75,9.33,8.15,16.94,11.25,12.59,10.81,13.50,10.64,10.35,11.34,14.06,17.25,15.14,7.67,10.30,9.61,10.46,16.51,7.94,12.77,12.48,17.33,12.88,11.21,14.21,8.23,13.28,9.88,9.28,9.94,12.04,6.42,13.55,9.64,12.16
1910,10.97,14.39,14.58,10.46,5.93,10.66,11.00,10.82,12.54,3.66,7.20,15.05,13.53,11.97,14.96,6.26,11.74,9.03,8.67,10.33,11.50,12.73,14.26,9.35,10.73,12.22,14.78,13.87,12.82,8.18,5.26,11.02,15.82,9.28,7.73,8.29,16.58,12.51,7.94,10.41,13.94,15.33,10.69,10.54,10.06,4.66,9.48,7.89,16.39,11.35,13.01,10.89,13.75,10.31,10.48,11.12,14.14,17.05,14.55,7.60,10.17,9.25,10.35,16.03,7.77,12.96,12.55,16.96,12.82,11.32,14.17,8.12,13.65,9.81,9.13,9.78,11.97,6.40,13.79,9.68,12.42
1911,9.83,13.65,13.53,9.75,4.13,9.95,9.46,9.67,12.26,1.87,5.45,14.67,12.77,10.43,13.29,4.54,10.78,7.33,6.91,9.07,11.12,11.84,13.57,7.92,9.26,11.77,13.20,13.24,11.26,6.54,3.50,10.10,15.02,7.55,6.02,6.52,15.92,12.03,6.13,9.91,12.95,14.72,9.78,9.04,9.60,2.87,7.92,6.87,15.68,10.07,12.32,9.71,12.66,9.75,9.60,9.82,13.43,15.60,14.28,5.84,9.23,8.52,8.56,15.26,6.04,11.82,10.91,15.89,11.10,9.71,12.46,6.58,12.94,8.16,7.38,8.17,11.25,4.61,12.81,8.32,10.93
1912,10.40,14.14,14.44,9.69,5.74,9.94,9.86,9.63,12.33,3.38,6.92,14.79,12.61,10.53,14.81,5.89,10.70,8.80,8.53,9.05,11.20,11.75,13.29,8.08,9.54,11.89,14.60,12.82,12.51,7.73,5.01,9.96,15.76,8.60,7.24,8.23,16.51,12.33,7.76,9.90,12.87,14.67,10.42,9.12,9.78,4.47,8.17,7.40,16.36,10.14,11.89,9.76,12.62,9.71,9.57,10.77,13.38,17.02,14.46,7.40,9.37,8.79,9.51,15.85,7.46,11.80,11.36,16.98,12.70,10.09,14.10,7.44,12.61,8.89,8.65,9.42,11.28,6.27,12.75,8.68,11.00
1913,10.39,14.03,14.17,9.92,5.38,10.11,10.21,10.08,12.33,3.01,6.58,14.67,12.78,11.15,14.39,5.61,11.12,8.43,8.12,9.62,11.20,12.03,13.45,8.54,9.92,11.85,14.20,13.07,12.22,7.51,4.65,10.42,15.47,8.50,7.04,7.79,16.27,12.33,7.40,9.96,13.21,14.64,10.22,9.72,9.81,4.08,8.65,7.32,16.11,10.55,12.20,10.11,13.07,9.82,9.82,10.56,13.44,16.57,14.36,7.01,9.58,8.78,9.57,15.67,7.15,12.33,11.77,16.61,12.27,10.49,13.63,7.33,12.85,9.01,8.43,9.16,11.36,5.88,13.10,8.88,11.61
