Variable:,tas
,Uzbekistan,Andijan,Bukhara,Fergana,Karakalpakstan,Kashkadarya,Khorezm,Namangan,Samarkand,Surkhandarya,Sirdarya,Tashkent,Jizzakh,Navoiy,"Tashkent city"
1901,12.76,12.68,15.27,12.24,11.48,14.09,13.95,9.47,13.90,13.53,15.70,9.51,13.82,13.43,14.66
1902,13.10,13.27,15.71,12.70,11.60,14.38,14.29,10.03,14.29,13.79,16.10,10.04,14.25,13.97,15.22
1903,11.76,11.64,14.19,11.16,10.63,12.86,12.96,8.45,12.74,12.30,14.62,8.49,12.73,12.40,13.73
1904,12.14,12.79,14.56,12.22,10.70,13.39,13.22,9.51,13.28,12.90,15.33,9.40,13.37,12.87,14.50
1905,11.96,12.15,14.49,11.64,10.68,13.15,13.13,8.92,12.97,12.59,14.79,8.85,12.92,12.66,13.90
1906,12.50,13.07,15.04,12.48,11.05,13.81,13.49,9.79,13.68,13.28,15.53,9.64,13.64,13.22,14.66
1907,11.71,12.24,14.21,11.65,10.26,12.98,12.91,8.97,12.83,12.45,14.69,8.80,12.81,12.50,13.79
1908,12.03,12.75,14.77,12.19,10.22,13.54,13.17,9.50,13.43,13.05,15.36,9.45,13.45,12.93,14.51
1909,13.17,13.72,15.74,13.11,11.59,14.49,14.24,10.44,14.41,13.97,16.28,10.35,14.39,14.05,15.42
1910,12.55,12.95,14.94,12.39,11.18,13.69,13.59,9.72,13.65,13.19,15.55,9.64,13.65,13.33,14.69
1911,11.76,12.84,14.34,12.27,9.97,13.25,12.76,9.57,13.14,12.78,15.12,9.37,13.18,12.64,14.27
1912,12.55,13.45,15.09,12.97,10.94,13.90,13.54,10.26,13.81,13.40,15.86,10.10,13.92,13.28,15.01
1913,12.74,12.93,15.21,12.45,11.36,13.93,13.72,9.75,13.87,13.37,15.73,9.74,13.84,13.54,14.86
1914,13.38,13.89,15.96,13.44,11.79,14.69,14.49,10.72,14.63,14.16,16.56,10.66,14.65,14.22,15.71
1915,13.99,14.60,16.65,14.03,12.29,15.45,15.03,11.36,15.36,14.93,17.22,11.29,15.32,14.87,16.38
1916,12.09,13.15,14.57,12.49,10.56,13.44,13.02,9.80,13.27,12.98,15.32,9.59,13.30,12.79,14.60
1917,13.23,14.16,15.82,13.54,11.55,14.66,14.17,10.88,14.57,14.15,16.49,10.70,14.57,14.04,15.71
1918,11.71,12.56,14.25,11.91,10.25,13.02,12.77,9.20,12.81,12.60,14.73,8.93,12.77,12.42,13.88
1919,11.94,12.54,14.38,11.90,10.66,13.04,13.04,9.23,12.88,12.58,14.81,9.02,12.88,12.63,13.99
1920,11.07,11.49,13.46,10.86,9.88,12.08,12.25,8.17,11.94,11.57,13.82,7.99,11.91,11.75,12.99
1921,12.17,12.52,14.60,11.88,10.95,13.15,13.34,9.22,13.04,12.58,14.88,9.06,12.98,12.92,14.08
1922,13.13,13.78,15.66,13.12,11.67,14.33,14.21,10.48,14.22,13.73,16.10,10.29,14.19,13.95,15.29
1923,12.09,12.67,14.37,11.95,10.97,12.98,13.12,9.33,12.87,12.45,14.87,9.10,12.91,12.77,14.07
1924,12.22,12.97,14.62,12.29,10.87,13.29,13.24,9.65,13.21,12.76,15.22,9.44,13.26,12.97,14.41
1925,13.18,13.63,15.64,13.01,11.91,14.19,14.25,10.36,14.09,13.59,15.99,10.20,14.08,13.97,15.23
1926,12.67,13.49,15.22,12.86,11.08,14.01,13.71,10.21,13.90,13.44,15.86,10.03,13.91,13.50,15.04
1927,12.42,13.38,15.03,12.70,10.78,13.85,13.40,10.06,13.73,13.31,15.71,9.87,13.78,13.18,14.90
1928,11.31,12.26,13.97,11.64,9.56,12.86,12.31,9.00,12.67,12.31,14.66,8.80,12.71,12.14,13.81
1929,11.20,11.87,13.76,11.33,9.63,12.60,12.09,8.60,12.50,12.13,14.44,8.57,12.52,11.94,13.66
1930,11.72,12.13,14.06,11.55,10.42,12.83,12.61,8.86,12.73,12.42,14.73,8.77,12.79,12.44,13.77
1931,11.34,12.15,13.88,11.63,9.71,12.75,12.13,8.94,12.67,12.39,14.73,8.82,12.77,12.08,13.81
1932,11.94,12.51,14.23,11.92,10.66,12.97,12.83,9.27,12.91,12.62,14.88,9.05,12.97,12.65,14.08
1933,11.95,12.78,14.50,12.20,10.38,13.34,12.93,9.50,13.25,12.93,15.19,9.35,13.27,12.67,14.32
