Variable:,tas
,Yemen,Abyan,"Al Dhale'e","Al Bayda","Al Hudaydah","Al Jawf","Al Maharah","Al Mahwit",Amran,Dhamar,Hajjah,Ibb,Lahj,Marib,Sa'ada,Shabwah,Taizz,"Amanat Al Asimah",Hadramaut,Raymah,Sana'a,Aden
1901,25.12,25.88,20.70,20.08,29.16,24.90,25.56,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.14,23.24,19.48,28.86
1902,25.11,25.91,20.76,20.12,29.23,24.90,25.52,24.31,21.30,20.10,27.23,20.60,26.44,23.85,22.20,24.94,26.05,17.67,26.10,23.31,19.53,28.94
1903,25.10,25.95,20.82,20.16,29.29,24.90,25.47,24.37,21.33,20.16,27.26,20.69,26.53,23.87,22.21,24.94,26.15,17.71,26.03,23.38,19.57,29.04
1904,25.06,25.88,20.71,20.08,29.16,24.88,25.47,24.26,21.27,20.05,27.19,20.55,26.37,23.82,22.17,24.92,25.97,17.63,26.03,23.26,19.49,28.87
1905,25.10,25.93,20.79,20.14,29.27,24.90,25.49,24.34,21.31,20.14,27.25,20.65,26.49,23.86,22.20,24.94,26.11,17.69,26.06,23.35,19.55,28.99
1906,25.09,25.93,20.79,20.13,29.25,24.90,25.48,24.33,21.31,20.12,27.24,20.64,26.47,23.86,22.20,24.94,26.08,17.69,26.04,23.34,19.54,28.97
1907,25.05,25.86,20.66,20.06,29.10,24.89,25.46,24.21,21.25,20.01,27.16,20.49,26.30,23.82,22.17,24.92,25.88,17.61,26.02,23.20,19.46,28.80
1908,25.12,25.93,20.81,20.14,29.28,24.90,25.53,24.35,21.32,20.15,27.25,20.66,26.50,23.86,22.20,24.94,26.12,17.69,26.10,23.36,19.55,28.99
1909,25.05,25.79,20.52,19.98,28.95,24.88,25.52,24.10,21.19,19.88,27.08,20.33,26.13,23.78,22.15,24.91,25.69,17.53,26.09,23.05,19.38,28.62
1910,25.10,26.00,20.92,20.23,29.41,24.91,25.44,24.45,21.37,20.26,27.32,20.80,26.65,23.90,22.23,24.96,26.29,17.77,26.00,23.49,19.63,29.16
1911,25.09,26.02,20.96,20.25,29.45,24.91,25.40,24.48,21.39,20.30,27.35,20.84,26.70,23.90,22.24,24.96,26.36,17.80,25.95,23.53,19.66,29.21
1912,25.05,25.87,20.69,20.07,29.14,24.88,25.45,24.25,21.26,20.03,27.18,20.53,26.35,23.82,22.17,24.92,25.95,17.62,26.01,23.23,19.48,28.85
1913,25.05,25.88,20.70,20.08,29.15,24.89,25.46,24.25,21.27,20.04,27.18,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.02,23.24,19.48,28.86
1914,25.08,25.88,20.70,20.08,29.16,24.89,25.51,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.07,23.24,19.48,28.86
1915,25.12,25.88,20.70,20.08,29.16,24.90,25.56,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.14,23.24,19.48,28.86
1916,25.10,25.87,20.69,20.07,29.14,24.88,25.55,24.25,21.26,20.03,27.18,20.53,26.35,23.82,22.17,24.92,25.95,17.62,26.12,23.23,19.48,28.85
1917,25.12,25.88,20.70,20.08,29.15,24.90,25.56,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.14,23.24,19.48,28.86
1918,25.12,25.88,20.70,20.08,29.15,24.90,25.56,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.14,23.24,19.48,28.86
1919,25.12,25.88,20.70,20.08,29.16,24.90,25.56,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.14,23.24,19.48,28.86
1920,25.10,25.87,20.69,20.07,29.14,24.88,25.55,24.25,21.26,20.03,27.17,20.53,26.35,23.82,22.17,24.92,25.95,17.62,26.12,23.23,19.48,28.85
1921,25.12,25.88,20.70,20.08,29.15,24.90,25.56,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.14,23.24,19.48,28.86
1922,25.11,25.88,20.70,20.08,29.15,24.90,25.56,24.25,21.27,20.04,27.18,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.14,23.24,19.48,28.86
1923,25.11,25.88,20.70,20.08,29.15,24.90,25.56,24.25,21.27,20.04,27.18,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.14,23.24,19.48,28.86
1924,25.10,25.87,20.69,20.07,29.14,24.88,25.55,24.25,21.26,20.03,27.18,20.53,26.35,23.82,22.17,24.92,25.95,17.62,26.12,23.23,19.48,28.85
1925,25.12,25.88,20.70,20.08,29.15,24.90,25.56,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.14,23.24,19.48,28.86
1926,25.12,25.88,20.70,20.08,29.15,24.90,25.56,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.14,23.24,19.48,28.86
1927,25.12,25.88,20.70,20.08,29.16,24.90,25.56,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.14,23.24,19.48,28.86
1928,25.08,25.87,20.69,20.07,29.16,24.88,25.51,24.25,21.26,20.03,27.19,20.53,26.35,23.82,22.17,24.92,25.95,17.62,26.07,23.23,19.48,28.85
1929,25.10,25.88,20.70,20.08,29.15,24.89,25.53,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.10,23.24,19.48,28.86
1930,25.09,25.88,20.70,20.08,29.15,24.89,25.51,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.08,23.24,19.48,28.86
1931,25.09,25.88,20.70,20.08,29.16,24.89,25.52,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.09,23.24,19.48,28.86
1932,25.06,25.87,20.69,20.07,29.14,24.88,25.47,24.25,21.26,20.03,27.18,20.53,26.35,23.82,22.17,24.92,25.95,17.62,26.03,23.23,19.48,28.85
1933,25.06,25.88,20.70,20.08,29.16,24.89,25.47,24.25,21.27,20.04,27.19,20.53,26.36,23.83,22.18,24.93,25.95,17.63,26.03,23.24,19.48,28.86
